# klumpy scan_alignments --alignment_map SRR8468506.bam --threads 32 --annotation /media/lokdeep/sdf/BUDDHA/BMCBIO/IL34_long_read_verification/Podarcis_muralis/GCF_004329235.1_PodMur_1.0_genomic.gtf
Region_Number	Reference_Seq	Start	End	Number_of_Groups	Genes
144	NC_041319.1	57225000	57375000	3,3,1,1,1	LOC114602224,CHD9
145	NC_041319.1	57425000	57675000	2,2,3,2,3,2,8,9	AKTIP,SNX20,LOC114602226,NKD1,LOC114601848,LOC114602230
146	NC_041319.1	57775000	58050000	1,2,3,3,3,1,1,1,3,3	BRD7,ADCY7,TENT4B,HEATR3,LOC114602233,LOC114602235,ZNF423
147	NC_041319.1	58075000	58450000	3,2,3,3,1,1,3,2,3,2,1,1	ZNF423,C8H16orf78
148	NC_041319.1	58475000	58575000	3,2,3	CBLN1
149	NC_041319.1	58825000	59125000	2,2,2,1,2,2,2,5,8,2,2	N4BP1,SIAH1,LONP2,ABCC12
150	NC_041319.1	59175000	59250000	2,2	PHKB
151	NC_041319.1	59275000	59425000	6,5,2,2	PHKB,ITFG1
152	NC_041319.1	59500000	59825000	2,2,1,5,6,4,2,2,1,2	NETO2,DNAJA2,LOC114602249,GPT2,C8H16orf87,MYLK3,ORC6,VPS35,LOC114602255,SHCBP1,LOC114602610
153	NC_041319.1	60250000	60325000	3,2	LOC114602258
154	NC_041319.1	60550000	60750000	3,1,3,6,3,2,2	VSTM2B,POP4,PLEKHF1,LOC114602269,LOC114602270,LOC114602271,LOC114602274
155	NC_041319.1	60925000	60975000	2	LOC114602883
156	NC_041319.1	61025000	61250000	2,1,3,3,4,3,1,2	ZNF536
157	NC_041319.1	61300000	61525000	2,3,2,2,3,3,2,2	ZNF536
158	NC_041319.1	61750000	61950000	2,1,3,3,3	TSHZ3,LOC114602285
159	NC_041319.1	62425000	62550000	2,1,2	ZNF507,DPY19L3,LOC114602932
160	NC_041319.1	62575000	62800000	3,3,2,1,5,8,1	LOC114602932,PDCD5,ANKRD27,RGS9BP,NUDT19,TDRD12,LOC114602302,LOC114602300
161	NC_041319.1	62825000	63000000	2,5,5,2,2,2	CEP89,LOC114602303,FAAP24,RHPN2,GPATCH1,WDR88,TRNAT-AGU_5,LRP3
162	NC_041319.1	63050000	63300000	2,2,1,1,5,5,2,1	SLC7A10,LOC114602316,LOC114602315,EXOSC6,AARS,LOC114602933,LOC114602934,LOC114602318,LOC114602935,LOC114602936,LOC114602319,LOC114602320,OTUD3
163	NC_041319.1	63350000	63475000	3,4,3,3	CCDC30,PPCS,ZMYND12,SLC2A1
164	NC_041319.1	63550000	63750000	1,4,5,2,2,2	PHC2,ZNF362,LRRC47,CEP104,DFFB,C8H1orf174
165	NC_041319.1	63975000	64200000	2,2,2,2,3,3,2	LOC114602938,AJAP1
166	NC_041319.1	64525000	64800000	1,3,2,2,1,2,2,2,2	LOC114603142,TRNAK-CUU_27,NPHP4,LOC114602939,LOC114602343,KCNAB2
167	NC_041319.1	64825000	66150000	2,3,2,1,2,3,3,2,1,2,2,4,3,2,2,3,4,5,3,2,4,3,2,2,1,4,5,3,3,1,3,3,2,2,2,4,4,3,3,4,2,2,2,1,3,3,2	KCNAB2,CHD5,RPL22,RNF207,ICMT,HES3,GPR153,LOC114602352,ACOT7,HES2,LOC114603146,ESPN,TRNAI-GAU_27,LOC114602355,TNFRSF25,PLEKHG5,TRNAI-GAU_28,LOC114602357,NOL9,TAS1R1,ZBTB48,KLHL21,PHF13,DNAJC11,CAMTA1
168	NC_041319.1	66175000	67075000	2,2,2,2,2,1,1,1,1,2,2,3,2,7,7,3,1,1,3,3,2,1,2,2,2,2,2,1,2	CAMTA1,LOC114602365,VAMP3,PER3,LOC114602942,LOC114602367,TNFRSF9,TRNAI-UAU_3,PARK7,LOC114602369,ERRFI1,LOC114602943,TRNAI-UAU_4,LOC114602373,MUL1,CAMK2N1,VWA5B1,LOC114602380,LOC114603665,UBXN10,FAM43B,LOC114602944,CDA,PINK1,AGMAT,DNAJC16,CASP9,LOC114602392,LOC114602394,LOC114602395,EFHD2,LOC114602397,LOC114602398,LOC114602945,LOC114602399,LOC114602402,TMEM51,LOC114602403
169	NC_041319.1	67150000	67325000	3,1,2,2,2,2	LOC114602403
170	NC_041319.1	67450000	67825000	2,2,4,3,2,4,4,3,3,3,1,3	LRRC38,C8H1orf158,LOC114602410,LOC114603182,LOC114602947,LOC114602948,LOC114602413,LOC114603186,LOC114602415,LOC114602949,LOC114602416,ANKRD23,ANKRD39,SEMA4C,TRNAK-UUU_4
171	NC_041319.1	67850000	68300000	2,3,3,3,2,1,2,2,5,5,2,2,1,2,2,1	SEMA4C,FAM178B,TRNAK-CUU_28,LOC114602423,LOC114602424,LOC114602426,RCC2,LOC114602428,LOC114602431,LOC114602433,LOC114602434,LOC114602432
172	NC_041319.1	68350000	68500000	6,3,1,3,3	DISP3
173	NC_041319.1	68550000	68800000	3,2,3,3,2,2,2,4,4	UBIAD1,LOC114602950,LOC114603207,MTOR,ANGPTL7,EXOSC10,LOC114603645,SRM
174	NC_041319.1	68825000	69050000	6,10,2,1,3,3,5,7	LOC114602443,LOC114602445,LOC114602446,LOC114602448,LOC114602447,LOC114603209,LOC114603211
175	NC_041319.1	69075000	69200000	5,3,2	SST,TARDBP,MASP2,LOC114602453
176	NC_041319.1	69275000	69425000	3,2,2,2,1	CASZ1,LOC114602456
177	NC_041319.1	69475000	69550000	1,2	CASZ1,LOC114602458
178	NC_041319.1	69775000	69975000	1,2,2,2,2,2	CENPS,PGD,KIF1B,UBE4B
179	NC_041319.1	70000000	70300000	3,2,10,10,3,4,3,1,1,3,3	UBE4B,RBP7,NMNAT1,LOC114602951,LZIC,CTNNBIP1,CLSTN1,PIK3CD,TMEM201
180	NC_041319.1	70325000	70475000	1,2,2,1	SLC25A33,LOC114602475,SPSB1,H6PD,LOC114602478
181	NC_041319.1	70575000	70800000	3,3,1,2,1,2,3,4	LOC114602484,LOC114602482,LOC114602952,LOC114602486,TRNAA-UGC_25,CA6,ENO1,RERE
182	NC_041319.1	70850000	70975000	2,1,1,2	RERE
183	NC_041319.1	71025000	71100000	3,1	RERE
184	NC_041319.1	71225000	71700000	1,3,2,1,2,1,2,3,2,2,1,3,3,3,1	SAMD11,NOC2L,KLHL17,PLEKHN1,PERM1,LOC114602497
185	NC_041319.1	71725000	71800000	2,3	LOC114602498,HES4
186	NC_041319.1	71825000	71975000	2,3,1,2,1	AGRN
187	NC_041319.1	72025000	72275000	2,3,3,1,1,2,2,3	AGRN,LOC114602500,RNF223,C8H1orf159,TTLL10
188	NC_041319.1	72325000	72450000	1,1,1,2	TTLL10
189	NC_041319.1	72500000	72575000	1,2	SDF4,B3GALT6
190	NC_041319.1	72600000	73200000	2,3,1,1,2,3,2,1,2,2,1,3,2,1,2,2,1,3,3,2,2	C1QTNF12,SCNN1D,LOC114602953,ACAP3,LOC114602512,PUSL1,LOC114602513,LOC114602516,CPTP,TAS1R3,LOC114602954,LOC114603229,DVL1,MXRA8
191	NC_041319.1	73250000	74650000	4,5,2,2,1,2,2,2,3,3,3,2,1,1,1,3,1,2,4,3,1,3,2,2,1,3,3,2,1,1,2,3,2,1,2,1,2,1,1,3,7,2,3,3,2,2,3,2,2,2	CCNL2,MRPL20,ANKRD65,LOC114602525,LOC114602526,TMEM88B,LOC114602528,VWA1,LOC114602531,ATAD3A,TMEM240,SSU72,LOC114602536,FNDC10,LOC114602955,MIB2,MMP23B,CDK11A,LOC114602543,LOC114602544,NADK,GNB1,LOC114602547,CALML6,TMEM52,CFAP74,GABRD,PRKCZ,FAAP20,LOC114602555,SKI
192	NC_041319.1	74800000	75150000	2,1,1,1,2,2,2,5,6,10,9,5	LOC114602559,LOC114602558,LOC114602557,MORN1,TRNAG-UCC_3,RER1,PEX10,PLCH2,LOC114602563
193	NC_041319.1	75175000	75675000	2,1,2,5,4,2,3,2,2,3,4,3,2,3,4,1,3	PLCH2,LOC114602565,PANK4,LOC114602956,LOC114602566,LOC114602567,LOC114603240,TNFRSF14,LOC114603243,PRXL2B,MMEL1,TTC34
194	NC_041319.1	75825000	76325000	2,1,2,4,6,1,3,2,1,1,3,3,2,3,3,2,3	LOC114602957,LOC114602572,LOC114602575,PRDM16
195	NC_041319.1	76350000	76725000	1,2,2,2,1,2,2,5,3,3,2,4,3	PRDM16,ARHGEF16,LOC114602578,MEGF6,TPRG1L,WRAP73,TP73
196	NC_041319.1	76775000	77300000	1,2,2,1,5,3,3,1,2,1,1,2,4,3,3,2,2,2,1	TP73,LOC114602584,CCDC27,LOC114602958,LOC114602959,LOC114602960,LOC114603244,LOC114603245,LOC114602961,LOC114603246,LOC114602962,LOC114603247,LOC114603248,LOC114602585,LOC114602586,LACTBL1,EPHB2,C1QB,LOC114602965
197	NC_041319.1	77325000	77450000	2,2,4	EPHA8
198	NC_041319.1	77475000	77575000	3,2,2	TRNAI-GAU_29,LOC114602589
199	NC_041319.1	77600000	77750000	1,3,1,1,2	WNT4,CDC42,C8H1orf50,P3H1,CLDN19
200	NC_041319.1	77775000	77975000	3,3,2,5,6,4	LOC114602597,SLC45A1,LOC114602598,LOC114602599,MRPS16,LOC114602601,LOC114602967,LOC114602603,TNFRSF1B,LOC114603642,VPS13D
201	NC_041319.1	78000000	78075000	3,2	VPS13D
202	NC_041319.1	78125000	78200000	2,2	LOC114603262,CNNM3,CNNM4
203	NC_041319.1	78225000	78725000	2,2,1,2,2,2,2,2,2,1,6,6,3,3,3,2,4,10,8	CNNM4,LMAN2L,FER1L5,NEURL3,LOC114602969,ARID5A,LOC114602615,LOC114602614,LOC114602616,LOC114602617,LOC114602618,LOC114602619,LOC114602613,LOC114603264,LOC114602620,NCAPH,ITPRIPL1
204	NC_041319.1	78775000	80175000	3,2,1,2,1,2,3,2,2,3,3,1,1,2,1,2,2,2,2,3,2,1,2,2,3,2,2,2,2,1,2,1,2,1,2,3,3,2,1,2,1,1,2,1,1,2,2,1	PROM2,KCNIP3,LOC114602629,GPAT2,LOC114602631,ADRA2B,ASTL,DUSP2,LOC114602633,STARD7,TMEM127,CIAO1,SNRNP200,SFTPB,USP39,C8H2orf68,LOC114602644,ADD2,LOC114602645,LOC114602643,LOC114602971,LOC114602648,LOC114602647,LOC114602649,LOC114602972,TACR1,LOC114602651,LOC114603275,SLC4A5,BOLA3,MTHFD2,TET3
205	NC_041319.1	80225000	80625000	3,3,1,3,2,1,23,20,27,3,1,1,2,2	TET3,DGUOK,ACTG2,STAMBP,DUSP11,KANSL3,UFM1,POLB,DKK4,GGCX,ANTXR1,GFPT1
206	NC_041319.1	80650000	81375000	3,3,3,2,3,2,1,2,1,1,2,2,3,3,2,2,2,1,2,3,1,1,2,2	NFU1,AAK1,ANXA4,TSR1,GMCL1,LOC114602674,TGFA,FAM136A,SNRPG,PCYOX1,TRNAG-CCC_4,TIA1,C8H2orf42,LOC114602681,LOC114602682,MXD1,SNRNP27,LOC114602686,TMEM150A,RNF181,VAMP8,GKN1,GKN2
207	NC_041319.1	81450000	82175000	2,1,1,2,2,2,2,1,2,1,1,2,1,1,1,2,3,2,1,2,2,1,3,3,3,2,4	ARHGAP25,CDS2,LOC114602693,LOC114602694,TMEM230,SLC23A2,LOC114602975,RASSF2,LOC114602699,LOC114602976,LOC114602977,SFTPC,LGI3,REEP4,NUDT18,FAM160B2,NDUFA10,LOC114602706,LOC114602705,DMTN,LOC114602708,PBDC1,LOC114602709,XPO7,DOK2
208	NC_041319.1	82250000	82300000	2	LOC114602978,GFRA2
209	NC_041319.1	82325000	82475000	9,3,2,1	GFRA2,LOC114603296
210	NC_041319.1	82700000	82950000	3,2,1,2,2,1,1,1,1	IL1B,LOC114602998,CKAP2L,LOC114603664,NT5DC4,SLC20A1,MRPS24,NPC1L1,DDX56
211	NC_041319.1	82975000	83450000	2,2,4,3,1,2,2,2,2,3,4,1,1,1,2,2,2	PSD4,PAX8,VPS29,RAD9B,PPTC7,LOC114602730,TCTN1,HVCN1,PPP1CC,CCDC63,MYL2,CUX2
212	NC_041319.1	83475000	83650000	2,2,3,1,2,2	CUX2,PHETA1,SH2B3
213	NC_041319.1	83750000	83925000	1,1,1,2,2,2	BRAP,ACAD10,ALDH2,MAPKAPK5
214	NC_041319.1	83975000	84125000	3,2,2,4,3	TMEM116,ERP29,NAA25,LOC114602751,LOC114603637,TRAFD1,HECTD4
215	NC_041319.1	84150000	85050000	1,2,2,3,1,1,2,1,1,2,2,3,2,2,1,1,1,2,5,5,3,3,1,2,2,4,4,2,2,2,3,3,1,3,2	HECTD4,RPL6,PTPN11,LOC114602757,LOC114602754,LOC114602755,LOC114602758,RPH3A,WSCD2,CMKLR1,LOC114602762,FICD,ATP13A2,SDHB,MFAP2,CROCC,TRNAI-GAU_30,NECAP2,SZRD1,FBXO42,CPLANE2,LOC114602773
216	NC_041319.1	85100000	85225000	1,3,2,3	EPHA2,LOC114602776,FAM131C,LOC114602778,HSPB7,ZBTB17,LOC114602782
217	NC_041319.1	85250000	85500000	2,2,3,1,2,3,1,2	SPEN,FBLIM1,TMEM82,SLC25A34,PLEKHM2,LOC114602788,DDOST,SH2D5,HP1BP3,EIF4G3
218	NC_041319.1	85575000	85775000	1,2,2,3,3,2,3	ECE1,ALPL,RAP1GAP
219	NC_041319.1	85825000	86625000	1,2,1,3,2,1,2,1,3,2,4,4,5,2,2,2,2,2,1,3,3,2,2,1,2,3,2,2,3	RAP1GAP,USP48,LOC114602981,LOC114602799,LOC114603323,LOC114602800,LOC114602801,CLCN6,LOC114602982,LOC114602805,LOC114602804,LOC114602806,LOC114602803,C8H1orf167,AGTRAP,LOC114602809,LOC114602810,MAD2L2,LOC114602813,LOC114602814,LOC114602983,LOC114602817,LOC114602815,TRIM62,SVBP,TMEM269,LOC114603335,LOC114603336,HSPG2
220	NC_041319.1	86650000	86900000	2,4,1,1,1,3,4,4	HSPG2,LOC114602822,LOC114602823,LOC114602824,LOC114602825,TCIM
221	NC_041319.1	86925000	87075000	3,2,1,3,3	ZMAT4,LOC114602829
222	NC_041319.1	87125000	88575000	1,2,7,3,3,2,5,6,6,3,3,3,2,2,2,3,2,3,3,3,2,1,1,2,4,3,2,3,3,7,6,5,2,4,9,3,3,2,2,2,2,3,3,6,8,6,3,3,2,1	ZMAT4,SFRP1,LOC114602833,GOLGA7,GINS4,LOC114602835,LOC114602836,GPAT4,NKX6-3,ANK1,LOC114602984,LOC114602985,AP3M2,PLAT,IKBKB,LOC114602843,LOC114602844,LOC114602845,LOC114602846,LOC114602986,VDAC3,LOC114602848,SH2D6,LOC114602850,LOC114602987,LOC114602851,LOC114602852,LOC114602853,LOC114602854,PURB,LOC114602856,ARHGEF10L
223	NC_041319.1	88625000	89200000	3,1,3,4,1,1,2,3,2,1,2,2,2,3,4,4,2,2,3,1	IGSF21,LOC114602989,LOC114602858,TRNAL-GAG,LOC114603361,LOC114603362,PAX7
224	NC_041319.1	89250000	89475000	3,6,3,3,2,2,1	PAX7,TAS1R2,ALDH4A1,IFFO2,LOC114601858
225	NC_041319.1	89600000	89825000	2,2,1,4,7,7,2,2	UBR4,EMC1,LOC114603369,LOC114602864,PQLC2,CAPZB
226	NC_041319.1	89850000	90100000	2,3,7,13,4,10,11,1	CAPZB,MICOS10,LOC114602869,LOC114602870,HTR6,LOC114602872,TMCO4,RNF186,TNFRSF8
227	NC_041319.1	90150000	90350000	8,8,3,12,9	MIIP,MFN2,LOC114602880,PLOD1,KIAA2013,LOC114602992
