Gene stable ID	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Ensembl Canonical	Gene name	Source of gene name	Gene % GC content	Gene type	GO term accession	GO term name	CDD ID	HGNC ID	NCBI gene (formerly Entrezgene) ID
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:0061518	microglial cell proliferation	cd20936	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:1905521	regulation of macrophage migration	cd20936	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:1990682	CSF1-CSF1R complex	cd20936	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:0036006	cellular response to macrophage colony-stimulating factor stimulus	cd04975	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:0030225	macrophage differentiation	cd04975	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:0010759	positive regulation of macrophage chemotaxis	cd04975	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:0120041	positive regulation of macrophage proliferation	cd04975	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:0005011	macrophage colony-stimulating factor receptor activity	cd04975	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:0038145	macrophage colony-stimulating factor signaling pathway	cd04975	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:0061518	microglial cell proliferation	cd04975	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:1905521	regulation of macrophage migration	cd04975	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:1990682	CSF1-CSF1R complex	cd04975	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:0036006	cellular response to macrophage colony-stimulating factor stimulus	cd00096	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:0030225	macrophage differentiation	cd00096	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:0010759	positive regulation of macrophage chemotaxis	cd00096	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:0120041	positive regulation of macrophage proliferation	cd00096	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:0005011	macrophage colony-stimulating factor receptor activity	cd00096	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:0038145	macrophage colony-stimulating factor signaling pathway	cd00096	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:0061518	microglial cell proliferation	cd00096	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:1905521	regulation of macrophage migration	cd00096	HGNC:2433	1436
ENSG00000182578	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	5	150053291	150113372	1	CSF1R	HGNC Symbol	48.1	protein_coding	GO:1990682	CSF1-CSF1R complex	cd00096	HGNC:2433	1436
ENSG00000176170	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	17	76376584	76387860		SPHK1	HGNC Symbol	60.21	protein_coding	GO:1903978	regulation of microglial cell activation		HGNC:11240	8877
ENSG00000176170	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	17	76376584	76387860	1	SPHK1	HGNC Symbol	60.21	protein_coding	GO:1903978	regulation of microglial cell activation		HGNC:11240	8877
ENSG00000197405	complement C5a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1338]	19	47290023	47322066	1	C5AR1	HGNC Symbol	49.69	protein_coding	GO:0001774	microglial cell activation	cd15114	HGNC:1338	728
ENSG00000197405	complement C5a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1338]	19	47290023	47322066	1	C5AR1	HGNC Symbol	49.69	protein_coding	GO:0010759	positive regulation of macrophage chemotaxis	cd15114	HGNC:1338	728
ENSG00000157227	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	14	22836560	22849041	1	MMP14	HGNC Symbol	57.24	protein_coding	GO:1905523	positive regulation of macrophage migration	cd00094	HGNC:7160	4323
ENSG00000157227	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	14	22836560	22849041	1	MMP14	HGNC Symbol	57.24	protein_coding	GO:1905523	positive regulation of macrophage migration	cd04278	HGNC:7160	4323
ENSG00000135047	cathepsin L [Source:HGNC Symbol;Acc:HGNC:2537]	9	87724051	87731469		CTSL	HGNC Symbol	45.11	protein_coding	GO:0071888	macrophage apoptotic process	cd02248	HGNC:2537	1514
ENSG00000135047	cathepsin L [Source:HGNC Symbol;Acc:HGNC:2537]	9	87724051	87731469	1	CTSL	HGNC Symbol	45.11	protein_coding	GO:0071888	macrophage apoptotic process	cd02248	HGNC:2537	1514
ENSG00000278624	azurocidin 1 [Source:HGNC Symbol;Acc:HGNC:913]	HSCHR19_5_CTG2	3940	10861	1	AZU1	HGNC Symbol	58.64	protein_coding	GO:0048246	macrophage chemotaxis	cd00190	HGNC:913	566
ENSG00000278624	azurocidin 1 [Source:HGNC Symbol;Acc:HGNC:913]	HSCHR19_5_CTG2	3940	10861	1	AZU1	HGNC Symbol	58.64	protein_coding	GO:0001774	microglial cell activation	cd00190	HGNC:913	566
ENSG00000169403	platelet activating factor receptor [Source:HGNC Symbol;Acc:HGNC:9582]	1	28147166	28193936	1	PTAFR	HGNC Symbol	48	protein_coding	GO:0001875	lipopolysaccharide immune receptor activity	cd15147	HGNC:9582	5724
ENSG00000284061	Fc alpha receptor [Source:HGNC Symbol;Acc:HGNC:3608]	HSCHR19KIR_HG2393_CTG3_1	20566	37751	1	FCAR	HGNC Symbol	47.46	protein_coding	GO:0097011	cellular response to granulocyte macrophage colony-stimulating factor stimulus	cd05711	HGNC:3608	2204
ENSG00000284061	Fc alpha receptor [Source:HGNC Symbol;Acc:HGNC:3608]	HSCHR19KIR_HG2393_CTG3_1	20566	37751	1	FCAR	HGNC Symbol	47.46	protein_coding	GO:0097011	cellular response to granulocyte macrophage colony-stimulating factor stimulus	cd05751	HGNC:3608	2204
ENSG00000278788	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]	HSCHR19_4_CTG2	222	49566	1	SBNO2	HGNC Symbol	62.6	protein_coding	GO:0002281	macrophage activation involved in immune response		HGNC:29158	22904
ENSG00000278788	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]	HSCHR19_4_CTG2	222	49566		SBNO2	HGNC Symbol	62.6	protein_coding	GO:0002281	macrophage activation involved in immune response		HGNC:29158	22904
ENSG00000165029	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	9	104781006	104928155	1	ABCA1	HGNC Symbol	43.42	protein_coding	GO:0010745	negative regulation of macrophage derived foam cell differentiation	cd03263	HGNC:29	19
ENSG00000127472	phospholipase A2 group V [Source:HGNC Symbol;Acc:HGNC:9038]	1	20028179	20091911	1	PLA2G5	HGNC Symbol	44.56	protein_coding	GO:0010744	positive regulation of macrophage derived foam cell differentiation	cd00125	HGNC:9038	5322
ENSG00000127472	phospholipase A2 group V [Source:HGNC Symbol;Acc:HGNC:9038]	1	20028179	20091911	1	PLA2G5	HGNC Symbol	44.56	protein_coding	GO:0090265	positive regulation of immune complex clearance by monocytes and macrophages	cd00125	HGNC:9038	5322
ENSG00000065427	lysyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6215]	16	75627474	75648643		KARS1	HGNC Symbol	45.57	protein_coding	GO:0043032	positive regulation of macrophage activation	cd04322	HGNC:6215	3735
ENSG00000065427	lysyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6215]	16	75627474	75648643		KARS1	HGNC Symbol	45.57	protein_coding	GO:0043032	positive regulation of macrophage activation	cd00775	HGNC:6215	3735
ENSG00000065427	lysyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6215]	16	75627474	75648643	1	KARS1	HGNC Symbol	45.57	protein_coding	GO:0043032	positive regulation of macrophage activation	cd04322	HGNC:6215	3735
ENSG00000065427	lysyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6215]	16	75627474	75648643	1	KARS1	HGNC Symbol	45.57	protein_coding	GO:0043032	positive regulation of macrophage activation	cd00775	HGNC:6215	3735
ENSG00000089041	purinergic receptor P2X 7 [Source:HGNC Symbol;Acc:HGNC:8537]	12	121132819	121188032	1	P2RX7	HGNC Symbol	46.29	protein_coding	GO:0060907	positive regulation of macrophage cytokine production		HGNC:8537	5027
ENSG00000131981	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	14	55124110	55145423	1	LGALS3	HGNC Symbol	44.62	protein_coding	GO:0048246	macrophage chemotaxis	cd00070	HGNC:6563	3958
ENSG00000262418	protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]	HSCHR1_3_CTG31	280076	363881	1	PTPRC	HGNC Symbol	34.34	protein_coding	GO:1903979	negative regulation of microglial cell activation	cd00063	HGNC:9666	5788
ENSG00000262418	protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]	HSCHR1_3_CTG31	280076	363881		PTPRC	HGNC Symbol	34.34	protein_coding	GO:1903979	negative regulation of microglial cell activation	cd00063	HGNC:9666	5788
ENSG00000096717	sirtuin 1 [Source:HGNC Symbol;Acc:HGNC:14929]	10	67884656	67918390	1	SIRT1	HGNC Symbol	40.88	protein_coding	GO:0060907	positive regulation of macrophage cytokine production	cd01408	HGNC:14929	23411
ENSG00000096717	sirtuin 1 [Source:HGNC Symbol;Acc:HGNC:14929]	10	67884656	67918390	1	SIRT1	HGNC Symbol	40.88	protein_coding	GO:0030225	macrophage differentiation	cd01408	HGNC:14929	23411
ENSG00000096717	sirtuin 1 [Source:HGNC Symbol;Acc:HGNC:14929]	10	67884656	67918390	1	SIRT1	HGNC Symbol	40.88	protein_coding	GO:2000111	positive regulation of macrophage apoptotic process	cd01408	HGNC:14929	23411
ENSG00000008438	peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]	19	46019153	46023053	1	PGLYRP1	HGNC Symbol	57.65	protein_coding	GO:0016019	peptidoglycan immune receptor activity	cd06583	HGNC:8904	8993
ENSG00000138172	calcium homeostasis modulator family member 2 [Source:HGNC Symbol;Acc:HGNC:23493]	10	103446786	103452402	1	CALHM2	HGNC Symbol	55.67	protein_coding	GO:1903978	regulation of microglial cell activation		HGNC:23493	51063
ENSG00000138172	calcium homeostasis modulator family member 2 [Source:HGNC Symbol;Acc:HGNC:23493]	10	103446786	103452402		CALHM2	HGNC Symbol	55.67	protein_coding	GO:1903978	regulation of microglial cell activation		HGNC:23493	51063
ENSG00000165379	leucine rich repeat and fibronectin type III domain containing 5 [Source:HGNC Symbol;Acc:HGNC:20360]	14	41606876	41904549	1	LRFN5	HGNC Symbol	34.67	protein_coding	GO:0043031	negative regulation of macrophage activation	cd05764	HGNC:20360	145581
ENSG00000169896	integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]	16	31259967	31332892		ITGAM	HGNC Symbol	43.36	protein_coding	GO:0001774	microglial cell activation	cd01469	HGNC:6149	3684
ENSG00000169896	integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]	16	31259967	31332892	1	ITGAM	HGNC Symbol	43.36	protein_coding	GO:0001774	microglial cell activation	cd01469	HGNC:6149	3684
ENSG00000275290	leukocyte immunoglobulin like receptor A2 [Source:HGNC Symbol;Acc:HGNC:6603]	HSCHR19_4_CTG3_1	555501	570141	1	LILRA2	HGNC Symbol	46.62	protein_coding	GO:0071657	positive regulation of granulocyte colony-stimulating factor production	cd05751	HGNC:6603	11027
ENSG00000275290	leukocyte immunoglobulin like receptor A2 [Source:HGNC Symbol;Acc:HGNC:6603]	HSCHR19_4_CTG3_1	555501	570141	1	LILRA2	HGNC Symbol	46.62	protein_coding	GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production	cd05751	HGNC:6603	11027
ENSG00000275290	leukocyte immunoglobulin like receptor A2 [Source:HGNC Symbol;Acc:HGNC:6603]	HSCHR19_4_CTG3_1	555501	570141		LILRA2	HGNC Symbol	46.62	protein_coding	GO:0071657	positive regulation of granulocyte colony-stimulating factor production	cd05751	HGNC:6603	11027
ENSG00000275290	leukocyte immunoglobulin like receptor A2 [Source:HGNC Symbol;Acc:HGNC:6603]	HSCHR19_4_CTG3_1	555501	570141		LILRA2	HGNC Symbol	46.62	protein_coding	GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production	cd05751	HGNC:6603	11027
ENSG00000276701	macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]	HSCHR22_1_CTG7	130366	131589	1	MIF	HGNC Symbol	69.2	protein_coding	GO:0043030	regulation of macrophage activation		HGNC:7097	4282
ENSG00000276701	macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]	HSCHR22_1_CTG7	130366	131589	1	MIF	HGNC Symbol	69.2	protein_coding	GO:0010760	negative regulation of macrophage chemotaxis		HGNC:7097	4282
ENSG00000275003	D-dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2732]	HSCHR22_1_CTG7	207729	216835		DDT	HGNC Symbol	54.24	protein_coding	GO:0010760	negative regulation of macrophage chemotaxis		HGNC:2732	1652
ENSG00000275003	D-dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2732]	HSCHR22_1_CTG7	207729	216835		DDT	HGNC Symbol	54.24	protein_coding	GO:0010760	negative regulation of macrophage chemotaxis		HGNC:2732	100037417
ENSG00000274580	Fc alpha receptor [Source:HGNC Symbol;Acc:HGNC:3608]	HSCHR19_4_CTG3_1	856818	873900	1	FCAR	HGNC Symbol	47.56	protein_coding	GO:0097011	cellular response to granulocyte macrophage colony-stimulating factor stimulus	cd05711	HGNC:3608	2204
ENSG00000274580	Fc alpha receptor [Source:HGNC Symbol;Acc:HGNC:3608]	HSCHR19_4_CTG3_1	856818	873900	1	FCAR	HGNC Symbol	47.56	protein_coding	GO:0097011	cellular response to granulocyte macrophage colony-stimulating factor stimulus	cd05751	HGNC:3608	2204
ENSG00000121853	growth hormone secretagogue receptor [Source:HGNC Symbol;Acc:HGNC:4267]	3	172443291	172448456	1	GHSR	HGNC Symbol	39.93	protein_coding	GO:2000110	negative regulation of macrophage apoptotic process	cd15131	HGNC:4267	2693
ENSG00000121053	eosinophil peroxidase [Source:HGNC Symbol;Acc:HGNC:3423]	17	58192726	58205174	1	EPX	HGNC Symbol	51.82	protein_coding	GO:0010936	negative regulation of macrophage cytokine production	cd09824	HGNC:3423	8288
ENSG00000070495	jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	17	76712832	76726799	1	JMJD6	HGNC Symbol	48.83	protein_coding	GO:0042116	macrophage activation		HGNC:19355	23210
ENSG00000106538	retinoic acid receptor responder 2 [Source:HGNC Symbol;Acc:HGNC:9868]	7	150338317	150341662	1	RARRES2	HGNC Symbol	62.31	protein_coding	GO:0010759	positive regulation of macrophage chemotaxis		HGNC:9868	5919
ENSG00000106538	retinoic acid receptor responder 2 [Source:HGNC Symbol;Acc:HGNC:9868]	7	150338317	150341662		RARRES2	HGNC Symbol	62.31	protein_coding	GO:0010759	positive regulation of macrophage chemotaxis		HGNC:9868	5919
ENSG00000099977	D-dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2732]	22	23970542	23980525		DDT	HGNC Symbol	54.25	protein_coding	GO:0010760	negative regulation of macrophage chemotaxis		HGNC:2732	1652
ENSG00000099977	D-dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2732]	22	23970542	23980525		DDT	HGNC Symbol	54.25	protein_coding	GO:0010760	negative regulation of macrophage chemotaxis		HGNC:2732	100037417
ENSG00000099977	D-dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2732]	22	23970542	23980525	1	DDT	HGNC Symbol	54.25	protein_coding	GO:0010760	negative regulation of macrophage chemotaxis		HGNC:2732	1652
ENSG00000099977	D-dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2732]	22	23970542	23980525	1	DDT	HGNC Symbol	54.25	protein_coding	GO:0010760	negative regulation of macrophage chemotaxis		HGNC:2732	100037417
ENSG00000274000	leukocyte immunoglobulin like receptor A2 [Source:HGNC Symbol;Acc:HGNC:6603]	HSCHR19LRC_COX1_CTG3_1	479310	493950		LILRA2	HGNC Symbol	46.62	protein_coding	GO:0071657	positive regulation of granulocyte colony-stimulating factor production	cd05751	HGNC:6603	11027
ENSG00000274000	leukocyte immunoglobulin like receptor A2 [Source:HGNC Symbol;Acc:HGNC:6603]	HSCHR19LRC_COX1_CTG3_1	479310	493950		LILRA2	HGNC Symbol	46.62	protein_coding	GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production	cd05751	HGNC:6603	11027
ENSG00000274669	leukocyte immunoglobulin like receptor B1 [Source:HGNC Symbol;Acc:HGNC:6605]	HSCHR19LRC_COX1_CTG3_1	523316	543942		LILRB1	HGNC Symbol	48.87	protein_coding	GO:0060907	positive regulation of macrophage cytokine production	cd05751	HGNC:6605	10859
ENSG00000153898	mucolipin TRP cation channel 2 [Source:HGNC Symbol;Acc:HGNC:13357]	1	84925583	84997113	1	MCOLN2	HGNC Symbol	40.38	protein_coding	GO:0071642	positive regulation of macrophage inflammatory protein 1 alpha production	cd21071	HGNC:13357	255231
ENSG00000153898	mucolipin TRP cation channel 2 [Source:HGNC Symbol;Acc:HGNC:13357]	1	84925583	84997113	1	MCOLN2	HGNC Symbol	40.38	protein_coding	GO:1905517	macrophage migration	cd21071	HGNC:13357	255231
ENSG00000144476	atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]	2	236567787	236582354	1	ACKR3	HGNC Symbol	50.01	protein_coding	GO:0005044	scavenger receptor activity	cd14987	HGNC:23692	57007
ENSG00000179954	scavenger receptor cysteine rich family member with 5 domains [Source:HGNC Symbol;Acc:HGNC:26641]	19	55488404	55519099	1	SSC5D	HGNC Symbol	54.52	protein_coding	GO:0005044	scavenger receptor activity		HGNC:26641	284297
ENSG00000179954	scavenger receptor cysteine rich family member with 5 domains [Source:HGNC Symbol;Acc:HGNC:26641]	19	55488404	55519099		SSC5D	HGNC Symbol	54.52	protein_coding	GO:0005044	scavenger receptor activity		HGNC:26641	284297
ENSG00000181092	adiponectin, C1Q and collagen domain containing [Source:HGNC Symbol;Acc:HGNC:13633]	3	186842704	186858463	1	ADIPOQ	HGNC Symbol	43.85	protein_coding	GO:0010745	negative regulation of macrophage derived foam cell differentiation		HGNC:13633	9370
ENSG00000181092	adiponectin, C1Q and collagen domain containing [Source:HGNC Symbol;Acc:HGNC:13633]	3	186842704	186858463	1	ADIPOQ	HGNC Symbol	43.85	protein_coding	GO:0045650	negative regulation of macrophage differentiation		HGNC:13633	9370
ENSG00000181092	adiponectin, C1Q and collagen domain containing [Source:HGNC Symbol;Acc:HGNC:13633]	3	186842704	186858463		ADIPOQ	HGNC Symbol	43.85	protein_coding	GO:0010745	negative regulation of macrophage derived foam cell differentiation		HGNC:13633	9370
ENSG00000181092	adiponectin, C1Q and collagen domain containing [Source:HGNC Symbol;Acc:HGNC:13633]	3	186842704	186858463		ADIPOQ	HGNC Symbol	43.85	protein_coding	GO:0045650	negative regulation of macrophage differentiation		HGNC:13633	9370
ENSG00000111199	transient receptor potential cation channel subfamily V member 4 [Source:HGNC Symbol;Acc:HGNC:18083]	12	109783087	109833406	1	TRPV4	HGNC Symbol	52.04	protein_coding	GO:0010759	positive regulation of macrophage chemotaxis	cd22195	HGNC:18083	59341
ENSG00000111199	transient receptor potential cation channel subfamily V member 4 [Source:HGNC Symbol;Acc:HGNC:18083]	12	109783087	109833406	1	TRPV4	HGNC Symbol	52.04	protein_coding	GO:0071642	positive regulation of macrophage inflammatory protein 1 alpha production	cd22195	HGNC:18083	59341
ENSG00000100078	phospholipase A2 group III [Source:HGNC Symbol;Acc:HGNC:17934]	22	31134807	31140508	1	PLA2G3	HGNC Symbol	56.98	protein_coding	GO:0010744	positive regulation of macrophage derived foam cell differentiation	cd04705	HGNC:17934	50487
ENSG00000100078	phospholipase A2 group III [Source:HGNC Symbol;Acc:HGNC:17934]	22	31134807	31140508	1	PLA2G3	HGNC Symbol	56.98	protein_coding	GO:0042116	macrophage activation	cd04705	HGNC:17934	50487
ENSG00000100078	phospholipase A2 group III [Source:HGNC Symbol;Acc:HGNC:17934]	22	31134807	31140508	1	PLA2G3	HGNC Symbol	56.98	protein_coding	GO:0010744	positive regulation of macrophage derived foam cell differentiation	cd04704	HGNC:17934	50487
ENSG00000100078	phospholipase A2 group III [Source:HGNC Symbol;Acc:HGNC:17934]	22	31134807	31140508	1	PLA2G3	HGNC Symbol	56.98	protein_coding	GO:0042116	macrophage activation	cd04704	HGNC:17934	50487
ENSG00000278634	leukocyte immunoglobulin like receptor A2 [Source:HGNC Symbol;Acc:HGNC:6603]	HSCHR19LRC_PGF1_CTG3_1	477804	492444		LILRA2	HGNC Symbol	46.62	protein_coding	GO:0071657	positive regulation of granulocyte colony-stimulating factor production	cd05751	HGNC:6603	11027
ENSG00000278634	leukocyte immunoglobulin like receptor A2 [Source:HGNC Symbol;Acc:HGNC:6603]	HSCHR19LRC_PGF1_CTG3_1	477804	492444		LILRA2	HGNC Symbol	46.62	protein_coding	GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production	cd05751	HGNC:6603	11027
ENSG00000127951	fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696]	7	77193369	77199848	1	FGL2	HGNC Symbol	35.71	protein_coding	GO:0002617	negative regulation of macrophage antigen processing and presentation	cd00087	HGNC:3696	10875
ENSG00000277807	leukocyte immunoglobulin like receptor B1 [Source:HGNC Symbol;Acc:HGNC:6605]	HSCHR19LRC_PGF1_CTG3_1	522048	542447		LILRB1	HGNC Symbol	48.81	protein_coding	GO:0060907	positive regulation of macrophage cytokine production	cd05751	HGNC:6605	10859
ENSG00000277807	leukocyte immunoglobulin like receptor B1 [Source:HGNC Symbol;Acc:HGNC:6605]	HSCHR19LRC_PGF1_CTG3_1	522048	542447	1	LILRB1	HGNC Symbol	48.81	protein_coding	GO:0060907	positive regulation of macrophage cytokine production	cd05751	HGNC:6605	10859
ENSG00000211891	immunoglobulin heavy constant epsilon [Source:HGNC Symbol;Acc:HGNC:5522]	14	105597691	105601728		IGHE	HGNC Symbol	65.48	IG_C_gene	GO:0042116	macrophage activation		HGNC:5522	3497
ENSG00000211891	immunoglobulin heavy constant epsilon [Source:HGNC Symbol;Acc:HGNC:5522]	14	105597691	105601728		IGHE	HGNC Symbol	65.48	IG_C_gene	GO:0030225	macrophage differentiation		HGNC:5522	3497
ENSG00000167601	AXL receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:905]	19	41219223	41261766	1	AXL	HGNC Symbol	50.86	protein_coding	GO:0010936	negative regulation of macrophage cytokine production	cd05075	HGNC:905	558
ENSG00000167601	AXL receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:905]	19	41219223	41261766	1	AXL	HGNC Symbol	50.86	protein_coding	GO:0010936	negative regulation of macrophage cytokine production	cd20966	HGNC:905	558
ENSG00000167601	AXL receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:905]	19	41219223	41261766	1	AXL	HGNC Symbol	50.86	protein_coding	GO:0010936	negative regulation of macrophage cytokine production	cd00063	HGNC:905	558
ENSG00000167601	AXL receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:905]	19	41219223	41261766	1	AXL	HGNC Symbol	50.86	protein_coding	GO:0010936	negative regulation of macrophage cytokine production	cd05749	HGNC:905	558
ENSG00000122641	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	7	41667168	41705834	1	INHBA	HGNC Symbol	40.65	protein_coding	GO:0045650	negative regulation of macrophage differentiation	cd19404	HGNC:6066	3624
ENSG00000122641	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	7	41667168	41705834		INHBA	HGNC Symbol	40.65	protein_coding	GO:0045650	negative regulation of macrophage differentiation	cd19404	HGNC:6066	3624
ENSG00000010610	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	12	6786858	6820799	1	CD4	HGNC Symbol	48.56	protein_coding	GO:0030225	macrophage differentiation	cd07690	HGNC:1678	920
ENSG00000010610	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	12	6786858	6820799	1	CD4	HGNC Symbol	48.56	protein_coding	GO:0097011	cellular response to granulocyte macrophage colony-stimulating factor stimulus	cd07690	HGNC:1678	920
ENSG00000010610	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	12	6786858	6820799	1	CD4	HGNC Symbol	48.56	protein_coding	GO:0030225	macrophage differentiation	cd07694	HGNC:1678	920
ENSG00000010610	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	12	6786858	6820799	1	CD4	HGNC Symbol	48.56	protein_coding	GO:0097011	cellular response to granulocyte macrophage colony-stimulating factor stimulus	cd07694	HGNC:1678	920
