Group	Order	Species_name	Species	Num_Gaps	Species	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	SF3B3-MTSS2	SF3B3-VAC14	MTSS2-VAC14	Species	Repeat_COG4_SF3B3	Repeat_COG4_MTSS2	Repeat_COG4_VAC14	Repeat_SF3B3_MTSS2	Repeat_SF3B3_VAC14	Repeat_MTSS2_VAC14
Mammalia	Monotremata	Ornithorhynchus_anatinus	Ornithorhynchus_anatinus	0	Ornithorhynchus_anatinus	5014	94503	134538	59430	99465	9638		Ornithorhynchus_anatinus	1250	22420	26898	18821	22640	2565
Mammalia	Lagomorpha	Oryctolagus_cuniculus	Oryctolagus_cuniculus	0	Oryctolagus_cuniculus	3081	130491	151268	69531	90308	1848		Oryctolagus_cuniculus	597	57985	60084	31801	34010	0
Mammalia	Artiodactyla	Ovis_aries	Ovis_aries	0	Ovis_aries	3557	110241	129100	71416	90275	1607		Ovis_aries	1125	39153	42662	28847	33055	0
Mammalia	Artiodactyla	Ovis_canadensis	Ovis_canadensis	0	Ovis_canadensis	3559	112508	131495	73740	92727	1607		Ovis_canadensis	1112	39205	42490	29381	33085	0
Mammalia	Primates	Pan_paniscus	Pan_paniscus	0	Pan_paniscus	3092	137106	161409	88900	113203	3862		Pan_paniscus	1435	74061	82333	54000	62265	0
Mammalia	Carnivora	Panthera_leo	Panthera_leo	0	Panthera_leo	4253	135204	158582	88428	111806	1029		Panthera_leo	1653	61669	68641	46753	53660	0
Mammalia	Carnivora	Panthera_onca	Panthera_onca	0	Panthera_onca	4274	117473	140604	74299	97430	2122		Panthera_onca	1671	47797	54117	33288	40985	0
Mammalia	Carnivora	Panthera_tigris	Panthera_tigris	0	Panthera_tigris	4604	135765	159093	88699	112027	1030		Panthera_tigris	2042	62199	69349	46954	53865	0
Mammalia	Carnivora	Panthera_uncia	Panthera_uncia	3	Panthera_uncia	4274	122172	146070	74690	98588	1030		Panthera_uncia	1633	50069	58256	34606	41989	0
Mammalia	Primates	Pan_troglodytes	Pan_troglodytes	0	Pan_troglodytes	3091	137742	165977	89541	117776	7799		Pan_troglodytes	1438	74238	82411	54153	62311	0
Mammalia	Primates	Papio_anubis	Papio_anubis	1	Papio_anubis	4826	138533	163190	84696	109353	2137		Papio_anubis	2668	72312	80389	47335	55766	0
Aves	Columbiformes	Patagioenas_fasciata	Patagioenas_fasciata	0	Patagioenas_fasciata	1427	45263	60083	15976	30796	2737		Patagioenas_fasciata	402	647	1323	0	676	0
Amphibia	Anura	Pelobates_fuscus	Pelobates_fuscus	0	Pelobates_fuscus	8068	118454	204317	97037	182900	10409		Pelobates_fuscus	0	3994	9185	3994	9409	950
Mammalia	Rodentia	Perognathus_longimembris	Perognathus_longimembris	0	Perognathus_longimembris	4522	86050	104690	42955	61595	5007		Perognathus_longimembris	2192	31144	32254	15100	16523	61
Mammalia	Rodentia	Peromyscus_eremicus	Peromyscus_eremicus	1	Peromyscus_eremicus	2646	101844	122469	62526	83151	1781		Peromyscus_eremicus	487	38476	41678	25328	29639	0
Mammalia	Rodentia	Peromyscus_leucopus	Peromyscus_leucopus	0	Peromyscus_leucopus	2672	105515	125740	66230	86455	1783		Peromyscus_leucopus	483	39096	41847	26047	29524	0
Mammalia	Rodentia	Peromyscus_maniculatus	Peromyscus_maniculatus	0	Peromyscus_maniculatus	2693	105112	125988	65418	86294	1764		Peromyscus_maniculatus	403	38967	41856	25835	29379	0
Mammalia	Artiodactyla	Phacochoerus_africanus	Phacochoerus_africanus	0	Phacochoerus_africanus	3846	137993	159401	83607	105015	2094		Phacochoerus_africanus	1550	63756	67875	40482	44613	0
Aves	Cuculiformes	Phaenicophaeus_curvirostris	Phaenicophaeus_curvirostris	0	Phaenicophaeus_curvirostris	1020	49601	66153	20330	36882	4228		Phaenicophaeus_curvirostris	0	3075	4336	2239	3581	0
Mammalia	Artiodactyla	Phocoena_phocoena	Phocoena_phocoena	0	Phocoena_phocoena	2879	113925	134568	67094	87737	2118		Phocoena_phocoena	624	43420	48634	27799	32709	0
Mammalia	Artiodactyla	Phocoena_sinus	Phocoena_sinus	0	Phocoena_sinus	2873	114442	135071	67364	87993	2112		Phocoena_sinus	651	43564	48992	28067	32982	0
Mammalia	Chiroptera	Phyllostomus_discolor	Phyllostomus_discolor	0	Phyllostomus_discolor	3846	110946	127433	68880	85367	1910		Phyllostomus_discolor	1121	42131	41509	29190	28908	0
Mammalia	Primates	Piliocolobus_tephrosceles	Piliocolobus_tephrosceles	6	Piliocolobus_tephrosceles	4526	144388	173110	91927	120649	10862		Piliocolobus_tephrosceles	2368	73390	76802	50337	53832	53
Aves	Passeriformes	Pithys_albifrons	Pithys_albifrons	0	Pithys_albifrons	1114	43553	57707	14394	28548	2720		Pithys_albifrons	0	290	314	0	0	0
Amphibia	Caudata	Pleurodeles_waltl	Pleurodeles_waltl	0	Pleurodeles_waltl	38754	1474866	2086623	1132694	1744451	303785		Pleurodeles_waltl	304	12561	18262	11164	16552	1990
Lepidosauria	Squamata	Podarcis_raffonei	Podarcis_raffonei	0	Podarcis_raffonei	2447	38023	95127	6567	63671	2807		Podarcis_raffonei	0	1176	3029	83	2032	0
Cladistia	Polypteriformes	Polypterus_senegalus	Polypterus_senegalus	10	Polypterus_senegalus	11690	35374636	35664197	35337291	35626852	32317		Polypterus_senegalus	682	1703238	1715725	1692456	1704943	1283
Mammalia	Primates	Pongo_abelii	Pongo_abelii	0	Pongo_abelii	3139	135291	163712	87060	115481	6060		Pongo_abelii	1484	67829	76413	47960	56492	65
Mammalia	Primates	Pongo_pygmaeus	Pongo_pygmaeus	0	Pongo_pygmaeus	3128	135458	163888	87206	115636	6053		Pongo_pygmaeus	1434	68053	76407	48171	56479	64
Aves	Passeriformes	Prinia_subflava	Prinia_subflava	0	Prinia_subflava	1070	43454	57166	14748	28460	2628		Prinia_subflava	0	154	172	0	0	0
Mammalia	Carnivora	Prionailurus_bengalensis	Prionailurus_bengalensis	0	Prionailurus_bengalensis	4218	137249	160636	89561	112948	2115		Prionailurus_bengalensis	1677	62988	71028	47166	54289	0
Mammalia	Carnivora	Prionailurus_viverrinus	Prionailurus_viverrinus	0	Prionailurus_viverrinus	4452	137678	161039	89520	112881	7274		Prionailurus_viverrinus	1754	63567	70766	46856	54059	270
Chondrichthyes		Pristiophorus_japonicus	Pristiophorus_japonicus	2	Pristiophorus_japonicus	37247	566810	888078	472392	793660	123103		Pristiophorus_japonicus	7683	102498	169215	84547	147530	26718
Chondrichthyes	Rhinopristiformes	Pristis_pectinata	Pristis_pectinata	0	Pristis_pectinata	11747	271463	470426	219348	418311	50310		Pristis_pectinata	1032	33786	52396	32568	51056	4648
	Ceratodontiformes	Protopterus_annectens	Protopterus_annectens	15	Protopterus_annectens	17299	10918603	12438660	11809159	13329216	277690		Protopterus_annectens	170	226708	253886	245510	286130	7670
Amphibia	Anura	Pseudophryne_corroboree	Pseudophryne_corroboree	0	Pseudophryne_corroboree	4123	349119	668472	326838	646191	151067		Pseudophryne_corroboree	0	18026	30728	17989	33574	8301
Aves	Passeriformes	Pseudopipra_pipra	Pseudopipra_pipra	0	Pseudopipra_pipra	1108	50232	64249	21472	35489	2711		Pseudopipra_pipra	0	95	291	95	291	0
Mammalia	Artiodactyla	Pseudorca_crassidens	Pseudorca_crassidens	0	Pseudorca_crassidens	2893	115634	136325	67596	88287	2157		Pseudorca_crassidens	659	43405	48943	26848	32323	0
Amphibia	Anura	Rana_temporaria	Rana_temporaria	0	Rana_temporaria	7156	152526	246385	117417	211276	23281		Rana_temporaria	0	4060	4432	3867	4018	0
Amphibia	Anura	Ranitomeya_imitator	Ranitomeya_imitator	0	Ranitomeya_imitator	2075	73415	194895	60108	181588	57036		Ranitomeya_imitator	0	0	1950	0	1950	1770
Mammalia	Rodentia	Rattus_norvegicus	Rattus_norvegicus	0	Rattus_norvegicus	2485	108311	129043	71222	91954	1739		Rattus_norvegicus	394	34475	39734	26081	30992	0
	Rheiformes	Rhea_pennata	Rhea_pennata	0	Rhea_pennata	1098	42995	59865	12638	29508	2773		Rhea_pennata	0	15	15	15	15	0
Amphibia	Gymnophiona	Rhinatrema_bivittatum	Rhinatrema_bivittatum	8	Rhinatrema_bivittatum	9221	27193834	27534600	26946598	27287364	76112		Rhinatrema_bivittatum	498	2470280	2509827	2446212	2484337	3874
Lepidosauria	Squamata	Rhineura_floridana	Rhineura_floridana	0	Rhineura_floridana	1755	74557	154739	9573	89755	4668		Rhineura_floridana	0	5673	14286	329	8771	0
Mammalia	Chiroptera	Rhinolophus_ferrumequinum	Rhinolophus_ferrumequinum	0	Rhinolophus_ferrumequinum	3235	106424	127185	67466	88227	6273		Rhinolophus_ferrumequinum	549	38994	42430	28296	32963	173
Mammalia	Primates	Rhinopithecus_roxellana	Rhinopithecus_roxellana	0	Rhinopithecus_roxellana	4528	139709	167698	86860	114849	6048		Rhinopithecus_roxellana	2427	73963	81355	49955	57363	170
Aves	Charadriiformes	Rissa_tridactyla	Rissa_tridactyla	0	Rissa_tridactyla	1136	47909	63289	17950	33330	3131		Rissa_tridactyla	0	652	664	0	0	0
Mammalia	Chiroptera	Saccopteryx_bilineata	Saccopteryx_bilineata	0	Saccopteryx_bilineata	2319	136744	152561	92153	107970	1918		Saccopteryx_bilineata	492	49164	50387	38538	39796	0
Mammalia	Chiroptera	Saccopteryx_leptura	Saccopteryx_leptura	0	Saccopteryx_leptura	2339	139920	155960	91247	107287	1933		Saccopteryx_leptura	493	50573	51887	39220	40444	0
Mammalia	Dasyuromorphia	Sarcophilus_harrisii	Sarcophilus_harrisii	0	Sarcophilus_harrisii	4385	158672	192394	124501	158223	2815		Sarcophilus_harrisii	279	26688	28920	22856	26121	0
Mammalia	Rodentia	Sciurus_carolinensis	Sciurus_carolinensis	0	Sciurus_carolinensis	3139	127820	147510	80368	100058	1947		Sciurus_carolinensis	1134	51339	55608	35108	39458	0
Chondrichthyes	Carcharhiniformes	Scyliorhinus_canicula	Scyliorhinus_canicula	0	Scyliorhinus_canicula	45011	606159	930071	491197	815109	122600		Scyliorhinus_canicula	1419	67186	101316	54783	87435	13387
Mammalia	Eulipotyphla	Sorex_araneus	Sorex_araneus	0	Sorex_araneus	3632	101479	118630	60834	77985	1587		Sorex_araneus	541	26651	28892	16398	18408	0
Amphibia	Anura	Spea_bombifrons	Spea_bombifrons	0	Spea_bombifrons	1013	25699	51165	14507	39973	3088		Spea_bombifrons	0	0	255	0	255	0
Lepidosauria	Squamata	Sphaerodactylus_townsendi	Sphaerodactylus_townsendi	0	Sphaerodactylus_townsendi	2320	39573	118440	4692	83559	5092		Sphaerodactylus_townsendi	0	325	3249	0	2924	0
Aves	Psittaciformes	Strigops_habroptila	Strigops_habroptila	1	Strigops_habroptila	1046	51571	61316	23245	32990	2546		Strigops_habroptila	0	465	474	0	0	0
Aves	Struthioniformes	Struthio_camelus	Struthio_camelus	0	Struthio_camelus	1168	53225	79071	21082	46928	4465		Struthio_camelus	0	1415	1415	81	81	0
Mammalia	Eulipotyphla	Suncus_etruscus	Suncus_etruscus	0	Suncus_etruscus	4082	123890	143988	67469	87567	1594		Suncus_etruscus	1202	49695	53772	26793	30987	0
Mammalia	Carnivora	Suricata_suricatta	Suricata_suricatta	6	Suricata_suricatta	3323	114109	134648	68011	88550	1675		Suricata_suricatta	817	40004	45414	25984	31199	0
Mammalia	Artiodactyla	Sus_scrofa	Sus_scrofa	0	Sus_scrofa	3592	138454	159795	84678	106019	2026		Sus_scrofa	1272	64834	69006	42370	46545	0
Mammalia	Primates	Symphalangus_syndactylus	Symphalangus_syndactylus	0	Symphalangus_syndactylus	5530	139034	164904	89358	115228	7822		Symphalangus_syndactylus	3228	73784	80094	52349	58639	0
Mammalia	Monotremata	Tachyglossus_aculeatus	Tachyglossus_aculeatus	0	Tachyglossus_aculeatus	5657	114849	165515	74963	125629	13313		Tachyglossus_aculeatus	2398	37257	52579	29809	44552	5960
Lepidosauria	Squamata	Thamnophis_elegans	Thamnophis_elegans	0	Thamnophis_elegans	683	44701	103594	4563	63456	697		Thamnophis_elegans	0	2584	8366	62	5208	0
Mammalia	Primates	Theropithecus_gelada	Theropithecus_gelada	7	Theropithecus_gelada	4832	140170	170099	85418	115347	7165		Theropithecus_gelada	2673	70429	79020	45019	53553	53
Mammalia	Diprotodontia	Trichosurus_vulpecula	Trichosurus_vulpecula	0	Trichosurus_vulpecula	1797	159579	195803	126010	162234	3425		Trichosurus_vulpecula	202	38002	42872	36583	41244	0
Mammalia	Artiodactyla	Tursiops_truncatus	Tursiops_truncatus	0	Tursiops_truncatus	2888	114036	134721	65986	86671	2135		Tursiops_truncatus	659	42538	47665	25636	30854	0
Mammalia	Carnivora	Ursus_arctos	Ursus_arctos	0	Ursus_arctos	3755	105308	124905	64377	83974	2083		Ursus_arctos	1003	35865	38169	24959	29220	0
Mammalia	Carnivora	Vulpes_lagopus	Vulpes_lagopus	0	Vulpes_lagopus	5635	133529	153982	81072	101525	1780		Vulpes_lagopus	2903	50123	55661	33669	39120	0
Amphibia	Anura	Xenopus_tropicalis	Xenopus_tropicalis	0	Xenopus_tropicalis	3446	131615	220477	91400	180262	30288		Xenopus_tropicalis	0	4610	5340	3561	4079	59
Mammalia	Carnivora	Zalophus_californianus	Zalophus_californianus	0	Zalophus_californianus	2831	114217	134722	71786	92291	6498		Zalophus_californianus	444	39217	44841	29750	34543	309
Lepidosauria	Squamata	Zootoca_vivipara	Zootoca_vivipara	0	Zootoca_vivipara	2562	42493	104062	6611	68180	2768		Zootoca_vivipara	0	1511	5190	101	4260	0
