Group	Order	Species_name	Species	Num_Gaps	Species	FCSK_COG4	FCSK_SF3B3	FCSK_MTSS2	FCSK_VAC14	FCSK_HYDIN	COG4_SF3B3	COG4_MTSS2	COG4_VAC14	COG4_HYDIN	SF3B3_MTSS2	SF3B3_VAC14	SF3B3_HYDIN	MTSS2_VAC14	MTSS2_HYDIN	VAC14_HYDIN	
Mammalia	Carnivora	Panthera_leo	Panthera_leo	0	Panthera_leo	1404	32430	163381	186759	294456	4253	135204	158582	266279	88428	111806	219503	1029	108726	6298	
Mammalia	Carnivora	Panthera_onca	Panthera_onca	13	Panthera_onca	1404	32762	145961	169092	276112	4274	117473	140604	247624	74299	97430	204450	2122	109142	6302	
Mammalia	Carnivora	Panthera_tigris	Panthera_tigris	0	Panthera_tigris	1404	32994	164155	187483	295842	4604	135765	159093	267452	88699	112027	220386	1030	109389	6550	
Mammalia	Carnivora	Panthera_uncia	Panthera_uncia	4	Panthera_uncia	1637	33226	151124	175022	298970	4274	122172	146070	270018	74690	98588	222536	1030	124978	21793	
Mammalia	Primates	Pan_troglodytes	Pan_troglodytes	0	Pan_troglodytes	1330	46602	181253	209488	325222	3091	137742	165977	281711	89541	117776	233510	7799	123533	6676	
Mammalia	Primates	Papio_anubis	Papio_anubis	1	Papio_anubis	1332	47705	181412	206069	329413	4826	138533	163190	286534	84696	109353	232697	2137	125481	7638	
Aves	Columbiformes	Patagioenas_fasciata	Patagioenas_fasciata	0	Patagioenas_fasciata	1440	18252	62088	76908	137848	1427	45263	60083	121023	15976	30796	91736	2737	63677	270	
Mammalia	Rodentia	Perognathus_longimembris	Perognathus_longimembris	0	Perognathus_longimembris	1134	26111	107639	126279	214523	4522	86050	104690	192934	42955	61595	149839	5007	93251	3705	
Mammalia	Rodentia	Peromyscus_eremicus	Peromyscus_eremicus	3	Peromyscus_eremicus	1171	44449	143647	164272	288741	2646	101844	122469	246938	62526	83151	207620	1781	126250	10357	
Mammalia	Rodentia	Peromyscus_leucopus	Peromyscus_leucopus	0	Peromyscus_leucopus	1152	43322	146165	166390	291483	2672	105515	125740	250833	66230	86455	211548	1783	126876	10665	
Mammalia	Rodentia	Peromyscus_maniculatus	Peromyscus_maniculatus	39	Peromyscus_maniculatus	1163	44080	146499	167375	293338	2693	105112	125988	251951	65418	86294	212257	1764	127727	10887	
Mammalia	Artiodactyla	Phacochoerus_africanus	Phacochoerus_africanus	0	Phacochoerus_africanus	1378	35145	169292	190700	398419	3846	137993	159401	367120	83607	105015	312734	2094	209813	104074	
Aves	Cuculiformes	Phaenicophaeus_curvirostris	Phaenicophaeus_curvirostris	0	Phaenicophaeus_curvirostris	1270	17806	66387	82939	7018488	1020	49601	66153	7027895	20330	36882	7044431	4228	7093012	7109564	
Mammalia	Artiodactyla	Phocoena_phocoena	Phocoena_phocoena	0	Phocoena_phocoena	1487	32057	143103	163746	560941	2879	113925	134568	531763	67094	87737	484932	2118	399313	299986	
Mammalia	Artiodactyla	Phocoena_sinus	Phocoena_sinus	0	Phocoena_sinus	1391	31345	142914	163543	381216	2873	114442	135071	352744	67364	87993	305666	2112	219785	120523	
Mammalia	Chiroptera	Phyllostomus_discolor	Phyllostomus_discolor	0	Phyllostomus_discolor	1399	30363	137463	153950	251505	3846	110946	127433	224988	68880	85367	182922	1910	99465	4843	
Mammalia	Primates	Piliocolobus_tephrosceles	Piliocolobus_tephrosceles	11	Piliocolobus_tephrosceles	6903	47207	187069	215791	334264	4526	144388	173110	291583	91927	120649	239122	10862	129335	7022	
Aves	Passeriformes	Pithys_albifrons	Pithys_albifrons	0	Pithys_albifrons	1371	17122	59561	73715	161186	1114	43553	57707	145178	14394	28548	116019	2720	90191	29726	
Amphibia	Caudata	Pleurodeles_waltl	Pleurodeles_waltl	0	Pleurodeles_waltl	10525	285121	1721233	2332990	3688450	38754	1474866	2086623	3442083	1132694	1744451	3099911	303785	1659245	114257	
Cladistia	Polypteriformes	Polypterus_senegalus	Polypterus_senegalus	3	Polypterus_senegalus	216	39854	35402800	35692361	14291067	11690	35374636	35664197	14262903	35337291	35626852	14225558	32317	20703795	20993356	
Mammalia	Primates	Pongo_abelii	Pongo_abelii	0	Pongo_abelii	1145	46852	179004	207425	326323	3139	135291	163712	282610	87060	115481	234379	6060	124958	6683	
Mammalia	Primates	Pongo_pygmaeus	Pongo_pygmaeus	0	Pongo_pygmaeus	1144	46851	179181	207611	322778	3128	135458	163888	279055	87206	115636	230803	6053	121220	6699	
Aves	Passeriformes	Prinia_subflava	Prinia_subflava	0	Prinia_subflava	1311	16880	59264	72976	8343221	1070	43454	57166	8351949	14748	28460	8367518	2628	8409902	8423614	
Mammalia	Carnivora	Prionailurus_bengalensis	Prionailurus_bengalensis	0	Prionailurus_bengalensis	1419	32501	165532	188919	296856	4218	137249	160636	268573	89561	112948	220885	2115	110052	6294	
Mammalia	Carnivora	Prionailurus_viverrinus	Prionailurus_viverrinus	0	Prionailurus_viverrinus	1419	33255	166481	189842	297804	4452	137678	161039	269001	89520	112881	220843	7274	115236	6300	
Chondrichthyes		Pristiophorus_japonicus	Pristiophorus_japonicus	7	Pristiophorus_japonicus	27814	118944	648507	969775	1916136	37247	566810	888078	2351340	472392	793660	2442470	123103	2972033	3293301	
Chondrichthyes	Rhinopristiformes	Pristis_pectinata	Pristis_pectinata	1	Pristis_pectinata	5425	59000	318716	517679	989017	11747	271463	470426	1215628	219348	418311	1269203	50310	1528919	1727882	
	Ceratodontiformes	Protopterus_annectens	Protopterus_annectens	16	Protopterus_annectens	317596	1208152	8745358	10265415	14608665	17299	10918603	12438660	16781910	11809159	13329216	17672466	277690	4620940	952906	
Amphibia	Anura	Pseudophryne_corroboree	Pseudophryne_corroboree	0	Pseudophryne_corroboree	334	122000	466996	786349	931575	4123	349119	668472	813698	326838	646191	791417	151067	296293	39202	
Aves	Passeriformes	Pseudopipra_pipra	Pseudopipra_pipra	0	Pseudopipra_pipra	1326	17105	66229	80246	137284	1108	50232	64249	121287	21472	35489	92527	2711	59749	1995	
Mammalia	Artiodactyla	Pseudorca_crassidens	Pseudorca_crassidens	0	Pseudorca_crassidens	1384	31338	144079	164770	376978	2893	115634	136325	348533	67596	88287	300495	2157	214365	5630	
Amphibia	Anura	Rana_temporaria	Rana_temporaria	0	Rana_temporaria	525	27456	172826	266685	324481	7156	152526	246385	304181	117417	211276	269072	23281	81077	4239	
Amphibia	Anura	Ranitomeya_imitator	Ranitomeya_imitator	0	Ranitomeya_imitator	382	47207	118547	240027	271139	2075	73415	194895	226007	60108	181588	212700	57036	88148	2131	
Mammalia	Rodentia	Rattus_norvegicus	Rattus_norvegicus	0	Rattus_norvegicus	1146	37240	143066	163798	272199	2485	108311	129043	237444	71222	91954	200355	1739	110140	7782	
Aves	Rheiformes	Rhea_pennata	Rhea_pennata	0	Rhea_pennata	1895	19102	60999	77869	179111	1098	42995	59865	161107	12638	29508	130750	2773	104015	537	
Amphibia	Gymnophiona	Rhinatrema_bivittatum	Rhinatrema_bivittatum	9	Rhinatrema_bivittatum	1849	164142	27348755	27689521	28243348	9221	27193834	27534600	28088427	26946598	27287364	27841191	76112	629939	33102	
Lepidosauria	Squamata	Rhineura_floridana	Rhineura_floridana	0	Rhineura_floridana	2586	44286	117088	197270	359319	1755	74557	154739	316788	9573	89755	251804	4668	166717	2387	
Mammalia	Chiroptera	Rhinolophus_ferrumequinum	Rhinolophus_ferrumequinum	0	Rhinolophus_ferrumequinum	1410	29011	132200	152961	252497	3235	106424	127185	226721	67466	88227	187763	6273	105809	6280	
Mammalia	Primates	Rhinopithecus_roxellana	Rhinopithecus_roxellana	0	Rhinopithecus_roxellana	1327	46009	181190	209179	328098	4528	139709	167698	286617	86860	114849	233768	6048	124967	7026	
Aves	Charadriiformes	Rissa_tridactyla	Rissa_tridactyla	0	Rissa_tridactyla	1490	18382	65155	80535	150335	1136	47909	63289	133089	17950	33330	103130	3131	72931	247	
Mammalia	Chiroptera	Saccopteryx_bilineata	Saccopteryx_bilineata	0	Saccopteryx_bilineata	2308	39119	173544	189361	295388	2319	136744	152561	258588	92153	107970	213997	1918	107945	7130	
Mammalia	Chiroptera	Saccopteryx_leptura	Saccopteryx_leptura	0	Saccopteryx_leptura	2055	36833	174414	190454	299180	2339	139920	155960	264686	91247	107287	216013	1933	110659	6322	
Mammalia	Dasyuromorphia	Sarcophilus_harrisii	Sarcophilus_harrisii	0	Sarcophilus_harrisii	1900	34533	188820	222542	342183	4385	158672	192394	312035	124501	158223	277864	2815	122456	12027	
Mammalia	Rodentia	Sciurus_carolinensis	Sciurus_carolinensis	0	Sciurus_carolinensis	1324	31249	155930	175620	284973	3139	127820	147510	256863	80368	100058	209411	1947	111300	7061	
Chondrichthyes	Carcharhiniformes	Scyliorhinus_canicula	Scyliorhinus_canicula	3	Scyliorhinus_canicula	12209	140338	701486	1025398	2213667	45011	606159	930071	2600542	491197	815109	2728671	122600	3289819	3613731	
Mammalia	Eulipotyphla	Sorex_araneus	Sorex_araneus	0	Sorex_araneus	1114	24698	122545	139696	204815	3632	101479	118630	183749	60834	77985	143104	1587	66706	15516	
Amphibia	Anura	Spea_bombifrons	Spea_bombifrons	0	Spea_bombifrons	578	11262	35948	61414	248262	1013	25699	51165	238013	14507	39973	226821	3088	189936	174922	
Lepidosauria	Squamata	Sphaerodactylus_townsendi	Sphaerodactylus_townsendi	0	Sphaerodactylus_townsendi	1544	19752	57005	135872	243061	2320	39573	118440	225629	4692	83559	190748	5092	112281	3062	
Aves	Psittaciformes	Strigops_habroptila	Strigops_habroptila	1	Strigops_habroptila	1424	19899	70424	80169	144151	1046	51571	61316	125298	23245	32990	96972	2546	66528	1317	
Aves	Struthioniformes	Struthio_camelus	Struthio_camelus	0	Struthio_camelus	1895	20047	72104	97950	207739	1168	53225	79071	188860	21082	46928	156717	4465	114254	333	
Mammalia	Eulipotyphla	Suncus_etruscus	Suncus_etruscus	0	Suncus_etruscus	1382	34899	154707	174805	240873	4082	123890	143988	210056	67469	87567	153635	1594	67662	6503	
Mammalia	Carnivora	Suricata_suricatta	Suricata_suricatta	14	Suricata_suricatta	1400	33202	143988	164527	269631	3323	114109	134648	239752	68011	88550	193654	1675	106779	6161	
Mammalia	Artiodactyla	Sus_scrofa	Sus_scrofa	0	Sus_scrofa	1400	36113	170975	192316	403579	3592	138454	159795	371058	84678	106019	317282	2026	213289	104572	
Mammalia	Primates	Symphalangus_syndactylus	Symphalangus_syndactylus	0	Symphalangus_syndactylus	1336	46401	179905	205775	321708	5530	139034	164904	280837	89358	115228	231161	7822	123755	7029	
Mammalia	Monotremata	Tachyglossus_aculeatus	Tachyglossus_aculeatus	0	Tachyglossus_aculeatus	3762	40316	149508	200174	384471	5657	114849	165515	349812	74963	125629	309926	13313	197610	9017	
Lepidosauria	Squamata	Thamnophis_elegans	Thamnophis_elegans	0	Thamnophis_elegans	2042	18327	62345	121238	165001	683	44701	103594	147357	4563	63456	107219	697	44460	268	
Mammalia	Primates	Theropithecus_gelada	Theropithecus_gelada	10	Theropithecus_gelada	1328	49022	184360	214289	336839	4832	140170	170099	292649	85418	115347	237897	7165	129715	7330	
Mammalia	Diprotodontia	Trichosurus_vulpecula	Trichosurus_vulpecula	1	Trichosurus_vulpecula	2069	34491	192273	228497	380550	1797	159579	195803	347856	126010	162234	314287	3425	155478	15035	
Mammalia	Artiodactyla	Tursiops_truncatus	Tursiops_truncatus	0	Tursiops_truncatus	1384	31324	142472	163157	378072	2888	114036	134721	349636	65986	86671	301586	2135	217050	117727	
Mammalia	Carnivora	Ursus_arctos	Ursus_arctos	0	Ursus_arctos	1434	30608	132161	151758	258234	3755	105308	124905	231381	64377	83974	190450	2083	108559	6555	
Mammalia	Carnivora	Vulpes_lagopus	Vulpes_lagopus	0	Vulpes_lagopus	1446	30325	158219	178672	285625	5635	133529	153982	260935	81072	101525	208478	1780	108733	6619	
Amphibia	Anura	Xenopus_tropicalis	Xenopus_tropicalis	0	Xenopus_tropicalis	1471	24107	152276	241138	333451	3446	131615	220477	312790	91400	180262	272575	30288	122601	9881	
Mammalia	Carnivora	Zalophus_californianus	Zalophus_californianus	0	Zalophus_californianus	1429	30825	142211	162716	269516	2831	114217	134722	241522	71786	92291	199091	6498	113298	5525	
Lepidosauria	Squamata	Zootoca_vivipara	Zootoca_vivipara	0	Zootoca_vivipara	878	19817	59748	121317	202362	2562	42493	104062	185107	6611	68180	149225	2768	83813	2309	
