Chicken.paralogue.gene.stable.ID	Gene.stable.ID	Karyotype.band	Gene.name	Transcript.count	Gene...GC.content	Chicken.paralogue.associated.gene.name	Chicken.paralogue.protein.or.transcript.ID	Chicken.paralogue.chromosome.scaffold.name	Chicken.paralogue.chromosome.scaffold.start..bp.	Chicken.paralogue.chromosome.scaffold.end..bp.	Paralogue.query.protein.or.transcript.ID	Paralogue.last.common.ancestor.with.Chicken	Chicken.paralogue.homology.type	Paralogue..id..target.Chicken.gene.identical.to.query.gene	Paralogue..id..query.gene.identical.to.target.Chicken.gene	Paralogue.GC.content
ENSGALG00010008777	ENSGALG00010021206	NA	HSD17B1	1	70.88	HSD17B3	ENSGALP00010011993	Z	42724719	42750588	ENSGALP00010030578	Opisthokonta	other_paralog	12.2517	13.4058	39.51
ENSGALG00010008894	ENSGALG00010003843	NA	LRCH1	5	38.69		ENSGALP00010012095	2	143468932	143470225	ENSGALP00010005244	Opisthokonta	other_paralog	4.12234	19.4969	51.85
ENSGALG00010008960	ENSGALG00010003843	NA	LRCH1	5	38.69	LRRC2	ENSGALP00010012150	Z	43041448	43148412	ENSGALP00010005244	Opisthokonta	other_paralog	10.3723	18.9781	37.86
ENSGALG00010009159	ENSGALG00010028086	NA	MATK	1	62.86	PTK2	ENSGALP00010012555	2	144624645	144822908	ENSGALP00010041802	Bilateria	other_paralog	28.1879	11.0721	40.33
ENSGALG00010009280	ENSGALG00010021206	NA	HSD17B1	1	70.88	HSD17B4	ENSGALP00010012678	Z	72086626	72142780	ENSGALP00010030578	Opisthokonta	other_paralog	17.5497	7.21088	37.76
ENSGALG00010009306	ENSGALG00010011597	NA	TBC1D14	4	40.66	TBC1D9	ENSGALP00010012728	4	29289091	29332028	ENSGALP00010015898	Opisthokonta	other_paralog	13.986	7.93651	39.82
ENSGALG00010009340	ENSGALG00010028086	NA	MATK	1	62.86	SYK	ENSGALP00010012788	Z	44660409	44712213	ENSGALP00010041802	Bilateria	other_paralog	31.0962	21.4176	39.58
ENSGALG00010009400	ENSGALG00010018665	NA	IL13RA2	5	48.98	CNTFR	ENSGALP00010012961	Z	8672049	8851145	ENSGALP00010026971	Vertebrata	other_paralog	10.0402	10.142	51.98
ENSGALG00010009400	ENSGALG00010020457	NA	IL5RA	3	42.94	CNTFR	ENSGALP00010012961	Z	8672049	8851145	ENSGALP00010029247	Vertebrata	other_paralog	10.6132	9.12779	51.98
ENSGALG00010009410	ENSGALG00010016966	NA	KDM3A	1	40.9	JMJD1C	ENSGALP00010013011	6	8501530	8648447	ENSGALP00010023930	Bilateria	other_paralog	37.0566	19.5618	44.93
ENSGALG00010009503	ENSGALG00010020457	NA	IL5RA	3	42.94	IL11RA	ENSGALP00010013109	Z	8869799	8887618	ENSGALP00010029247	Vertebrata	other_paralog	9.66981	8.41889	57.24
ENSGALG00010009503	ENSGALG00010018665	NA	IL13RA2	5	48.98	IL11RA	ENSGALP00010013109	Z	8869799	8887618	ENSGALP00010026971	Vertebrata	other_paralog	13.0522	13.347	57.24
ENSGALG00010009567	ENSGALG00010005979	NA	SUV39H2	1	40.21	NSD1	ENSGALP00010013183	13	9821829	9875256	ENSGALP00010008397	Opisthokonta	other_paralog	20.3931	2.9339	48.93
ENSGALG00010009663	ENSGALG00010028086	NA	MATK	1	62.86	FER	ENSGALP00010013347	Z	48115263	48288990	ENSGALP00010041802	Bilateria	other_paralog	35.5705	19.3431	37.91
ENSGALG00010009762	ENSGALG00010011487	NA	MAN2B2	4	39.28	MAN2A1	ENSGALP00010013477	Z	47825484	47944983	ENSGALP00010015760	Bilateria	within_species_paralog	21.9579	20.8153	36.9
ENSGALG00010009972	ENSGALG00010028086	NA	MATK	1	62.86	PTK2B	ENSGALP00010013605	3	104844433	104867940	ENSGALP00010041802	Bilateria	other_paralog	26.8456	10.9489	58.21
ENSGALG00010010205	ENSGALG00010004070	NA	ARL11	4	47.21	ARL5A	ENSGALP00010013811	7	34921061	34937661	ENSGALP00010005581	Opisthokonta	other_paralog	30.1508	33.5196	46.33
ENSGALG00010010534	ENSGALG00010013213	NA	SH2D1A	1	44.27	SYNJ1	ENSGALP00010014261	1	105102890	105163324	ENSGALP00010018572	Opisthokonta	other_paralog	20.1613	1.57928	37.73
ENSGALG00010010728	ENSGALG00010020275	NA	ELOVL3	1	51.9	ELOVL2	ENSGALP00010014438	2	62874944	62922075	ENSGALP00010028915	Opisthokonta	other_paralog	26.5873	22.5589	41.52
ENSGALG00010010770	ENSGALG00010002358	NA	FREM2	1	38.29	SLC8A2	ENSGALP00010014516	38	171445	182340	ENSGALP00010003187	Bilateria	other_paralog	6.12374	21.179	65.37
ENSGALG00010010911	ENSGALG00010029597	NA	ADAP2	1	44.72	ADAP1L	ENSGALP00010014732	1	51195435	51202009	ENSGALP00010044237	Opisthokonta	other_paralog	54.6703	52.7851	48.05
ENSGALG00010010944	ENSGALG00010002756	NA	STOML3	2	43.86	NPHS2	ENSGALP00010014835	8	6137759	6144091	ENSGALP00010003943	Vertebrata	within_species_paralog	31.8681	30.2083	46.44
ENSGALG00010010946	ENSGALG00010027341	NA	SH2D2A	2	60.03	SH2D4B	ENSGALP00010014837	6	4898579	4967511	ENSGALP00010040555	Bilateria	other_paralog	9.90291	11.8881	38.7
ENSGALG00010011049	ENSGALG00010028086	NA	MATK	1	62.86	ABL2	ENSGALP00010015069	8	6207978	6241762	ENSGALP00010041802	Bilateria	other_paralog	36.9128	13.9123	47.28
ENSGALG00010011130	ENSGALG00010013766	NA	DNM3	10	41.19	DNM1L	ENSGALP00010015183	1	58958333	58994687	ENSGALP00010019567	Opisthokonta	other_paralog	33.3333	42.1769	38.79
ENSGALG00010011161	ENSGALG00010011597	NA	TBC1D14	4	40.66	RABGAP1L	ENSGALP00010015229	8	7108467	7171125	ENSGALP00010015898	Opisthokonta	other_paralog	2.51748	4.85175	44.37
ENSGALG00010011317	ENSGALG00010028086	NA	MATK	1	62.86	BLK	ENSGALP00010015392	3	107036583	107071746	ENSGALP00010041802	Bilateria	other_paralog	33.7808	28.7072	47.41
ENSGALG00010011544	ENSGALG00010002756	NA	STOML3	2	43.86	STOML2	ENSGALP00010015823	Z	9137427	9143375	ENSGALP00010003943	Bilateria	within_species_paralog	21.7033	22.0056	53.32
ENSGALG00010011556	ENSGALG00010013414	NA	LAPTM5	2	45.77	LAPTM4B	ENSGALP00010015838	2	126914945	126976907	ENSGALP00010019085	Gnathostomata	within_species_paralog	14.1176	15.859	42.18
ENSGALG00010011564	ENSGALG00010029597	NA	ADAP2	1	44.72	ARAP3	ENSGALP00010015862	13	1579575	1597325	ENSGALP00010044237	Opisthokonta	other_paralog	26.6484	5.58756	57.83
ENSGALG00010011605	ENSGALG00010029597	NA	ADAP2	1	44.72	APPL2	ENSGALP00010015913	1	54258338	54291824	ENSGALP00010044237	Opisthokonta	other_paralog	5.76923	3.19149	42.29
ENSGALG00010011692	ENSGALG00010004070	NA	ARL11	4	47.21	ARL1	ENSGALP00010016050	1	47748071	47756192	ENSGALP00010005581	Opisthokonta	other_paralog	18.593	15.2263	44.87
ENSGALG00010011899	ENSGALG00010003843	NA	LRCH1	5	38.69	PHLPP1	ENSGALP00010016418	2	67716108	67847758	ENSGALP00010005244	Opisthokonta	other_paralog	14.8936	7.2165	41.48
ENSGALG00010012031	ENSGALG00010016403	NA	GRK4	2	37.32	GRK6	ENSGALP00010016587	13	9708609	9751614	ENSGALP00010022818	Bilateria	other_paralog	68.1898	69.2857	60.1
ENSGALG00010012041	ENSGALG00010004835	NA	HHLA2	8	41.49	ICOSLG	ENSGALP00010016603	1	110458982	110471879	ENSGALP00010006358	Gnathostomata	other_paralog	11.5681	13.6364	43.28
ENSGALG00010012053	ENSGALG00010004070	NA	ARL11	4	47.21	ARL2	ENSGALP00010016624	13	9717705	9719699	ENSGALP00010005581	Opisthokonta	other_paralog	31.6583	30.5825	60.8
ENSGALG00010012147	ENSGALG00010029597	NA	ADAP2	1	44.72	ARFGAP3	ENSGALP00010016922	1	68447853	68482097	ENSGALP00010044237	Opisthokonta	other_paralog	16.2088	10.3873	38.83
ENSGALG00010012148	ENSGALG00010005979	NA	SUV39H2	1	40.21	SETBP1	ENSGALP00010016892	Z	2964919	3233491	ENSGALP00010008397	Opisthokonta	other_paralog	4.1769	1.05459	41.36
ENSGALG00010012247	ENSGALG00010004070	NA	ARL11	4	47.21	TRIM23	ENSGALP00010017047	Z	21136806	21158045	ENSGALP00010005581	Opisthokonta	other_paralog	33.1658	8.96739	37.94
ENSGALG00010012314	ENSGALG00010009333	NA	ADRA1B	1	38.68	ADRB2	ENSGALP00010017135	13	8261676	8265017	ENSGALP00010012762	Bilateria	other_paralog	25.2465	27.234	58.95
ENSGALG00010012373	ENSGALG00010001486	NA	WNT2	2	50.63	WNT7B	ENSGALP00010017240	1	70831585	70926413	ENSGALP00010001879	Bilateria	other_paralog	41.2234	43.9093	41.64
ENSGALG00010012387	ENSGALG00010003843	NA	LRCH1	5	38.69	ERBIN	ENSGALP00010017265	Z	21282138	21398796	ENSGALP00010005244	Opisthokonta	other_paralog	14.7606	7.56646	37.96
ENSGALG00010012472	ENSGALG00010011940	NA	IL26	1	40.66	IL22	ENSGALP00010017411	1	35228884	35231341	ENSGALP00010016409	Amniota	within_species_paralog	17.0588	14.7208	44.91
ENSGALG00010012571	ENSGALG00010029597	NA	ADAP2	1	44.72	AGAP1	ENSGALP00010017499	7	5266055	5556030	ENSGALP00010044237	Opisthokonta	other_paralog	18.6813	7.65766	43.26
ENSGALG00010012669	ENSGALG00010002400	NA	RBBP7	2	41.43	ERCC8	ENSGALP00010017575	Z	19481559	19521166	ENSGALP00010003348	Opisthokonta	other_paralog	12.5	12.6794	38.92
ENSGALG00010012706	ENSGALG00010011597	NA	TBC1D14	4	40.66	TBC1D8B	ENSGALP00010017630	4	17323672	17355389	ENSGALP00010015898	Opisthokonta	other_paralog	13.2867	8.43694	39.31
ENSGALG00010012744	ENSGALG00010004070	NA	ARL11	4	47.21	ARL4C	ENSGALP00010017689	7	5779418	5795594	ENSGALP00010005581	Opisthokonta	other_paralog	33.6683	34.8958	51.45
ENSGALG00010012778	ENSGALG00010011597	NA	TBC1D14	4	40.66	TBC1D15	ENSGALP00010017803	1	36583070	36610318	ENSGALP00010015898	Opisthokonta	other_paralog	10.6294	10.7801	37.77
ENSGALG00010012833	ENSGALG00010028086	NA	MATK	1	62.86	JAK2	ENSGALP00010017849	Z	27948305	28033831	ENSGALP00010041802	Bilateria	other_paralog	26.8456	10.1523	37.08
ENSGALG00010012930	ENSGALG00010018665	NA	IL13RA2	5	48.98	IL6ST	ENSGALP00010018047	Z	17565726	17603286	ENSGALP00010026971	Vertebrata	other_paralog	11.6466	6.25674	40
ENSGALG00010012930	ENSGALG00010020457	NA	IL5RA	3	42.94	IL6ST	ENSGALP00010018047	Z	17565726	17603286	ENSGALP00010029247	Vertebrata	other_paralog	13.6792	6.25674	40
ENSGALG00010012976	ENSGALG00010021607	NA	SLC9A5	2	58.4	SLC9A2	ENSGALP00010018131	1	134106679	134138277	ENSGALP00010031367	Opisthokonta	other_paralog	34.0522	37.2208	42.13
ENSGALG00010012978	ENSGALG00010021206	NA	HSD17B1	1	70.88	HSD17B7	ENSGALP00010018137	8	3807060	3812949	ENSGALP00010030578	Opisthokonta	other_paralog	15.894	14.4578	55.13
ENSGALG00010013001	ENSGALG00010002358	NA	FREM2	1	38.29	ADGRV1	ENSGALP00010018187	Z	60230457	60499020	ENSGALP00010003187	Bilateria	other_paralog	15.0884	7.68489	36.43
ENSGALG00010013084	ENSGALG00010011597	NA	TBC1D14	4	40.66	SGSM3	ENSGALP00010018299	1	50101985	50128451	ENSGALP00010015898	Opisthokonta	other_paralog	12.1678	10.5583	50.95
ENSGALG00010013171	ENSGALG00010021607	NA	SLC9A5	2	58.4	SLC9A8	ENSGALP00010018475	20	14166223	14190694	ENSGALP00010031367	Opisthokonta	other_paralog	17.0261	25.5973	37.59
ENSGALG00010013179	ENSGALG00010011597	NA	TBC1D14	4	40.66	TBC1D30	ENSGALP00010018494	1	33921523	33971454	ENSGALP00010015898	Opisthokonta	other_paralog	9.51049	7.92541	39.3
ENSGALG00010013254	ENSGALG00010004070	NA	ARL11	4	47.21	SAR1B	ENSGALP00010018662	13	15342187	15356715	ENSGALP00010005581	Opisthokonta	other_paralog	28.1407	25.6881	42.78
ENSGALG00010013269	ENSGALG00010013213	NA	SH2D1A	1	44.27	INPP5B	ENSGALP00010018702	23	3893896	3909464	ENSGALP00010018572	Opisthokonta	other_paralog	20.9677	2.45052	49.28
ENSGALG00010013329	ENSGALG00010020457	NA	IL5RA	3	42.94	LIFR	ENSGALP00010018889	Z	12557510	12607545	ENSGALP00010029247	Vertebrata	other_paralog	13.6792	5.35549	40.96
ENSGALG00010013329	ENSGALG00010018665	NA	IL13RA2	5	48.98	LIFR	ENSGALP00010018889	Z	12557510	12607545	ENSGALP00010026971	Vertebrata	other_paralog	10.6426	4.89381	40.96
ENSGALG00010013340	ENSGALG00010023957	NA	YBX3	1	42.27	LIN28B	ENSGALP00010018904	3	68589642	68683082	ENSGALP00010035452	Bilateria	other_paralog	20.6186	23.2558	41.46
ENSGALG00010013344	ENSGALG00010018665	NA	IL13RA2	5	48.98	OSMR	ENSGALP00010018916	Z	12700944	12733210	ENSGALP00010026971	Vertebrata	other_paralog	10.6426	5.6867	39.94
ENSGALG00010013344	ENSGALG00010020457	NA	IL5RA	3	42.94	OSMR	ENSGALP00010018916	Z	12700944	12733210	ENSGALP00010029247	Vertebrata	other_paralog	12.0283	5.4721	39.94
ENSGALG00010013480	ENSGALG00010011597	NA	TBC1D14	4	40.66	TBC1D8	ENSGALP00010019199	1	133481605	133531623	ENSGALP00010015898	Opisthokonta	other_paralog	14.6853	9.05172	42.85
ENSGALG00010013604	ENSGALG00010028086	NA	MATK	1	62.86	FYN	ENSGALP00010019384	3	65580416	65709840	ENSGALP00010041802	Bilateria	other_paralog	34.0045	25.8065	43.17
ENSGALG00010013663	ENSGALG00010013766	NA	DNM3	10	41.19	OPA1	ENSGALP00010019494	9	12709497	12759335	ENSGALP00010019567	Opisthokonta	other_paralog	16.2366	14.8915	36.97
ENSGALG00010013809	ENSGALG00010013766	NA	DNM3	10	41.19	MX1	ENSGALP00010019597	1	109001642	109022485	ENSGALP00010019567	Opisthokonta	other_paralog	18.9247	24.9645	42.04
ENSGALG00010013886	ENSGALG00010021607	NA	SLC9A5	2	58.4	SLC9A4	ENSGALP00010019660	1	134052924	134086786	ENSGALP00010031367	Opisthokonta	other_paralog	29.8524	33.9793	39.59
ENSGALG00010013899	ENSGALG00010001486	NA	WNT2	2	50.63	WNT5B	ENSGALP00010019666	1	60910921	60976792	ENSGALP00010001879	Bilateria	other_paralog	44.1489	43.342	50.82
ENSGALG00010014049	ENSGALG00010004070	NA	ARL11	4	47.21		ENSGALP00010019846	Z	32383869	32385378	ENSGALP00010005581	Opisthokonta	other_paralog	20.1005	24.6914	53.31
ENSGALG00010014089	ENSGALG00010013213	NA	SH2D1A	1	44.27	FIG4	ENSGALP00010019904	3	66483508	66550149	ENSGALP00010018572	Opisthokonta	other_paralog	16.9355	2.31023	36.82
ENSGALG00010014198	ENSGALG00010016966	NA	KDM3A	1	40.9	KDM3B	ENSGALP00010020082	13	17762644	17808833	ENSGALP00010023930	Bilateria	other_paralog	47.5472	35.513	39.47
ENSGALG00010014218	ENSGALG00010018665	NA	IL13RA2	5	48.98	IL31RA	ENSGALP00010020124	Z	17523470	17557000	ENSGALP00010026971	Vertebrata	other_paralog	11.245	6.3854	37.46
ENSGALG00010014218	ENSGALG00010020457	NA	IL5RA	3	42.94	IL31RA	ENSGALP00010020124	Z	17523470	17557000	ENSGALP00010029247	Vertebrata	other_paralog	13.9151	6.72748	37.46
ENSGALG00010014235	ENSGALG00010003843	NA	LRCH1	5	38.69	LRRC10	ENSGALP00010020140	1	35641215	35642961	ENSGALP00010005244	Opisthokonta	other_paralog	7.31383	19.7842	58.21
ENSGALG00010014305	ENSGALG00010004070	NA	ARL11	4	47.21	ARL10	ENSGALP00010020231	13	10023391	10026511	ENSGALP00010005581	Opisthokonta	other_paralog	29.6482	25.3219	63.38
ENSGALG00010014306	ENSGALG00010021607	NA	SLC9A5	2	58.4		ENSGALP00010020250	4	9258669	9286462	ENSGALP00010031367	Opisthokonta	other_paralog	29.7389	43.3058	45.62
ENSGALG00010014599	ENSGALG00010018057	NA	SSTR4	3	56.14	SSTR3	ENSGALP00010020469	1	51463017	51473976	ENSGALP00010025982	Bilateria	other_paralog	36.3636	35.8209	50.26
ENSGALG00010014602	ENSGALG00010028086	NA	MATK	1	62.86	FRK	ENSGALP00010020468	3	63742019	63788858	ENSGALP00010041802	Bilateria	other_paralog	29.0828	26.8041	36.55
ENSGALG00010014614	ENSGALG00010018665	NA	IL13RA2	5	48.98	GHR	ENSGALP00010020481	Z	13962276	14094487	ENSGALP00010026971	Vertebrata	other_paralog	7.83133	6.03715	39.63
ENSGALG00010014614	ENSGALG00010020457	NA	IL5RA	3	42.94	GHR	ENSGALP00010020481	Z	13962276	14094487	ENSGALP00010029247	Vertebrata	other_paralog	8.49057	5.57276	39.63
ENSGALG00010014617	ENSGALG00010011597	NA	TBC1D14	4	40.66	GRTP1	ENSGALP00010020478	1	137471583	137500860	ENSGALP00010015898	Opisthokonta	other_paralog	9.93007	20.944	44.35
ENSGALG00010014682	ENSGALG00010020457	NA	IL5RA	3	42.94	IL13RA1	ENSGALP00010020535	4	3348078	3362081	ENSGALP00010029247	Vertebrata	other_paralog	11.5566	9.49612	43.83
ENSGALG00010014682	ENSGALG00010018665	NA	IL13RA2	5	48.98	IL13RA1	ENSGALP00010020535	4	3348078	3362081	ENSGALP00010026971	Vertebrata	other_paralog	9.03614	8.72093	43.83
ENSGALG00010014690	ENSGALG00010020457	NA	IL5RA	3	42.94	CSF3R	ENSGALP00010020560	23	4375560	4381043	ENSGALP00010029247	Vertebrata	other_paralog	12.9717	6.65054	64.17
ENSGALG00010014690	ENSGALG00010018665	NA	IL13RA2	5	48.98	CSF3R	ENSGALP00010020560	23	4375560	4381043	ENSGALP00010026971	Vertebrata	other_paralog	11.6466	7.0133	64.17
ENSGALG00010014705	ENSGALG00010029597	NA	ADAP2	1	44.72	ARAP2	ENSGALP00010020577	4	69715169	69830550	ENSGALP00010044237	Opisthokonta	other_paralog	25.5494	5.47059	35.17
ENSGALG00010014717	ENSGALG00010020275	NA	ELOVL3	1	51.9	ELOVL7	ENSGALP00010020579	Z	19427104	19459316	ENSGALP00010028915	Opisthokonta	other_paralog	24.6032	22.2222	40.75
ENSGALG00010014796	ENSGALG00010018665	NA	IL13RA2	5	48.98	PRLR	ENSGALP00010020675	Z	11166761	11188768	ENSGALP00010026971	Vertebrata	other_paralog	10.241	6.13718	40.13
ENSGALG00010014796	ENSGALG00010020457	NA	IL5RA	3	42.94	PRLR	ENSGALP00010020675	Z	11166761	11188768	ENSGALP00010029247	Vertebrata	other_paralog	12.2642	6.25752	40.13
ENSGALG00010014886	ENSGALG00010011597	NA	TBC1D14	4	40.66	RABGAP1L	ENSGALP00010020771	8	7172811	7295473	ENSGALP00010015898	Opisthokonta	other_paralog	13.7063	12.9288	42
ENSGALG00010014893	ENSGALG00010021607	NA	SLC9A5	2	58.4	SLC9A6	ENSGALP00010020778	4	4135846	4151000	ENSGALP00010031367	Opisthokonta	other_paralog	19.5233	25.257	51.6
ENSGALG00010014992	ENSGALG00010004070	NA	ARL11	4	47.21	ARL15	ENSGALP00010020952	Z	16735174	16955040	ENSGALP00010005581	Opisthokonta	other_paralog	24.6231	20.2479	37.8
ENSGALG00010014995	ENSGALG00010013808	NA	HRASLS	2	56.48	LRAT	ENSGALP00010020938	4	19862293	19865314	ENSGALP00010019591	Vertebrata	other_paralog	28.4024	20.6897	46.33
ENSGALG00010015076	ENSGALG00010028086	NA	MATK	1	62.86	ITK	ENSGALP00010021097	13	11020451	11048454	ENSGALP00010041802	Bilateria	other_paralog	31.0962	22.0285	41.9
ENSGALG00010015100	ENSGALG00010020696	NA	MOB1A	2	52.15	MOB4	ENSGALP00010021153	7	9842489	9892488	ENSGALP00010029536	Opisthokonta	other_paralog	22.3744	13.9205	39.17
ENSGALG00010015128	ENSGALG00010013213	NA	SH2D1A	1	44.27	OCRL	ENSGALP00010021206	4	1605064	1625227	ENSGALP00010018572	Opisthokonta	other_paralog	26.6129	3.54458	50.38
ENSGALG00010015135	ENSGALG00010013109	NA	RIPPLY3	1	33.65	RIPPLY1	ENSGALP00010021219	4	10893796	10895498	ENSGALP00010018343	Euteleostomi	other_paralog	31.3043	23.6842	60.89
ENSGALG00010015146	ENSGALG00010028086	NA	MATK	1	62.86	TNK2	ENSGALP00010021250	9	14647344	14667063	ENSGALP00010041802	Bilateria	other_paralog	25.9508	9.66667	66.26
ENSGALG00010015200	ENSGALG00010011597	NA	TBC1D14	4	40.66	TBC1D1	ENSGALP00010021376	4	69213359	69309440	ENSGALP00010015898	Opisthokonta	other_paralog	14.4056	8.05947	40.17
ENSGALG00010015213	ENSGALG00010003821	NA	RUBCNL	3	42.82	RUBCN	ENSGALP00010021385	9	14707264	14731505	ENSGALP00010005187	Bilateria	other_paralog	28.5714	20.8812	52.4
ENSGALG00010015278	ENSGALG00010001486	NA	WNT2	2	50.63	WNT8A	ENSGALP00010021430	13	13942102	13947255	ENSGALP00010001879	Bilateria	other_paralog	36.1702	38.0952	52.29
ENSGALG00010015386	ENSGALG00010017819	NA	SLC24A1	1	44.01	SLC24A4	ENSGALP00010021507	5	44171286	44251159	ENSGALP00010025556	Bilateria	within_species_paralog	31.0709	33.7152	38.22
ENSGALG00010015580	ENSGALG00010002400	NA	RBBP7	2	41.43	GEMIN5	ENSGALP00010021717	13	11619198	11642490	ENSGALP00010003348	Opisthokonta	other_paralog	22.6415	6.22972	40.54
ENSGALG00010015653	ENSGALG00010028086	NA	MATK	1	62.86	HCK	ENSGALP00010021777	20	10447927	10455093	ENSGALP00010041802	Bilateria	other_paralog	34.2282	28.9225	56.9
ENSGALG00010015774	ENSGALG00010003795	NA	LCP1	7	43.23	PLS1	ENSGALP00010021919	9	10160551	10198792	ENSGALP00010005144	Vertebrata	within_species_paralog	66.9683	66.2687	37
ENSGALG00010015887	ENSGALG00010021607	NA	SLC9A5	2	58.4	SLC9A9	ENSGALP00010022126	9	10381529	10558641	ENSGALP00010031367	Opisthokonta	other_paralog	18.6152	25.5054	37.04
ENSGALG00010015975	ENSGALG00010028086	NA	MATK	1	62.86	BTK	ENSGALP00010022279	4	1984439	1995859	ENSGALP00010041802	Bilateria	other_paralog	32.2148	19.9723	55.87
ENSGALG00010016260	ENSGALG00010002925	NA	INTS6	3	37.39	INTS6L	ENSGALP00010022574	4	4088961	4122045	ENSGALP00010004148	Vertebrata	within_species_paralog	70.7207	69.8554	41.72
ENSGALG00010016336	ENSGALG00010017819	NA	SLC24A1	1	44.01	SLC24A2	ENSGALP00010022683	Z	34242387	34345595	ENSGALP00010025556	Gnathostomata	within_species_paralog	55.3545	56.3748	38.68
ENSGALG00010016428	ENSGALG00010009333	NA	ADRA1B	1	38.68	ADRA1D	ENSGALP00010022852	4	87932587	87969116	ENSGALP00010012762	Bilateria	other_paralog	51.0848	50.6849	44.76
ENSGALG00010016463	ENSGALG00010002358	NA	FREM2	1	38.29	FREM1	ENSGALP00010022911	Z	32157853	32216818	ENSGALP00010003187	Bilateria	other_paralog	20.8649	30.2656	39.99
ENSGALG00010016470	ENSGALG00010017513	NA	TNIP2	1	45.1	TNIP1	ENSGALP00010022938	13	12651895	12661358	ENSGALP00010024808	Gnathostomata	within_species_paralog	17.2745	14.658	60.4
ENSGALG00010016556	ENSGALG00010029597	NA	ADAP2	1	44.72	ASAP3	ENSGALP00010023084	23	2546339	2564388	ENSGALP00010044237	Opisthokonta	other_paralog	20.3297	6.75182	62.88
ENSGALG00010016648	ENSGALG00010009333	NA	ADRA1B	1	38.68	ADRA2C	ENSGALP00010023261	4	81082361	81086985	ENSGALP00010012762	Bilateria	other_paralog	24.0631	27.3543	44.89
ENSGALG00010016718	ENSGALG00010023957	NA	YBX3	1	42.27	LIN28A	ENSGALP00010023368	23	546845	561069	ENSGALP00010035452	Bilateria	other_paralog	18.9003	23.8095	55.42
ENSGALG00010016793	ENSGALG00010021607	NA	SLC9A5	2	58.4	SLC9A1	ENSGALP00010023522	23	2237984	2256937	ENSGALP00010031367	Opisthokonta	other_paralog	32.6901	35.8655	62.46
ENSGALG00010016851	ENSGALG00010028086	NA	MATK	1	62.86	TEC	ENSGALP00010023627	4	66020579	66062769	ENSGALP00010041802	Bilateria	other_paralog	32.2148	22.8571	40.74
ENSGALG00010016855	ENSGALG00010003843	NA	LRCH1	5	38.69	LRRIQ4	ENSGALP00010023624	9	19635310	19640658	ENSGALP00010005244	Opisthokonta	other_paralog	9.44149	12.0543	44.18
ENSGALG00010016861	ENSGALG00010028086	NA	MATK	1	62.86	FGR	ENSGALP00010023644	23	2419317	2428336	ENSGALP00010041802	Bilateria	other_paralog	34.4519	28.7313	64.86
ENSGALG00010016862	ENSGALG00010028086	NA	MATK	1	62.86	TXK	ENSGALP00010023643	4	66064006	66081357	ENSGALP00010041802	Bilateria	other_paralog	30.4251	24.1135	38.8
ENSGALG00010016893	ENSGALG00010011597	NA	TBC1D14	4	40.66	TBC1D9B	ENSGALP00010023736	13	13042771	13061838	ENSGALP00010015898	Opisthokonta	other_paralog	14.2657	8.13397	43.02
ENSGALG00010016910	ENSGALG00010005979	NA	SUV39H2	1	40.21	WHSC1	ENSGALP00010023777	4	82725908	82799670	ENSGALP00010008397	Opisthokonta	other_paralog	20.6388	6.02151	38.79
ENSGALG00010016941	ENSGALG00010002358	NA	FREM2	1	38.29	SLC8A1	ENSGALP00010023875	3	15992117	16087008	ENSGALP00010003187	Bilateria	other_paralog	6.88131	22.4974	48.37
ENSGALG00010016944	ENSGALG00010018057	NA	SSTR4	3	56.14	OPRD1	ENSGALP00010023871	23	2524846	2532516	ENSGALP00010025982	Bilateria	other_paralog	30.8081	33.3333	60.41
ENSGALG00010016957	ENSGALG00010001486	NA	WNT2	2	50.63	WNT4	ENSGALP00010023903	21	6275987	6309892	ENSGALP00010001879	Bilateria	other_paralog	43.0851	45.1253	52.85
ENSGALG00010017167	ENSGALG00010029597	NA	ADAP2	1	44.72	SMAP2	ENSGALP00010024261	23	5245442	5258830	ENSGALP00010044237	Opisthokonta	other_paralog	21.7033	17.5947	54.82
ENSGALG00010017375	ENSGALG00010021206	NA	HSD17B1	1	70.88	BDH1A	ENSGALP00010024540	9	12322033	12335645	ENSGALP00010030578	Opisthokonta	other_paralog	21.8543	19.242	46.02
ENSGALG00010017383	ENSGALG00010021206	NA	HSD17B1	1	70.88	BDH1B	ENSGALP00010024552	9	12335706	12353123	ENSGALP00010030578	Opisthokonta	other_paralog	21.8543	18.4874	45.42
ENSGALG00010017438	ENSGALG00010009333	NA	ADRA1B	1	38.68	ADRB3	ENSGALP00010024648	22	2410032	2413206	ENSGALP00010012762	Bilateria	other_paralog	25.8383	29.9771	64.35
ENSGALG00010017442	ENSGALG00010028086	NA	MATK	1	62.86	LCK	ENSGALP00010024654	23	5500671	5508547	ENSGALP00010041802	Bilateria	other_paralog	24.8322	17.8457	63.18
ENSGALG00010017479	ENSGALG00010018057	NA	SSTR4	3	56.14	SSTR5	ENSGALP00010024743	14	5623056	5639833	ENSGALP00010025982	Bilateria	other_paralog	41.6667	44.5946	45.21
ENSGALG00010017500	ENSGALG00010029597	NA	ADAP2	1	44.72	ACAP2	ENSGALP00010024810	9	12378142	12436141	ENSGALP00010044237	Opisthokonta	other_paralog	20.0549	8.90244	40.17
