Chicken.paralogue.gene.stable.ID	Gene.stable.ID	Gene.name	Gene...GC.content	Paralogue..id..target.Chicken.gene.identical.to.query.gene	Paralogue.GC.content	gene_gc.x	Gene_stable_ID_rank	gene_gc.y	Chicken.paralogue_gene_stable_ID_rank	identity_bin_raw	identity_bin_labeled	identity_bin
ENSGALG00010013480	ENSGALG00010011597	TBC1D14	40.66	14.6853	42.85	40.66	15	42.85	154	[0,25)	0–25%	0–25%
ENSGALG00010013604	ENSGALG00010028086	MATK	62.86	34.0045	43.17	62.86	51	43.17	159	[25,50)	25–50%	25–50%
ENSGALG00010013663	ENSGALG00010013766	DNM3	41.19	16.2366	36.97	41.19	20	36.97	18	[0,25)	0–25%	0–25%
ENSGALG00010013809	ENSGALG00010013766	DNM3	41.19	18.9247	42.04	41.19	20	42.04	141	[0,25)	0–25%	0–25%
ENSGALG00010013886	ENSGALG00010021607	SLC9A5	58.4	29.8524	39.59	58.4	48	39.59	77	[25,50)	25–50%	25–50%
ENSGALG00010013899	ENSGALG00010001486	WNT2	50.63	44.1489	50.82	50.63	42	50.82	279	[25,50)	25–50%	25–50%
ENSGALG00010014049	ENSGALG00010004070	ARL11	47.21	20.1005	53.31	47.21	40	53.31	299	[0,25)	0–25%	0–25%
ENSGALG00010014089	ENSGALG00010013213	SH2D1A	44.27	16.9355	36.82	44.27	32	36.82	13	[0,25)	0–25%	0–25%
ENSGALG00010014198	ENSGALG00010016966	KDM3A	40.9	47.5472	39.47	40.9	18	39.47	74	[25,50)	25–50%	25–50%
ENSGALG00010014218	ENSGALG00010018665	IL13RA2	48.98	11.245	37.46	48.98	41	37.46	26	[0,25)	0–25%	0–25%
ENSGALG00010014218	ENSGALG00010020457	IL5RA	42.94	13.9151	37.46	42.94	28	37.46	26	[0,25)	0–25%	0–25%
ENSGALG00010014235	ENSGALG00010003843	LRCH1	38.69	7.31383	58.21	38.69	11	58.21	337	[0,25)	0–25%	0–25%
ENSGALG00010014305	ENSGALG00010004070	ARL11	47.21	29.6482	63.38	47.21	40	63.38	373	[25,50)	25–50%	25–50%
ENSGALG00010014306	ENSGALG00010021607	SLC9A5	58.4	29.7389	45.62	58.4	48	45.62	209	[25,50)	25–50%	25–50%
ENSGALG00010014599	ENSGALG00010018057	SSTR4	56.14	36.3636	50.26	56.14	46	50.26	275	[25,50)	25–50%	25–50%
ENSGALG00010014602	ENSGALG00010028086	MATK	62.86	29.0828	36.55	62.86	51	36.55	9	[25,50)	25–50%	25–50%
ENSGALG00010014614	ENSGALG00010018665	IL13RA2	48.98	7.83133	39.63	48.98	41	39.63	80	[0,25)	0–25%	0–25%
ENSGALG00010014614	ENSGALG00010020457	IL5RA	42.94	8.49057	39.63	42.94	28	39.63	80	[0,25)	0–25%	0–25%
ENSGALG00010014617	ENSGALG00010011597	TBC1D14	40.66	9.93007	44.35	40.66	15	44.35	185	[0,25)	0–25%	0–25%
ENSGALG00010014682	ENSGALG00010020457	IL5RA	42.94	11.5566	43.83	42.94	28	43.83	174	[0,25)	0–25%	0–25%
ENSGALG00010014682	ENSGALG00010018665	IL13RA2	48.98	9.03614	43.83	48.98	41	43.83	174	[0,25)	0–25%	0–25%
ENSGALG00010014690	ENSGALG00010020457	IL5RA	42.94	12.9717	64.17	42.94	28	64.17	377	[0,25)	0–25%	0–25%
ENSGALG00010014690	ENSGALG00010018665	IL13RA2	48.98	11.6466	64.17	48.98	41	64.17	377	[0,25)	0–25%	0–25%
ENSGALG00010014705	ENSGALG00010029597	ADAP2	44.72	25.5494	35.17	44.72	33	35.17	2	[25,50)	25–50%	25–50%
ENSGALG00010014717	ENSGALG00010020275	ELOVL3	51.9	24.6032	40.75	51.9	43	40.75	110	[0,25)	0–25%	0–25%
ENSGALG00010014796	ENSGALG00010018665	IL13RA2	48.98	10.241	40.13	48.98	41	40.13	91	[0,25)	0–25%	0–25%
ENSGALG00010014796	ENSGALG00010020457	IL5RA	42.94	12.2642	40.13	42.94	28	40.13	91	[0,25)	0–25%	0–25%
ENSGALG00010014886	ENSGALG00010011597	TBC1D14	40.66	13.7063	42	40.66	15	42	138	[0,25)	0–25%	0–25%
ENSGALG00010014893	ENSGALG00010021607	SLC9A5	58.4	19.5233	51.6	58.4	48	51.6	285	[0,25)	0–25%	0–25%
ENSGALG00010014992	ENSGALG00010004070	ARL11	47.21	24.6231	37.8	47.21	40	37.8	32	[0,25)	0–25%	0–25%
ENSGALG00010014995	ENSGALG00010013808	HRASLS	56.48	28.4024	46.33	56.48	47	46.33	221	[25,50)	25–50%	25–50%
ENSGALG00010015076	ENSGALG00010028086	MATK	62.86	31.0962	41.9	62.86	51	41.9	135	[25,50)	25–50%	25–50%
ENSGALG00010015100	ENSGALG00010020696	MOB1A	52.15	22.3744	39.17	52.15	44	39.17	69	[0,25)	0–25%	0–25%
ENSGALG00010015128	ENSGALG00010013213	SH2D1A	44.27	26.6129	50.38	44.27	32	50.38	278	[25,50)	25–50%	25–50%
ENSGALG00010015135	ENSGALG00010013109	RIPPLY3	33.65	31.3043	60.89	33.65	2	60.89	358	[25,50)	25–50%	25–50%
ENSGALG00010015146	ENSGALG00010028086	MATK	62.86	25.9508	66.26	62.86	51	66.26	392	[25,50)	25–50%	25–50%
ENSGALG00010015200	ENSGALG00010011597	TBC1D14	40.66	14.4056	40.17	40.66	15	40.17	94	[0,25)	0–25%	0–25%
ENSGALG00010015213	ENSGALG00010003821	RUBCNL	42.82	28.5714	52.4	42.82	25	52.4	294	[25,50)	25–50%	25–50%
ENSGALG00010015278	ENSGALG00010001486	WNT2	50.63	36.1702	52.29	50.63	42	52.29	293	[25,50)	25–50%	25–50%
ENSGALG00010015386	ENSGALG00010017819	SLC24A1	44.01	31.0709	38.22	44.01	31	38.22	45	[25,50)	25–50%	25–50%
ENSGALG00010015580	ENSGALG00010002400	RBBP7	41.43	22.6415	40.54	41.43	21	40.54	103	[0,25)	0–25%	0–25%
ENSGALG00010015653	ENSGALG00010028086	MATK	62.86	34.2282	56.9	62.86	51	56.9	325	[25,50)	25–50%	25–50%
ENSGALG00010015774	ENSGALG00010003795	LCP1	43.23	66.9683	37	43.23	29	37	19	[50,75)	50–75%	50–75%
ENSGALG00010015887	ENSGALG00010021607	SLC9A5	58.4	18.6152	37.04	58.4	48	37.04	20	[0,25)	0–25%	0–25%
ENSGALG00010015975	ENSGALG00010028086	MATK	62.86	32.2148	55.87	62.86	51	55.87	323	[25,50)	25–50%	25–50%
ENSGALG00010016260	ENSGALG00010002925	INTS6	37.39	70.7207	41.72	37.39	5	41.72	130	[50,75)	50–75%	50–75%
ENSGALG00010016336	ENSGALG00010017819	SLC24A1	44.01	55.3545	38.68	44.01	31	38.68	51	[50,75)	50–75%	50–75%
ENSGALG00010016428	ENSGALG00010009333	ADRA1B	38.68	51.0848	44.76	38.68	10	44.76	190	[50,75)	50–75%	50–75%
ENSGALG00010016463	ENSGALG00010002358	FREM2	38.29	20.8649	39.99	38.29	8	39.99	87	[0,25)	0–25%	0–25%
ENSGALG00010016470	ENSGALG00010017513	TNIP2	45.1	17.2745	60.4	45.1	34	60.4	351	[0,25)	0–25%	0–25%
ENSGALG00010016556	ENSGALG00010029597	ADAP2	44.72	20.3297	62.88	44.72	33	62.88	369	[0,25)	0–25%	0–25%
ENSGALG00010016648	ENSGALG00010009333	ADRA1B	38.68	24.0631	44.89	38.68	10	44.89	195	[0,25)	0–25%	0–25%
ENSGALG00010016718	ENSGALG00010023957	YBX3	42.27	18.9003	55.42	42.27	23	55.42	318	[0,25)	0–25%	0–25%
ENSGALG00010016793	ENSGALG00010021607	SLC9A5	58.4	32.6901	62.46	58.4	48	62.46	365	[25,50)	25–50%	25–50%
ENSGALG00010016851	ENSGALG00010028086	MATK	62.86	32.2148	40.74	62.86	51	40.74	109	[25,50)	25–50%	25–50%
ENSGALG00010016855	ENSGALG00010003843	LRCH1	38.69	9.44149	44.18	38.69	11	44.18	182	[0,25)	0–25%	0–25%
ENSGALG00010016861	ENSGALG00010028086	MATK	62.86	34.4519	64.86	62.86	51	64.86	381	[25,50)	25–50%	25–50%
ENSGALG00010016862	ENSGALG00010028086	MATK	62.86	30.4251	38.8	62.86	51	38.8	57	[25,50)	25–50%	25–50%
ENSGALG00010016893	ENSGALG00010011597	TBC1D14	40.66	14.2657	43.02	40.66	15	43.02	157	[0,25)	0–25%	0–25%
ENSGALG00010016910	ENSGALG00010005979	SUV39H2	40.21	20.6388	38.79	40.21	13	38.79	56	[0,25)	0–25%	0–25%
ENSGALG00010016941	ENSGALG00010002358	FREM2	38.29	6.88131	48.37	38.29	8	48.37	244	[0,25)	0–25%	0–25%
ENSGALG00010016944	ENSGALG00010018057	SSTR4	56.14	30.8081	60.41	56.14	46	60.41	352	[25,50)	25–50%	25–50%
ENSGALG00010016957	ENSGALG00010001486	WNT2	50.63	43.0851	52.85	50.63	42	52.85	298	[25,50)	25–50%	25–50%
ENSGALG00010017167	ENSGALG00010029597	ADAP2	44.72	21.7033	54.82	44.72	33	54.82	313	[0,25)	0–25%	0–25%
ENSGALG00010017375	ENSGALG00010021206	HSD17B1	70.88	21.8543	46.02	70.88	52	46.02	215	[0,25)	0–25%	0–25%
ENSGALG00010017383	ENSGALG00010021206	HSD17B1	70.88	21.8543	45.42	70.88	52	45.42	206	[0,25)	0–25%	0–25%
ENSGALG00010017438	ENSGALG00010009333	ADRA1B	38.68	25.8383	64.35	38.68	10	64.35	378	[25,50)	25–50%	25–50%
ENSGALG00010017442	ENSGALG00010028086	MATK	62.86	24.8322	63.18	62.86	51	63.18	371	[0,25)	0–25%	0–25%
ENSGALG00010017479	ENSGALG00010018057	SSTR4	56.14	41.6667	45.21	56.14	46	45.21	203	[25,50)	25–50%	25–50%
ENSGALG00010017500	ENSGALG00010029597	ADAP2	44.72	20.0549	40.17	44.72	33	40.17	95	[0,25)	0–25%	0–25%
ENSGALG00010017531	ENSGALG00010013213	SH2D1A	44.27	13.7097	41.85	44.27	32	41.85	134	[0,25)	0–25%	0–25%
ENSGALG00010017548	ENSGALG00010004070	ARL11	47.21	25.1256	55.27	47.21	40	55.27	317	[25,50)	25–50%	25–50%
ENSGALG00010017584	ENSGALG00010001486	WNT2	50.63	33.7766	53.77	50.63	42	53.77	304	[25,50)	25–50%	25–50%
ENSGALG00010017608	ENSGALG00010002400	RBBP7	41.43	89.6226	47.13	41.43	21	47.13	234	[75,100]	75–100%	75–100%
ENSGALG00010017625	ENSGALG00010023957	YBX3	42.27	53.6082	52.02	42.27	23	52.02	291	[50,75)	50–75%	50–75%
ENSGALG00010017640	ENSGALG00010002439	GPR82	33.4	16.8605	60.56	33.4	1	60.56	353	[0,25)	0–25%	0–25%
ENSGALG00010017668	ENSGALG00010013213	SH2D1A	44.27	25	62.6	44.27	32	62.6	366	[25,50)	25–50%	25–50%
ENSGALG00010017843	ENSGALG00010005979	SUV39H2	40.21	19.4103	44.24	40.21	13	44.24	183	[0,25)	0–25%	0–25%
ENSGALG00010018219	ENSGALG00010017819	SLC24A1	44.01	26.6968	38.35	44.01	31	38.35	48	[25,50)	25–50%	25–50%
ENSGALG00010018299	ENSGALG00010003843	LRCH1	38.69	11.1702	42.02	38.69	11	42.02	140	[0,25)	0–25%	0–25%
ENSGALG00010018308	ENSGALG00010029597	ADAP2	44.72	20.0549	49.01	44.72	33	49.01	257	[0,25)	0–25%	0–25%
ENSGALG00010018314	ENSGALG00010017819	SLC24A1	44.01	30.9201	46.69	44.01	31	46.69	226	[25,50)	25–50%	25–50%
ENSGALG00010018343	ENSGALG00010021206	HSD17B1	70.88	17.2185	43.63	70.88	52	43.63	171	[0,25)	0–25%	0–25%
ENSGALG00010018345	ENSGALG00010002400	RBBP7	41.43	13.4434	59.63	41.43	21	59.63	345	[0,25)	0–25%	0–25%
ENSGALG00010018356	ENSGALG00010009333	ADRA1B	38.68	37.8698	44.91	38.68	10	44.91	197	[25,50)	25–50%	25–50%
ENSGALG00010018404	ENSGALG00010020457	IL5RA	42.94	9.43396	61.86	42.94	28	61.86	362	[0,25)	0–25%	0–25%
ENSGALG00010018404	ENSGALG00010018665	IL13RA2	48.98	8.23293	61.86	48.98	41	61.86	362	[0,25)	0–25%	0–25%
ENSGALG00010018665	ENSGALG00010020457	IL5RA	42.94	11.3208	48.98	42.94	28	48.98	256	[0,25)	0–25%	0–25%
ENSGALG00010018685	ENSGALG00010004070	ARL11	47.21	34.1709	49.23	47.21	40	49.23	263	[25,50)	25–50%	25–50%
ENSGALG00010018721	ENSGALG00010003843	LRCH1	38.69	43.75	39.59	38.69	11	39.59	78	[25,50)	25–50%	25–50%
ENSGALG00010018752	ENSGALG00010003795	LCP1	43.23	73.454	48.04	43.23	29	48.04	241	[50,75)	50–75%	50–75%
ENSGALG00010018819	ENSGALG00010003843	LRCH1	38.69	10.1064	37.92	38.69	11	37.92	37	[0,25)	0–25%	0–25%
ENSGALG00010019013	ENSGALG00010003843	LRCH1	38.69	21.1436	46.26	38.69	11	46.26	217	[0,25)	0–25%	0–25%
ENSGALG00010019204	ENSGALG00010004070	ARL11	47.21	35.1759	54.06	47.21	40	54.06	310	[25,50)	25–50%	25–50%
ENSGALG00010019546	ENSGALG00010021206	HSD17B1	70.88	15.2318	45.58	70.88	52	45.58	208	[0,25)	0–25%	0–25%
ENSGALG00010019738	ENSGALG00010009333	ADRA1B	38.68	24.0631	52.62	38.68	10	52.62	296	[0,25)	0–25%	0–25%
ENSGALG00010019905	ENSGALG00010011597	TBC1D14	40.66	16.2238	35.83	40.66	15	35.83	3	[0,25)	0–25%	0–25%
ENSGALG00010019925	ENSGALG00010021206	HSD17B1	70.88	17.8808	46.37	70.88	52	46.37	222	[0,25)	0–25%	0–25%
ENSGALG00010020092	ENSGALG00010003843	LRCH1	38.69	7.18085	61.83	38.69	11	61.83	361	[0,25)	0–25%	0–25%
ENSGALG00010020111	ENSGALG00010009333	ADRA1B	38.68	18.9349	61.61	38.68	10	61.61	360	[0,25)	0–25%	0–25%
ENSGALG00010020115	ENSGALG00010003843	LRCH1	38.69	9.17553	40.86	38.69	11	40.86	113	[0,25)	0–25%	0–25%
ENSGALG00010020457	ENSGALG00010018665	IL13RA2	48.98	9.63855	42.94	48.98	41	42.94	155	[0,25)	0–25%	0–25%
ENSGALG00010020580	ENSGALG00010005979	SUV39H2	40.21	19.1646	54.65	40.21	13	54.65	312	[0,25)	0–25%	0–25%
ENSGALG00010021075	ENSGALG00010021206	HSD17B1	70.88	15.2318	45.54	70.88	52	45.54	207	[0,25)	0–25%	0–25%
ENSGALG00010021079	ENSGALG00010001486	WNT2	50.63	35.9043	48.67	50.63	42	48.67	247	[25,50)	25–50%	25–50%
ENSGALG00010021141	ENSGALG00010011597	TBC1D14	40.66	7.83217	56.93	40.66	15	56.93	326	[0,25)	0–25%	0–25%
ENSGALG00010021142	ENSGALG00010001486	WNT2	50.63	38.0319	63.4	50.63	42	63.4	374	[25,50)	25–50%	25–50%
ENSGALG00010021151	ENSGALG00010001486	WNT2	50.63	37.234	60.56	50.63	42	60.56	354	[25,50)	25–50%	25–50%
ENSGALG00010021263	ENSGALG00010002756	STOML3	43.86	22.5275	62.8	43.86	30	62.8	368	[0,25)	0–25%	0–25%
ENSGALG00010021394	ENSGALG00010011487	MAN2B2	39.28	12.7173	53.31	39.28	12	53.31	300	[0,25)	0–25%	0–25%
ENSGALG00010021473	ENSGALG00010002358	FREM2	38.29	6.06061	45.78	38.29	8	45.78	214	[0,25)	0–25%	0–25%
ENSGALG00010021624	ENSGALG00010021206	HSD17B1	70.88	22.8477	59.9	70.88	52	59.9	348	[0,25)	0–25%	0–25%
ENSGALG00010021638	ENSGALG00010028086	MATK	62.86	36.0179	58.86	62.86	51	58.86	340	[25,50)	25–50%	25–50%
ENSGALG00010021650	ENSGALG00010004835	HHLA2	41.49	15.6812	54.49	41.49	22	54.49	311	[0,25)	0–25%	0–25%
ENSGALG00010021669	ENSGALG00010004070	ARL11	47.21	26.6332	53.88	47.21	40	53.88	308	[25,50)	25–50%	25–50%
ENSGALG00010021730	ENSGALG00010004070	ARL11	47.21	23.6181	43.68	47.21	40	43.68	172	[0,25)	0–25%	0–25%
ENSGALG00010021783	ENSGALG00010029597	ADAP2	44.72	6.86813	41.93	44.72	33	41.93	137	[0,25)	0–25%	0–25%
ENSGALG00010021817	ENSGALG00010011597	TBC1D14	40.66	11.1888	37.24	40.66	15	37.24	23	[0,25)	0–25%	0–25%
ENSGALG00010021843	ENSGALG00010029597	ADAP2	44.72	17.8571	53.58	44.72	33	53.58	302	[0,25)	0–25%	0–25%
ENSGALG00010022097	ENSGALG00010013213	SH2D1A	44.27	16.129	63.75	44.27	32	63.75	375	[0,25)	0–25%	0–25%
ENSGALG00010022210	ENSGALG00010005979	SUV39H2	40.21	19.4103	50.27	40.21	13	50.27	276	[0,25)	0–25%	0–25%
ENSGALG00010022304	ENSGALG00010029597	ADAP2	44.72	54.9451	50.36	44.72	33	50.36	277	[50,75)	50–75%	50–75%
ENSGALG00010022411	ENSGALG00010009333	ADRA1B	38.68	24.4576	49.95	38.68	10	49.95	273	[0,25)	0–25%	0–25%
ENSGALG00010022415	ENSGALG00010010836	DIP2A	40.33	71.4021	44.11	40.33	14	44.11	179	[50,75)	50–75%	50–75%
ENSGALG00010022557	ENSGALG00010001486	WNT2	50.63	36.4362	60.01	50.63	42	60.01	349	[25,50)	25–50%	25–50%
ENSGALG00010022564	ENSGALG00010004835	HHLA2	41.49	13.6247	48.72	41.49	22	48.72	248	[0,25)	0–25%	0–25%
ENSGALG00010022565	ENSGALG00010004070	ARL11	47.21	35.6784	65.39	47.21	40	65.39	386	[25,50)	25–50%	25–50%
ENSGALG00010022717	ENSGALG00010020275	ELOVL3	51.9	25.7937	49.49	51.9	43	49.49	268	[25,50)	25–50%	25–50%
ENSGALG00010022731	ENSGALG00010003843	LRCH1	38.69	9.70745	37.08	38.69	11	37.08	22	[0,25)	0–25%	0–25%
ENSGALG00010022815	ENSGALG00010003843	LRCH1	38.69	11.5691	44.13	38.69	11	44.13	180	[0,25)	0–25%	0–25%
ENSGALG00010022831	ENSGALG00010003843	LRCH1	38.69	10.2394	48.96	38.69	11	48.96	254	[0,25)	0–25%	0–25%
ENSGALG00010022838	ENSGALG00010029597	ADAP2	44.72	14.5604	46.54	44.72	33	46.54	224	[0,25)	0–25%	0–25%
ENSGALG00010022860	ENSGALG00010020696	MOB1A	52.15	48.4018	50.08	52.15	44	50.08	274	[25,50)	25–50%	25–50%
ENSGALG00010022879	ENSGALG00010018057	SSTR4	56.14	17.4242	38.07	56.14	46	38.07	42	[0,25)	0–25%	0–25%
ENSGALG00010022931	ENSGALG00010021206	HSD17B1	70.88	23.5099	65.27	70.88	52	65.27	384	[0,25)	0–25%	0–25%
ENSGALG00010022974	ENSGALG00010013213	SH2D1A	44.27	24.1935	48.91	44.27	32	48.91	252	[0,25)	0–25%	0–25%
ENSGALG00010023012	ENSGALG00010003843	LRCH1	38.69	7.71277	53.63	38.69	11	53.63	303	[0,25)	0–25%	0–25%
ENSGALG00010023048	ENSGALG00010029597	ADAP2	44.72	14.2857	43.22	44.72	33	43.22	162	[0,25)	0–25%	0–25%
ENSGALG00010023118	ENSGALG00010003843	LRCH1	38.69	13.4309	47.26	38.69	11	47.26	235	[0,25)	0–25%	0–25%
ENSGALG00010023175	ENSGALG00010016403	GRK4	37.32	34.9736	63.77	37.32	4	63.77	376	[25,50)	25–50%	25–50%
ENSGALG00010023198	ENSGALG00010028086	MATK	62.86	32.8859	53.87	62.86	51	53.87	307	[25,50)	25–50%	25–50%
ENSGALG00010023235	ENSGALG00010018665	IL13RA2	48.98	9.23695	50.9	48.98	41	50.9	280	[0,25)	0–25%	0–25%
ENSGALG00010023235	ENSGALG00010020457	IL5RA	42.94	10.8491	50.9	42.94	28	50.9	280	[0,25)	0–25%	0–25%
ENSGALG00010023249	ENSGALG00010018665	IL13RA2	48.98	8.23293	44.5	48.98	41	44.5	187	[0,25)	0–25%	0–25%
ENSGALG00010023249	ENSGALG00010020457	IL5RA	42.94	9.90566	44.5	42.94	28	44.5	187	[0,25)	0–25%	0–25%
ENSGALG00010023256	ENSGALG00010018057	SSTR4	56.14	27.7778	48.88	56.14	46	48.88	251	[25,50)	25–50%	25–50%
ENSGALG00010023269	ENSGALG00010018057	SSTR4	56.14	28.7879	51.78	56.14	46	51.78	286	[25,50)	25–50%	25–50%
ENSGALG00010023274	ENSGALG00010004342	ZNF438	37.28	10.3139	39.64	37.28	3	39.64	81	[0,25)	0–25%	0–25%
ENSGALG00010023335	ENSGALG00010002400	RBBP7	41.43	15.0943	46.96	41.43	21	46.96	232	[0,25)	0–25%	0–25%
ENSGALG00010023469	ENSGALG00010003821	RUBCNL	42.82	15.2031	59.86	42.82	25	59.86	347	[0,25)	0–25%	0–25%
ENSGALG00010023593	ENSGALG00010028086	MATK	62.86	53.2438	62.67	62.86	51	62.67	367	[50,75)	50–75%	50–75%
ENSGALG00010023606	ENSGALG00010003843	LRCH1	38.69	14.0957	42.48	38.69	11	42.48	150	[0,25)	0–25%	0–25%
ENSGALG00010023641	ENSGALG00010003843	LRCH1	38.69	11.7021	40.11	38.69	11	40.11	90	[0,25)	0–25%	0–25%
ENSGALG00010023830	ENSGALG00010029597	ADAP2	44.72	17.033	38.57	44.72	33	38.57	50	[0,25)	0–25%	0–25%
ENSGALG00010023852	ENSGALG00010003843	LRCH1	38.69	7.97872	34.43	38.69	11	34.43	1	[0,25)	0–25%	0–25%
ENSGALG00010023921	ENSGALG00010016403	GRK4	37.32	45.6942	38.88	37.32	4	38.88	62	[25,50)	25–50%	25–50%
ENSGALG00010024005	ENSGALG00010028086	MATK	62.86	21.0291	40.64	62.86	51	40.64	107	[0,25)	0–25%	0–25%
ENSGALG00010024165	ENSGALG00010018665	IL13RA2	48.98	11.0442	43.17	48.98	41	43.17	160	[0,25)	0–25%	0–25%
ENSGALG00010024165	ENSGALG00010020457	IL5RA	42.94	11.0849	43.17	42.94	28	43.17	160	[0,25)	0–25%	0–25%
ENSGALG00010024166	ENSGALG00010021206	HSD17B1	70.88	17.8808	38.76	70.88	52	38.76	54	[0,25)	0–25%	0–25%
ENSGALG00010024175	ENSGALG00010021206	HSD17B1	70.88	20.8609	38.02	70.88	52	38.02	41	[0,25)	0–25%	0–25%
ENSGALG00010024220	ENSGALG00010003718	SIAH3	45.47	43.8017	39.27	45.47	35	39.27	70	[25,50)	25–50%	25–50%
ENSGALG00010024242	ENSGALG00010005979	SUV39H2	40.21	21.8673	44.77	40.21	13	44.77	191	[0,25)	0–25%	0–25%
ENSGALG00010024391	ENSGALG00010011597	TBC1D14	40.66	15.6643	41.65	40.66	15	41.65	129	[0,25)	0–25%	0–25%
ENSGALG00010024493	ENSGALG00010028086	MATK	62.86	27.7405	45.15	62.86	51	45.15	202	[25,50)	25–50%	25–50%
ENSGALG00010024501	ENSGALG00010004070	ARL11	47.21	23.1156	55.16	47.21	40	55.16	316	[0,25)	0–25%	0–25%
ENSGALG00010024660	ENSGALG00010005979	SUV39H2	40.21	20.3931	65.8	40.21	13	65.8	388	[0,25)	0–25%	0–25%
ENSGALG00010024662	ENSGALG00010020696	MOB1A	52.15	42.9224	42.64	52.15	44	42.64	151	[25,50)	25–50%	25–50%
ENSGALG00010024710	ENSGALG00010021206	HSD17B1	70.88	15.2318	39.15	70.88	52	39.15	68	[0,25)	0–25%	0–25%
ENSGALG00010024800	ENSGALG00010005979	SUV39H2	40.21	12.5307	44.3	40.21	13	44.3	184	[0,25)	0–25%	0–25%
ENSGALG00010024922	ENSGALG00010009333	ADRA1B	38.68	24.6548	46.32	38.68	10	46.32	219	[0,25)	0–25%	0–25%
ENSGALG00010024960	ENSGALG00010004070	ARL11	47.21	26.6332	43.52	47.21	40	43.52	168	[25,50)	25–50%	25–50%
ENSGALG00010024966	ENSGALG00010029597	ADAP2	44.72	20.0549	63.18	44.72	33	63.18	372	[0,25)	0–25%	0–25%
ENSGALG00010025236	ENSGALG00010021206	HSD17B1	70.88	24.5033	68.44	70.88	52	68.44	402	[0,25)	0–25%	0–25%
ENSGALG00010025283	ENSGALG00010021206	HSD17B1	70.88	26.1589	68.5	70.88	52	68.5	403	[25,50)	25–50%	25–50%
ENSGALG00010025312	ENSGALG00010003821	RUBCNL	42.82	12.713	43.82	42.82	25	43.82	173	[0,25)	0–25%	0–25%
ENSGALG00010025349	ENSGALG00010005979	SUV39H2	40.21	17.199	46.73	40.21	13	46.73	227	[0,25)	0–25%	0–25%
ENSGALG00010025389	ENSGALG00010013323	NOTCH2	45.54	16.324	62.24	45.54	36	62.24	364	[0,25)	0–25%	0–25%
ENSGALG00010025554	ENSGALG00010010836	DIP2A	40.33	73.2551	41.63	40.33	14	41.63	127	[50,75)	50–75%	50–75%
ENSGALG00010025600	ENSGALG00010011597	TBC1D14	40.66	13.7063	49.19	40.66	15	49.19	261	[0,25)	0–25%	0–25%
ENSGALG00010025638	ENSGALG00010011597	TBC1D14	40.66	3.77622	67.94	40.66	15	67.94	400	[0,25)	0–25%	0–25%
ENSGALG00010025723	ENSGALG00010005979	SUV39H2	40.21	21.6216	49.88	40.21	13	49.88	272	[0,25)	0–25%	0–25%
ENSGALG00010025948	ENSGALG00010001486	WNT2	50.63	33.2447	43.18	50.63	42	43.18	161	[25,50)	25–50%	25–50%
ENSGALG00010025956	ENSGALG00010021206	HSD17B1	70.88	23.8411	67.54	70.88	52	67.54	398	[0,25)	0–25%	0–25%
ENSGALG00010025960	ENSGALG00010018057	SSTR4	56.14	22.4747	40.61	56.14	46	40.61	106	[0,25)	0–25%	0–25%
ENSGALG00010025972	ENSGALG00010001486	WNT2	50.63	41.2234	45.63	50.63	42	45.63	210	[25,50)	25–50%	25–50%
ENSGALG00010026017	ENSGALG00010003821	RUBCNL	42.82	15.2031	59.34	42.82	25	59.34	344	[0,25)	0–25%	0–25%
ENSGALG00010026097	ENSGALG00010004070	ARL11	47.21	29.6482	45.73	47.21	40	45.73	212	[25,50)	25–50%	25–50%
ENSGALG00010026141	ENSGALG00010001486	WNT2	50.63	40.1596	45.29	50.63	42	45.29	205	[25,50)	25–50%	25–50%
ENSGALG00010026166	ENSGALG00010001486	WNT2	50.63	33.2447	47.5	50.63	42	47.5	239	[25,50)	25–50%	25–50%
ENSGALG00010026272	ENSGALG00010003843	LRCH1	38.69	9.30851	48.57	38.69	11	48.57	246	[0,25)	0–25%	0–25%
ENSGALG00010027052	ENSGALG00010029597	ADAP2	44.72	4.94506	38.22	44.72	33	38.22	46	[0,25)	0–25%	0–25%
ENSGALG00010027077	ENSGALG00010004070	ARL11	47.21	36.6834	43.31	47.21	40	43.31	166	[25,50)	25–50%	25–50%
ENSGALG00010027080	ENSGALG00010011597	TBC1D14	40.66	11.4685	51.59	40.66	15	51.59	284	[0,25)	0–25%	0–25%
ENSGALG00010027147	ENSGALG00010005979	SUV39H2	40.21	20.1474	41.53	40.21	13	41.53	123	[0,25)	0–25%	0–25%
ENSGALG00010027189	ENSGALG00010004880	STAP1	41.02	20.1365	68.67	41.02	19	68.67	404	[0,25)	0–25%	0–25%
ENSGALG00010027340	ENSGALG00010020457	IL5RA	42.94	6.13208	67.44	42.94	28	67.44	397	[0,25)	0–25%	0–25%
ENSGALG00010027340	ENSGALG00010018665	IL13RA2	48.98	3.81526	67.44	48.98	41	67.44	397	[0,25)	0–25%	0–25%
ENSGALG00010027417	ENSGALG00010001486	WNT2	50.63	56.383	57.99	50.63	42	57.99	334	[50,75)	50–75%	50–75%
ENSGALG00010027563	ENSGALG00010002400	RBBP7	41.43	9.66981	49.16	41.43	21	49.16	259	[0,25)	0–25%	0–25%
