Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete	Annotation BUSCO Single Copy	Annotation BUSCO Duplicated	Annotation BUSCO Fragmented	Annotation BUSCO Missing	Annotation BUSCO Lineage	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCF_011762595.1	mTurTru1.mat.Y	Tursiops truncatus	9739						mTurTru1	male	NCBI Tursiops truncatus Annotation Release 102	2378505825	23	Chromosome	2020-03-27	JAAOMD01	9729386	108430135	361	0.9800525	0.95643044	0.023622047	0.0071241097	0.012823397	cetartiodactyla_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA608726	SAMN12326775	28904	19240	3203				
GCF_018296145.1	Otsh_v2.0	Oncorhynchus tshawytscha	74940						Ot180627B	male	NCBI Oncorhynchus tshawytscha Annotation Release 101	2294842546	34	Chromosome	2021-05-07	JAEPEU01	2884253	2884253	9977	0.99203295	0.60192305	0.3901099	0.003021978	0.004945055	actinopterygii_odb10	Oxford Nanopore MinION; PacBio Sequel	Fisheries and Oceans Canada	PRJNA416144	SAMN17219827	49936	39464	2747				
GCF_000633615.1	Guppy_female_1.0+MT	Poecilia reticulata	8081			Guanapo				female	NCBI Poecilia reticulata Annotation Release 101	731605743	23	Chromosome	2014-04-28	AZHG01	41913	5270359	3028	0.97048575	0.9669362	0.0035495958	0.011371853	0.018142378	cyprinodontiformes_odb10	Illumina GAII	Max Planck Institute for Developmental Biology	PRJNA238429	SAMN02404645	26512	22842	278				
GCF_035594765.1	rAnoCar3.1.pri	Anolis carolinensis	28377						JA03-04	male	GCF_035594765.1-RS_2024_02	1850740401	8	Chromosome	2024-01-12	JAWQEF01	26091274	288964324	211	0.9736631	0.95360965	0.020053476	0.004010695	0.022326203	sauropsida_odb10	PacBio Sequel	Louisiana State University	PRJNA1032920	SAMN37993897	27148	20447	628				
GCF_020085105.1	ASM2008510v1	Siniperca chuatsi	119488						FFG_IHB_CAS	female	NCBI Siniperca chuatsi Annotation Release 100	718804017	24	Chromosome	2021-09-24	JAHXMP01	20478450	30013189	64	0.989011	0.982967	0.006043956	0.0005494506	0.010439561	actinopterygii_odb10	Illumina HiSeq; Oxford Nanopore	Chinese Academy of Sciences	PRJNA738969	SAMN19768590	27696	22572	426				
GCF_018812025.1	ASM1881202v1	Megalobrama amblycephala	75352						DHTTF-2021	female	NCBI Megalobrama amblycephala Annotation Release 100	1109871993	24	Chromosome	2021-06-09	JAGTWI01	2576066	42265598	242	0.99285716	0.9741758	0.01868132	0.003021978	0.0041208793	actinopterygii_odb10	PacBio RSII	Huazhong Agricultural University	PRJNA343584	SAMN18522313	38087	29877	1233				
GCF_010993605.1	kPetMar1.pri	Petromyzon marinus	7757						kPetMar1	male	NCBI Petromyzon marinus Annotation Release 100	1089034212	85	Chromosome	2020-02-24	JAAIYE01	2540784	12997950	1433	0.78533095	0.7397138	0.045617174	0.03875969	0.17590936	vertebrata_odb10	PacBio Sequel I CLR; llumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA562011	SAMN12629506	22167	17580	226				
GCF_022985175.1	IGBB_LRoh.1.0	Labeo rohita	84645			BAU-BD-2019				male	GCF_022985175.1-RS_2023_02	1126541939	25	Chromosome	2022-04-19	JACTAM01	1265157	37901974	2869	0.99478024	0.9848901	0.00989011	0.0024725276	0.0027472528	actinopterygii_odb10	Oxford Nanopore GridION; Illumina HiSeq	Mississippi State University	PRJNA650519	SAMN15716776	31701	26277	1059				
GCF_013100865.1	CAS_Tse_1.0	Trachemys scripta elegans	31138						TJP31775		NCBI Trachemys scripta elegans Annotation Release 100	2126182493	25	Chromosome	2020-05-15	VIRI01	204575	140411086	137	0.97566843	0.9671123	0.00855615	0.0062834225	0.018048128	sauropsida_odb10	Illumina NovaSeq; PacBio	California Academy of Sciences	PRJNA552319	SAMN12189062	22456	18662	579				
GCF_003704035.1	HU_Pman_2.1.3	Peromyscus maniculatus bairdii	230844						BW	female	NCBI Peromyscus maniculatus bairdii Annotation Release 102	2512423440	24	Chromosome	2020-09-17	RCWR01	30111	115033041	8523	0.9820989	0.9653573	0.016741557	0.0081895925	0.009711552	glires_odb10	Illumina HiSeq	Harvard University / Howard Hughes Medical Institute	PRJNA494228	SAMN10150431	36461	22079	3762				
GCF_004115265.2	mRhiFer1_v1.p	Rhinolophus ferrumequinum	59479						MPI-CBG mRhiFer1	male	GCF_004115265.2-RS_2023_02	2075768562	28	Chromosome	2019-05-16	RXPC01	31900497	88025743	134	0.99100864	0.97474253	0.016266143	0.003351316	0.0056400197	laurasiatheria_odb10	PacBio Sequel; 10X Genomics linked reads; Bionano Genomics 2 enzyme; Phase Genomics HiC	Vertebrate Genomes Project	PRJNA489106	SAMN09948510	27139	19652	3855				
GCF_028641065.1	Leri_hhj_1	Leucoraja erinaceus	7782					New England			GCF_028641065.1-RS_2023_04	2190844947	50	Chromosome	2023-02-22	JAMYXN01	5310386	57189699	1768	0.9588551	0.92486584	0.033989266	0.011031604	0.030113298	vertebrata_odb10	Illumina; PacBio Sequel	Okinawa Institute of Science and Technology	PRJNA783899	SAMN23457310	23250	18970	1164				
GCF_002021735.2	Okis_V2	Oncorhynchus kisutch	8019						150728-3	female	NCBI Oncorhynchus kisutch Annotation Release 101	2375894934	30	Chromosome	2019-11-04	MPKV02	1159298	68265700	4086	0.99230766	0.5706044	0.4217033	0.0021978023	0.0054945056	actinopterygii_odb10	PacBio Sequel; Illumina HiSeq; PacBio RSII	University of Victoria	PRJNA352719	SAMN05991263	63465	41269	3056				
GCF_036321535.1	mCamDro1.pat	Camelus dromedarius	9838						mCamDro1	male	GCF_036321535.1-RS_2024_04	2306603094	38	Chromosome	2024-01-31	JAZARU01	31216184	72991593	171	0.97645295	0.9670791	0.009373828	0.0044994378	0.01904762	cetartiodactyla_odb10	PacBio Sequel II HiFi; Dovetail OmniC	Vertebrate Genomes Project	PRJNA1064426	SAMN39296380	30879	19771	2622				
GCF_018350195.1	P.tigris_Pti1_mat1.1	Panthera tigris	9694						Pti1	female	NCBI Panthera tigris Annotation Release 102	2408678698	19	Chromosome	2021-05-13	JAEQMW01	74391967	146942463	74	0.98834646	0.979658	0.008688456	0.0025513722	0.009102193	carnivora_odb10	PacBio Sequel 2	Texas A&M University	PRJNA684344	SAMN17054330	33598	20232	3743				
GCF_020171115.1	ASM_NN_V1	Neogale vison	452646						M4711	female	NCBI Neovison vison Annotation Release 100	2681198719	15	Chromosome	2021-09-29	JAIAWX01	220349319	220349319	182	0.98689836	0.9628327	0.024065645	0.0033098883	0.009791753	carnivora_odb10	PacBio Sequel; Illumina HiSeq	Dalhousie University	PRJNA741394	SAMN19764019	30220	20422	4747				
GCF_902635505.1	mSarHar1.11	Sarcophilus harrisii	9305								NCBI Sarcophilus harrisii Annotation Release 103	3086657325	8	Chromosome	2019-11-07	CACPPN01	62339597	611347268	105	0.9548016	0.94461304	0.010188597	0.0091047045	0.03609365	mammalia_odb10		SC	PRJEB35073	SAMEA6099886	26869	19966	2550				
GCF_003369695.1	UOA_Brahman_1	Bos indicus x Bos taurus	30522		Angus x Brahman F1 hybrid					male	NCBI Bos indicus x Bos taurus Annotation Release 100	2680953056	30	Chromosome	2018-11-30	PUFS02	26764281	104466507	1250	0.9895013	0.984102	0.005399325	0.0024746906	0.008023997	cetartiodactyla_odb10	PacBio Sequel; PacBio RSII; Illumina NextSeq	University of Adelaide	PRJNA432857	SAMN08473802	32783	20846	4745				
GCF_036370855.1	bDroNov1.hap1	Dromaius novaehollandiae	8790						bDroNov1	female	GCF_036370855.1-RS_2024_04	1468706110	41	Chromosome	2024-02-26	JAZAQV01	24239989	77929039	271	0.9804509	0.9415927	0.03885824	0.002278724	0.017270328	aves_odb10	PacBio Sequel II HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1061216	SAMN39262816	24513	17857	528				
GCF_019176455.1	IFAPA_SoseM_1	Solea senegalensis	28829						Sse05_10M	male	NCBI Solea senegalensis Annotation Release 100	603518608	21	Chromosome	2021-07-09	JAGKHQ01	1188264	26091242	1936	0.98983514	0.9585165	0.031318683	0.0032967033	0.006868132	actinopterygii_odb10	Oxford Nanopore MinION	IFAPA	PRJNA643826	SAMN15430148	29174	23383	253				
GCF_024166365.1	mEleMax1 primary haplotype	Elephas maximus indicus	99487						mEleMax1	male	GCF_024166365.1-RS_2023_02	3401247148	29	Chromosome	2022-07-06	JAMZQU01	87987108	127432672	64	0.9879465	0.98099595	0.0069505544	0.0032553228	0.00879817	eutheria_odb10	PacBio Sequel II HiFi; Bionano optical mapping; Arima HiC	Vertebrate Genomes Project	PRJNA850184	SAMN29174328	30964	21809	3734				
GCF_027358585.1	fPanHyp1.pri	Pangasianodon hypophthalmus	310915						fPanHyp1		GCF_027358585.1-RS_2023_02	764974446	30	Chromosome	2022-12-28	JAPZKW01	13007371	26128932	58	0.9912088	0.9807692	0.010439561	0.0016483517	0.007142857	actinopterygii_odb10	PacBio Sequel II HiFi; Bionano Genomics DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA914796	SAMN32348883	29542	23205	316				
GCF_027580225.1	HAU_Mang_1.0	Misgurnus anguillicaudatus	75329						BS_2022a	female	GCF_027580225.1-RS_2023_04	1104569478	25	Chromosome	2023-01-09	JALDXJ01	3833009	42952821	357	0.97472525	0.94505495	0.02967033	0.0016483517	0.023626374	actinopterygii_odb10	Illumina HiSeq; PacBio	Huazhong Agriculture University	PRJNA812369	SAMN26377316	43460	27957	866				
GCF_963082965.1	fCarCar2.1	Carassius carassius	217509								GCF_963082965.1-RS_2023_09	1684296438	50	Chromosome	2023-08-09	CAUJCD01	3822391	32663704	277	0.9934066	0.43763736	0.5557692	0.0021978023	0.0043956046	actinopterygii_odb10	PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB64837	SAMEA11296534	70659	41837	3100				
GCF_029448725.1	ASM2944872v1	Salvelinus fontinalis	8038						EN_2023a	female	GCF_029448725.1-RS_2023_04	2496185110	42	Chromosome	2023-03-28	JAQYZX01	1231776	50983633	2721	0.99065936	0.5733516	0.4173077	0.00467033	0.00467033	actinopterygii_odb10	PacBio Sequel	Laval University	PRJNA922922	SAMN32676627	59184	41382	2997				
GCF_000317375.1	MicOch1.0	Microtus ochrogaster	79684						Prairie Vole_2	female	NCBI Microtus ochrogaster Annotation Release 102	2287340943	29	Chromosome	2012-12-07	AHZW01	21250	17270019	6450	0.9842731	0.9770981	0.007174953	0.00797217	0.0077547473	glires_odb10	Illumina Hi-Seq	Broad Institute	PRJNA72443	SAMN00727831	26397	20077	3794				
GCF_900496995.4	bAquChr1.4	Aquila chrysaetos chrysaetos	223781								NCBI Aquila chrysaetos chrysaetos Annotation Release 101	1233704830	28	Chromosome	2021-03-26	UFQG04	21924221	46934974	144	0.9916047	0.98512834	0.0064763734	0.0027584552	0.0056368434	aves_odb10		Wellcome Sanger Institute	PRJEB27699	SAMEA994725	21369	16702	201				
GCF_015237465.2	rCheMyd1.pri.v2	Chelonia mydas	8469						rCheMyd1	male	NCBI Chelonia mydas Annotation Release 103	2134358617	28	Chromosome	2021-07-15	JADCQM02	39415510	134428053	92	0.99010694	0.978877	0.011229946	0.0030748663	0.006818182	sauropsida_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA561941	SAMN12612360	28491	19752	714				
GCF_031143425.1	aPleWal1.hap1.20221129	Pleurodeles waltl	8319						20211129_DDA	female	GCF_031143425.1-RS_2024_08	19767450834	16	Chromosome	2024-03-19	JAUYUX01	20474000	1360680797	616	0.95009416	0.9269303	0.023163842	0.007344633	0.042561207	tetrapoda_odb10	PacBio Sequel; Illumina NovaSeq	The Max Planck Institute of Molecular Cell Biology and Genetics	PRJNA990737	SAMN28911188	59059	22339	5074				
GCF_030445035.2	mDasNov1.1.hap2	Dasypus novemcinctus	9361						mDasNov1	male	GCF_030445035.2-RS_2025_01	3610534858	33	Chromosome	2023-07-13	JAUJUA01	13963394	127081865	545	0.9675348	0.95169806	0.015836706	0.00879817	0.023667077	eutheria_odb10	PacBio Sequel II HiFi; Bionano DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA923800	SAMN32738980	43454	21697	10640				
GCF_022539315.1	serCan2020	Serinus canaria	9135						serCan28SL12	female	GCF_022539315.1-RS_2023_02	1050336073	31	Chromosome	2022-08-25	JAKSEN01	12206373	72083177	684	0.9874585	0.98423094	0.0032275913	0.0040575434	0.008483955	passeriformes_odb10	pacbio sequel; Illumina	Max Planck Institute for Biological Intelligence, in foundation, Seewiesen	PRJNA807488	SAMN25990113	17915	15457	142				
GCF_900634795.4	fBetSpl5.4	Betta splendens	158456								GCF_900634795.4-RS_2023_04	426984265	21	Chromosome	2023-03-10	CAAAFW04	2574972	19821211	35	0.9914835	0.98406595	0.0074175824	0.0032967033	0.0052197804	actinopterygii_odb10	PacBio,Illumina	Wellcome Sanger Institute	PRJEB30365	SAMEA104381735	28938	22791	458				
GCF_005281545.1	ASM528154v1	Epinephelus lanceolatus	310571						Andai001	female	NCBI Epinephelus lanceolatus Annotation Release 100	1087399367	24	Chromosome	2019-05-13	SZWH01	159800	46227939	4200	0.9912088	0.97664833	0.01456044	0.0065934067	0.0021978023	actinopterygii_odb10	Illumina HiSeq; BGISEQ-500	Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences	PRJNA516312	SAMN10786578	27295	24178	461				
GCF_036934945.1	UVic_Omas_1.1	Oncorhynchus masou masou	90313						Uvic2021	pooled male and female	GCF_036934945.1-RS_2024_04	2664785840	33	Chromosome	2024-03-01	JAYKYR01	2468404	66338746	17262	0.9887363	0.59093404	0.3978022	0.004945055	0.0063186814	actinopterygii_odb10	Oxford Nanopore MinION; Illumina NovaSeq; Hi-C	University of Victoria	PRJNA999701	SAMN36746976	55836	40543	5316				
GCF_030014295.1	mLoxAfr1.hap2	Loxodonta africana	9785						mLoxAfr1	male	GCF_030014295.1-RS_2024_04	3540876381	29	Chromosome	2023-05-16	JASCQR01	82653632	119600562	879	0.9818758	0.9749252	0.0069505544	0.0065986277	0.011525603	eutheria_odb10	PacBio Sequel II HiFi; Bionano DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA924322	SAMN32756554	32081	22303	3910				
GCF_030254825.1	Bangor_MerUng_6.1	Meriones unguiculatus	10047			TT.TT164.6M				male	GCF_030254825.1-RS_2023_10	2702201048	23	Chromosome	2023-06-12	JAODIK01	50173090	122584302	193	0.9890564	0.97898245	0.0100739235	0.0033338165	0.0076097986	glires_odb10	PacBio Sequel; Oxford Nanopore PromethION; Illumina NextSeq	Bangor University	PRJNA397533	SAMN26787832	34685	21259	5059				
GCF_030867095.1	rAllMis1	Alligator mississippiensis	8496						rAllMis1	female	GCF_030867095.1-RS_2023_09	2346779227	16	Chromosome	2023-08-24	JAVFJH01	38556409	255078640	194	0.9858289	0.9784759	0.007352941	0.0029411765	0.011229946	sauropsida_odb10	PacBio Sequel II HiFi; Bionano Genomics DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1006701	SAMN37045233	31016	20269	846				
GCF_023375685.1	Billie_1.0	Ictalurus furcatus	66913			D&B				female	GCF_023375685.1-RS_2023_03	825459183	29	Chromosome	2022-06-02	JAMCCP01	16772172	30432001	42	0.97747254	0.96153843	0.015934067	0.0043956046	0.018131869	actinopterygii_odb10	PacBio CLR; Illumina	USDA, Agricultural Research Service	PRJNA834118	SAMN28041099	26870	23168	517				
GCF_009819705.1	fHipHip1.pri	Hippoglossus hippoglossus	8267						fHipHip1	male	NCBI Hippoglossus hippoglossus Annotation Release 100	596775069	24	Chromosome	2019-12-31	WOYB01	7020318	26312018	56	0.99423075	0.98214287	0.012087912	0.0016483517	0.0041208793	actinopterygii_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA562001	SAMN12629501	27732	22234	224				
GCF_017639515.1	sCarCar2.pri	Carcharodon carcharias	13397						sCarCar2	male	NCBI Carcharodon carcharias Annotation Release 100	4286294447	42	Chromosome	2021-03-30	JAGDEE01	6544962	169918123	718	0.9767442	0.95199764	0.02474657	0.0068574836	0.016398331	vertebrata_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA562007	SAMN12629504	25164	19440	1424				
GCF_004664715.2	UCI_PerLeu_2.1	Peromyscus leucopus	10041		LL Stock					female	NCBI Peromyscus leucopus Annotation Release 101	2475164510	24	Chromosome	2020-10-02	NMRJ02	3487364	114273790	1856	0.9760835	0.94470215	0.03138136	0.0044934046	0.019423105	glires_odb10	Illumina; PacBio; HiC-Illumina	University of California Irvine	PRJNA281425	SAMN03488028	32259	22198	4481				
GCF_034236695.1	Oner_Uvic_2.0	Oncorhynchus nerka	8023						Pitt River	male	GCF_034236695.1-RS_2024_05	2645619652	29	Chromosome	2024-01-08	JAUJDZ01	2842582	93356810	11377	0.9873626	0.6052198	0.38214287	0.007967033	0.00467033	actinopterygii_odb10	Oxford Nanopore MinION; MGI; Hi-C	Fisheries and Oceans Canada	PRJNA530256	SAMN35642774	55720	39518	4404				
GCF_020615455.1	ASM2061545v1	Coregonus clupeaformis	59861						EN_2021a	female	NCBI Coregonus clupeaformis Annotation Release 101	2753270621	40	Chromosome	2021-11-04	JAJAFO01	2177185	52021072	7333	0.99285716	0.52115387	0.4717033	0.00467033	0.0024725276	actinopterygii_odb10	Oxford Nanopore PromethION	Laval University	PRJNA767633	SAMN21920801	60366	42433	4945				
GCF_001649575.2	ASM164957v2	Kryptolebias marmoratus	37003						JLee-2015	hermaphrodite	NCBI Kryptolebias marmoratus Annotation Release 102	680638340	24	Chromosome	2020-11-16	LWHD02	57646	28170849	299	0.97850525	0.973641	0.004864261	0.004864261	0.016630514	cyprinodontiformes_odb10	Illumina HiSeq	Washington State University	PRJNA626665	SAMN04622665	25206	22200	236				
GCF_004115215.2	mOrnAna1.pri.v4	Ornithorhynchus anatinus	9258						Pmale09	male	NCBI Ornithorhynchus anatinus Annotation Release 105	1859264908	31	Chromosome	2020-11-06	RZJT02	15146802	83338043	321	0.92304355	0.91198784	0.011055712	0.013548667	0.063407764	mammalia_odb10	PacBio RSII; 10X Genomics linked reads; Bionano Genomics DLS; Dovetail Genomics HiC; Arima Genomics	Vertebrate Genomes Project	PRJNA489114	SAMN08537700	30497	18152	863				
GCF_011397635.1	E.fuscoguttatus.final_Chr_v1	Epinephelus fuscoguttatus	293821								NCBI Epinephelus fuscoguttatus Annotation Release 100	1046995804	24	Chromosome	2020-02-20		13857438	44419306	25	0.9958791	0.98846155	0.0074175824	0.0021978023	0.0019230769	actinopterygii_odb10	Oxford Nanopore sequencing technology	Epinephelus fuscoguttatus	PRJDB9224	SAMD00201013	27856	23879	655				
GCF_030014155.1	HZAU_Pvac_v1	Tachysurus vachellii	175792						PV-2020	female	GCF_030014155.1-RS_2023_11	692104899	26	Chromosome	2023-05-16	JASFAQ01	13298322	27553930	77	0.99258244	0.97774726	0.014835165	0.0010989011	0.0063186814	actinopterygii_odb10	PacBio Sequel	Huazhong Agricultural University	PRJNA819563	SAMN33769291	26896	22890	560				
GCF_010015445.1	GENO_Pfluv_1.0	Perca fluviatilis	8168							male	NCBI Perca fluviatilis Annotation Release 100	951345774	24	Chromosome	2020-01-30	VHII01	4197643	39550354	303	0.98571426	0.9785714	0.007142857	0.007967033	0.0063186814	actinopterygii_odb10	Illumina HiSeq; Oxford Nanopore GridION	SEX'PERCH	PRJNA549142	SAMN12071746	32186	25021	1442				
GCF_900700415.2	Ch_v2.0.2	Clupea harengus	7950								NCBI Clupea harengus Annotation Release 102	786308905	26	Chromosome	2019-04-16	CAADHV01	1006413	29845739	1723	0.97472525	0.9379121	0.03681319	0.010989011	0.014285714	actinopterygii_odb10		UPPSALA UNIVERISTY	PRJEB31270	SAMEA5339254	32797	26665	716				
GCF_037176765.1	rAnoSag1.mat	Anolis sagrei	38937						rAnoSag1	male	GCF_037176765.1-RS_2024_08	1950830970	15	Chromosome	2024-03-15	JBBBDO01	43146625	249210491	29	0.9735294	0.93328875	0.04024064	0.005080214	0.021390375	sauropsida_odb10	PacBio Sequel II HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1080665	SAMN40144551	23363	20130	1009				
GCF_023065955.2	UrsArc2.0	Ursus arctos	9644					North America	Adak	male	GCF_023065955.2-RS_2023_06	2423401459	2	Chromosome	2023-05-22	JALAAU02	35674000	71981430	361	0.96765965	0.9575231	0.010136533	0.0057233484	0.026617019	carnivora_odb10	PacBio; Illumina NovaSeq	Washington State University	PRJNA807323	SAMN25977855	30450	20319	3549				
GCF_040807025.1	bStrCam1.hap1	Struthio camelus	8801						bStrCam1	female	GCF_040807025.1-RS_2024_10	1452018929	41	Chromosome	2024-07-22	JBFMIB01	28829471	84633522	262	0.9798513	0.9454306	0.034420725	0.0038378509	0.016310865	aves_odb10	PacBio Revio HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1129091	SAMN42123890	23381	17572	215				
GCF_011386835.1	ASM1138683v2	Chrysemys picta bellii	8478						R12L10	male	GCF_011386835.1-RS_2024_05	2372089908	25	Chromosome	2023-09-08	JAAOEE02	13370154	133555881	9850	0.98903745	0.97526735	0.013770053	0.0028074866	0.0081550805	sauropsida_odb10	PacBio Sequel; Illumina	St. Louis University	PRJNA589899	SAMN13293682	35699	25216	1155				
GCF_028583425.1	MPM_Emac_v1.0	Eublepharis macularius	481883						TG4126		GCF_028583425.1-RS_2023_03	2237379946	19	Chromosome	2023-02-10	JAOPLA01	80105973	145573841	75	0.9824866	0.96229947	0.020187166	0.0024064172	0.015106952	sauropsida_odb10	PacBio Sequel	Milwaukee Public Museum	PRJNA884264	SAMN31016422	24025	20469	827				
GCF_900964775.1	fSclFor1.1	Scleropages formosus	113540								NCBI Scleropages formosus Annotation Release 101	784546363	25	Chromosome	2019-04-11	CAAHFQ01	9102216	31084684	71	0.99038464	0.9552198	0.035164837	0.0024725276	0.007142857	actinopterygii_odb10		SC	PRJEB31995	SAMEA4872123	27389	23537	524				
GCF_007565055.1	ASM756505v1	Rhinopithecus roxellana	61622						Shanxi Qingling	male	NCBI Rhinopithecus roxellana Annotation Release 101	3038460517	22	Chromosome	2019-07-29	VMRL01	5723610	144559847	3256	0.9901306	0.9775762	0.012554427	0.0038461538	0.006023222	primates_odb10	PacBio Sequel	Northwest University	PRJNA524949	SAMN11039125	34842	21094	7365				
GCF_004354835.1	PFLA_1.0	Perca flavescens	8167						YP-PL-M2	male	NCBI Perca flavescens Annotation Release 100	877439799	24	Chromosome	2019-03-19	SCKG01	4268950	37412490	267	0.99478024	0.98818684	0.0065934067	0.0024725276	0.0027472528	actinopterygii_odb10	Oxford Nanopore; Illumina HiSeq	INRA (Fish Physiology and Genomics laboratory)	PRJNA514308	SAMN10722690	28914	23749	770				
GCF_902713615.1	sScyCan1.1	Scyliorhinus canicula	7830								NCBI Scyliorhinus canicula Annotation Release 100	4220389930	31	Chromosome	2020-12-17	CACTIT01	1862211	198790641	645	0.94782346	0.9120453	0.035778176	0.01818724	0.033989266	vertebrata_odb10		SC	PRJEB35945	SAMEA994730	29227	20574	1262				
GCF_019279795.1	PAN1.0	Protopterus annectens	7888						FY-2018-M	male	NCBI Protopterus annectens Annotation Release 100	40054324612	27	Chromosome	2021-07-20	JAGYFI01	1603140	1974114035	12667	0.9397734	0.9186047	0.021168754	0.03220036	0.028026238	vertebrata_odb10	Oxford Nanopore	Northwestern Polytechnical University	PRJNA701604	SAMN17890435	30570	22039	1966				
GCF_949316345.1	fPunPun2.1	Pungitius pungitius	134920								GCF_949316345.1-RS_2024_01	480434100	21	Chromosome	2023-04-08	CASGFK01	1362288	21005440	174	0.9895604	0.98186815	0.0076923077	0.003021978	0.0074175824	actinopterygii_odb10	PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB60134	SAMEA11296545	55945	22019	407				
GCF_008729295.1	YSFRI_Pleo_2.0	Plectropomus leopardus	160734						mb		NCBI Plectropomus leopardus Annotation Release 100	895688574	24	Chromosome	2020-05-27	VJNF02	897070	33285428	94259	0.9574176	0.9373626	0.020054946	0.020054946	0.022527473	actinopterygii_odb10	PacBio	Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences	PRJNA545594	SAMN11897347	29473	25802	736				
GCF_001522545.3	Parus_major1.1	Parus major	9157						Abel	male	NCBI Parus major Annotation Release 102	1020293992	32	Chromosome	2019-01-15	JRXK01	148693	71365269	1674	0.99114716	0.98994833	0.0011988196	0.0031353745	0.0057174475	passeriformes_odb10	Illumina HiSeq	Animal Breeding and Genomics Centre, Wageningen University	PRJNA208335	SAMN03083587	19061	15069	46				
GCF_910594005.1	mCerEla1.1	Cervus elaphus	9860								NCBI Cervus elaphus Annotation Release 100	2886603524	34	Chromosome	2021-07-07	CAJVBL01	68741660	83473711	144	0.9903262	0.95545554	0.03487064	0.0029246344	0.0067491564	cetartiodactyla_odb10		WELLCOME SANGER INSTITUTE	PRJEB45838	SAMEA7523520	37348	22941	4296				
GCF_035770615.1	bMelMel2.pri	Melospiza melodia melodia	1914991						bMelMel2	female	GCF_035770615.1-RS_2024_02	1541245192	33	Chromosome	2024-01-24	JAYKKP01	19453098	77460261	353	0.9928071	0.9862597	0.0065473993	0.0011988196	0.0059940983	passeriformes_odb10	PacBio Sequel II HiFi; Bionano DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1006794	SAMN35847297	21141	17176	590				
GCF_028885655.2	NHGRI_mPonAbe1-v2.0_pri	Pongo abelii	9601						AG06213	male	GCF_028885655.2-RS_2024_02	3259853530	25	Chromosome	2024-01-05	JAQQLQ02	146197178	146197178	29	0.98635703	0.9740929	0.012264151	0.0052249637	0.0084179975	primates_odb10	PacBio Sequel; Oxford Nanopore PromethION	National Human Genome Research Institute, National Institutes of Health	PRJNA916743	SAMN10521808	41736	22189	7318				
GCF_018345385.1	ASM1834538v1	Vulpes lagopus	494514			Blue_001				female	NCBI Vulpes lagopus Annotation Release 100	2345533697	25	Chromosome	2021-05-12	JADWOQ01	33460300	131537142	928	0.9776583	0.9496621	0.027996138	0.0038615363	0.01848021	carnivora_odb10	PacBio Sequel; Illumina NovaSeq	Hebei Normal University of Science and Technology	PRJNA678849	SAMN16815335	30615	20695	4740				
GCF_016161935.1	ASM1616193v1	Mauremys reevesii	260615						NIE-2019	female	NCBI Mauremys reevesii Annotation Release 100	2367590653	27	Chromosome	2020-12-22	JADWOL01	33352699	130473029	229	0.99157757	0.97566843	0.01590909	0.0016042781	0.006818182	sauropsida_odb10	Oxford Nanopore; Illumina	Anhui normal university	PRJNA663192	SAMN16454374	41089	22618	1217				
