Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCA_015471245.1	latCor_2.0	Laticauda colubrina	8628									2038820311		Scaffold	2020-11-04	BLBF01	38278	39959644	20583							Illumina HiSeq X	Kyoto University	PRJDB7284	SAMD00134349							
GCA_004320025.1	latLat_1.0	Laticauda laticaudata	8630									1558706106		Scaffold	2019-01-09	BHFT01	35581	39330	83587							Illumina HiSeq 2500; PacBio RS II	Kyoto University	PRJDB7226	SAMD00132327							
GCF_900518725.1	TS10Xv2-PRI	Notechis scutatus	8663								NCBI Notechis scutatus Annotation Release 100	1665525958		Scaffold	2018-09-24	ULFQ01	31763	5997050	52414	0.9050802	0.8835561	0.021524064	0.031283423	0.06363636	sauropsida_odb10		UNIVERSITY OF NEW SOUTH WALES	PRJEB27871	SAMEA4800209	23178	19770	826				
GCF_001447785.1	Gekko_japonicus_V1.1	Gekko japonicus	146911						JY-2015	male	NCBI Gekko japonicus Annotation Release 100	2490257917		Scaffold	2015-11-25	LNDG01	29575	707733	191499	0.93248665	0.9157754	0.01671123	0.030614974	0.036898397	sauropsida_odb10	Illumina HiSeq2000	Nantong University	PRJNA298277	SAMN04157958	20954	19476	754				
GCA_024449315.1	ASM2444931v1	Daboia siamensis	343250					Thailand	CUKU22	female		1663732363		Scaffold	2022-07-26	JAKJMR01	27427	1108672	38791							10x linked reads	Kasetsart University	PRJNA794313	SAMN24674818							
GCA_023846285.1	PhrVer	Phrynocephalus versicolor	171651					EJN	EJN2017011	female		1603375173		Scaffold	2022-06-22	JAHTLZ01	27024	49226030	4556							10X Genomics	University of California Berkeley	PRJNA738137	SAMN19774415							
GCA_044628595.1	ASM4462859v1	Varanus niloticus	62046						UPRMGRS_854_TJC_381			1828609873		Scaffold	2024-11-06	JBIELW01	10223	15994	1036177							Illumina	Iridian Genomes	PRJNA1148356	SAMN43199337							
GCA_046269865.1	ASM4626986v1	Micrurus fulvius	8637						UPRMGRS_638_TJC_164			1562482576		Scaffold	2024-12-24	JBJJOJ01	7426	8360	779519							Illumina	Iridian Genomes	PRJNA1169579	SAMN44523924							
GCA_046270445.1	ASM4627044v1	Fowlea piscator	2879141						RAP0482			1483696973		Scaffold	2024-12-25	JBJNRV01	6952	8055	593573							Illumina	Iridian Genomes	PRJNA1180802	SAMN44529006							
GCA_044335425.1	ASM4433542v1	Crotalus simus	1043007						UPRMGRS_1449_TJC_823			1327970636		Scaffold	2024-11-03	JBIELB01	6059	6988	509345							Illumina	Iridian Genomes	PRJNA1148369	SAMN43199314							
GCA_032467975.1	ASM3246797v1	Trimeresurus albolabris	8765						FMNH 255254			1232530381		Scaffold	2023-10-10	JANHFS01	4725	113187	317626							Illumina	Iridian Genomes	PRJNA790031	SAMN24183411							
GCF_029215685.1	rPitCat1.0.hap2	Pituophis catenifer annectens	94852						HBS135680		GCF_029215685.1-RS_2025_01	1682881129		Scaffold	2023-03-14	JARCGV01	26555075	216834086	649	0.89799464	0.8830214	0.014973262	0.0081550805	0.09385027	sauropsida_odb10	Illumina NovaSeq; Dovetail OmniC; PacBio Sequel IIe	UCLA	PRJNA937313	SAMN33386007	19833	17434	680				
GCA_029215795.1	rAnnSte1.0.hap2	Anniella stebbinsi	2202111						HBS135921	female		1891076299		Scaffold	2023-03-14	JARDYH01	120289678	276533474	91							PacBio Sequel IIe; Illumina NovaSeq; Dovetail OmniC	UCLA	PRJNA938518	SAMN33386066							
GCA_026167975.1	rPhrBla1.0.hap2	Phrynosoma blainvillii	372482							female		1968358621		Scaffold	2022-11-14	JANUYF01	62272472	352551559	52							PacBio Sequel II; Illumina NovaSeq; Dovetail Genomics Omni-C	UCLA	PRJNA873121	SAMN29046554							
GCA_029282475.1	ASM2928247v1	Phrynocephalus forsythii	171643					Tarim Basin		female	Annotation submitted by Lanzhou University	1816888593		Scaffold	2023-03-20	JAPFRF01	50948978	133255571	644							Illumina	Lanzhou University	PRJNA699736	SAMN17808117	20194	20194					
GCA_037013535.1	IntLes_1.0	Intellagama lesueurii	103694						November	male		1817723846		Scaffold	2024-03-05	JBAJHW01	39629392	269041945	556							PacBio Sequel	University of Queensland	PRJNA1048105	SAMN38607140							
GCA_024509115.1	rCroOre1.0.p	Crotalus helleri	8741						HBS135844	male		1564777875		Scaffold	2022-08-04	JAKSXO01	10371895	110762666	697							PacBio Sequel II; PacBio Sequel IIe; Dovetails OmniC; Illumina NovaSeq	UCLA	PRJNA807342	SAMN25872349							
GCA_003586115.2	HLtupMer6	Salvator merianae	96440			LG2117				male		2068170046		Scaffold	2018-12-11	QVOM02	500019	55382274	4512							Illumina MiSeq; Illumina HiSeq; PacBio RSII; Optical map	Center for Systems Biology Dresden	PRJNA473319	SAMN09273531							
GCF_900518735.1	EBS10Xv2-PRI	Pseudonaja textilis	8673								NCBI Pseudonaja textilis Annotation Release 100	1590035073		Scaffold	2018-09-24	ULFR01	50443	14685528	28550	0.940508	0.91136366	0.029144386	0.015106952	0.044385027	sauropsida_odb10		UNIVERSITY OF NEW SOUTH WALES	PRJEB27869	SAMEA4800208	22548	19358	713				
GCA_003402635.1	HabAm_1.0	Protobothrops flavoviridis	88087							female		1413200976		Scaffold	2018-08-02	BFFQ01	18879	467050	84502							Illumina MiSeq; Roche 454	Division of Genomics, Medical Institute of Bioregulation, Kyushu University	PRJDB5507	SAMD00115727							
GCA_004319985.1	emyIji_1.0	Emydocephalus ijimae	34996									1625199642		Scaffold	2019-01-09	BHEV01	18545	18937	157858							Illumina HiSeq X	Kyoto University	PRJDB7221	SAMD00132326							
GCA_014337955.1	AspMar1.0	Aspidoscelis marmoratus	403789						SIMRID8450			1639530780		Scaffold	2020-08-31	MTQE01	17774	32220929	3826							Illumina HiSeq	Stowers Institute For Medical Research	PRJNA360150	SAMN06204250							
GCA_043090425.1	ASM4309042v1	Chamaeleo dilepis	91908						UPRM_GenResCol_1049_TJC575			1786175575		Scaffold	2024-10-12	JBHLFC01	9578	12659	476822							Illumina	Iridian Genomes	PRJNA1138432	SAMN42741034							
GCA_044758705.1	ASM4475870v1	Anilius scytale	51844						UPRMGRS_1197_TJC_1122			1682758474		Scaffold	2024-11-10	JBINKI01	9223	11133	767392							Illumina	Iridian Genomes	PRJNA1169292	SAMN43538500							
GCA_004320005.1	hydMel_1.0	Hydrophis melanocephalus	34990									1402639853		Scaffold	2019-02-13	BHFS01	7411	59810	122022							Illumina HiSeq 2500; Illumina HiSeq 1500; Illumina MiSeq	Kyoto University	PRJDB7271	SAMD00134211							
GCA_032468055.1	ASM3246805v1	Acrochordus granulatus	46287						FMNH 216296			1324550020		Scaffold	2023-10-10	JANHZU01	7023	156840	184515							Illumina	Iridian Genomes	PRJNA790018	SAMN24183397							
GCA_042902775.1	ASM4290277v1	Bitis arietans	8692						UPRMGRS_805_TJC_332			1504653946		Scaffold	2024-10-10	JBHNWB01	5745	6586	884825							Illumina	Iridian Genomes	PRJNA1156530	SAMN43509294							
GCA_047292355.1	ASM4729235v1	Agkistrodon piscivorus	8715						UPRMGRS_576_TJC_103			1306416805		Scaffold	2025-01-28	JBKKFQ01	4672	5345	389111							Illumina	Iridian Genomes	PRJNA1194188	SAMN45173552							
GCA_046270685.1	ASM4627068v1	Bothrops atrox	8725						UPRMGRS_1183_TJC_1106			1401083250		Scaffold	2024-12-25	JBJNSD01	4498	5127	725154							Illumina	Iridian Genomes	PRJNA1183764	SAMN44636193							
GCA_036250565.1	ASM3625056v1	Sibynophis collaris	1070323						FMNH 255570			1308607799		Scaffold	2024-01-29	JANHFK01	3504	84221	459228							Illumina	Iridian Genomes	PRJNA790032	SAMN24183410							
GCA_027560375.1	ASM2756037v1	Imantodes cenchoa	121343						FMNH 282648			1385158126		Scaffold	2023-01-03	JANHGD01	2902	52356	605251							Illumina	Iridian Genomes	PRJNA790023	SAMN24183402							
GCA_019457695.2	c.ornata.1	Chrysopelea ornata	1296673						DD17			1334265196		Scaffold	2023-08-10	JAHWGE01	1484	1564	1119672							ABI3730; Illumina NovaSeq	CENTRAL FORENSIC SCIENCE LABORATORY	PRJNA742155	SAMN19929648							
GCA_020711275.1	ASM2071127v1	Calotes versicolor	48253						BHU-M1	male		1334025125		Scaffold	2021-11-02	JAIOUR01	1066	1066	1818006							Illumina HiSeq	University of Oregon	PRJNA408142	SAMN07676179							
GCA_026170595.1	rPleGil1.0.hap2	Plestiodon gilberti rubricaudatus	245608						HBS 135693			1571222493		Scaffold	2022-11-14	JANXHW01	127798174	231322181	39							PacBio Sequel II; Illumina NovaSeq; Dovetails OmniC	UCLA	PRJNA874060	SAMN30523592							
GCA_023333525.1	rAspTig1.0.p	Aspidoscelis tigris stejnegeri	2917703						HBS 135688	male		1335650587		Scaffold	2022-05-11	JALMGA01	30424254	93690953	73							PacBio Sequel IIe; Dovetails OmniC; Illumina NovaSeq	UCLA	PRJNA810478	SAMN25872408							
GCA_037215915.1	rPanGlo1_p1.0	Pantherophis vulpinus	94886						EasternFoxsnake02	female		1922551888		Scaffold	2024-03-19	JAXLNS01	28315126	145441293	232							PacBio Sequel; Illumina NovaSeq	Canada's Genomic Enterprise	PRJNA1027852	SAMN36942445							
GCA_023646645.1	ASM2364664v1	Varanus salvator macromaculatus	1275487			VSA01				female		1702541867		Scaffold	2022-06-02	JAIXND01	1316942	71461993	858							Illumina NovaSeq; PacBio Sequel	Chulalongkorn University	PRJNA766478	SAMN21848819							
GCA_035047305.1	BraPum1.0	Bradypodion pumilum	179887					Western Cape Province	JTBG20231	male		2486266449		Scaffold	2024-01-03	JAWDJD01	178505980	389612775	21							PacBio Sequel; Illumina HiSeq	South African National Biodiversity Institute	PRJNA986319	SAMN35825189							
GCA_035047345.1	BraVen1.1	Bradypodion ventrale	179890					Gauteng	JTBG20232	male		2373187502		Scaffold	2024-01-03	JAWDJE01	174922266	374919295	113							PacBio Sequel; Illumina HiSeq	South African National Biodiversity Institute	PRJNA986319	SAMN35825190							
GCA_029233225.1	rLeplis1.pri.20221122	Lepidodactylus listeri	747221						LG282	male		2348830489		Scaffold	2023-03-20	JARCFY01	64972995	119873534	401							PacBio HiFi; Illumina NovaSeq 6000	Threatened Species Initiative	PRJNA926684	SAMN32881975							
GCA_040207615.1	KLS1140-ALA	Aipysurus laevis	8678						KLS1140-ALA	female		2074352530		Scaffold	2024-06-17	JBEABB01	26375519	27079146	4371							Oxford Nanopore PromethION	The University of Adelaide	PRJNA1115802	SAMN41513963							
GCA_033807725.1	HELE_1.0	Hydrophis elegans	355681					Western Australia	KLS1121	male		2010336133		Scaffold	2023-11-20	JAUPSR01	17470302	17836126	3120							Oxford Nanopore PromethION; MGI G400	Australian Amphibian and Reptile Genomics Initiative	PRJNA984433	SAMN35787919							
GCA_037055225.1	ASM3705522v1	Hydrophis ornatus	8685						ss_UAE730			1926171689		Scaffold	2024-03-07	JAWKAR01	17311133	270035755	546							Oxford Nanopore PromethION; Illumina Novaseq	Garvan Institution	PRJNA780942	SAMN23222008							
GCA_041893435.1	ASM4189343v1	Crotalus ruber	8735						CLP2635	male		1586194038		Scaffold	2024-09-10	JAZBHB01	5135385	6254503	1126							PacBio RSII	University of South Florida	PRJNA1051499	SAMN38790822							
GCA_029891615.1	ASM2989161v1	Natrix natrix natrix	2563697					Saxony	TBG_2476			1733453643		Scaffold	2023-04-28	JAKRSK01	1528028	1579101	12760							PacBio Sequel; Illumina NovaSeq	Senckenberg Nature Research Society	PRJNA803021	SAMN25610410							
GCA_042478105.1	CIBIO_Ggalloti_1.0	Gallotia galloti	39310						CIBIO_FBIO_DB28110	male		1178193302		Scaffold	2024-10-02	JAZDSK01	262190	58154731	7036							Illumina NovaSeq	CIBIO - Centro de Investigacao em Biodiversidade e Recursos Geneticos	PRJNA833592	SAMN28597259							
GCA_030052795.1	PanAll1.0	Pantherophis alleghaniensis	648196						AMNH R-178746	male		1725044628		Scaffold	2023-05-19	JAQZSL01	153617	21817759	65110							Chromium 10X; Illumina HiSeq	American Museum of Naural History	PRJNA926953	SAMN32908215							
GCA_022410635.1	HLtreOri1	Tretioscincus oriximinensis	88860						926409			1563094034		Scaffold	2022-02-28	JAJVDF01	71375	1528078	5432							Illumina MiSeq; Illumina HiSeq	Center for Systems Biology Dresden	PRJNA790040	SAMN24193125							
GCA_012654085.1	UNIGE_PanObs_1.0	Pantherophis obsoletus	39099						EOBS11	female		1692461844		Scaffold	2020-04-22	WJSR01	38205	14519768	36795							Illumina HiSeq	University of Geneva	PRJNA587592	SAMN13195742							
GCA_022412395.1	HLcalSin1	Calyptommatus sinebrachiatus	174780						MTR03294			1750921936		Scaffold	2022-02-28	JAJVDE01	35273	5507198	12067							Illumina HiSeq	Center for Systems Biology Dresden	PRJNA790038	SAMN24193064							
GCA_029204185.1	lerEdw1.0	Lerista edwardsae	470340						Ler83		Annotation submitted by Harvard University	1740840159		Scaffold	2023-03-14	JAJKFI01	35012	11085295	40606							Illumina NovaSeq	Harvard University	PRJNA589021	SAMN13264076	21220	21110	110				
GCA_044473165.1	ASM4447316v1	Trachylepis maculilabris	864816						UPRM_GenResCol_715_TJC242			1205588941		Scaffold	2024-11-05	JBIDEJ01	19265	11158936	125643							Illumina	Iridian Genomes	PRJNA1138240	SAMN42740900							
GCA_047032895.1	ASM4703289v1	Morelia carinata	461328						6D85LG77VE			1394536071		Scaffold	2025-01-23	JBKKFD01	18247	27810	115909							Illumina	Iridian Genomes	PRJNA1198973	SAMN45862056							
GCA_003457575.1	DSBC_Tbai_1.0	Thermophis baileyi	527827					Yangbajing	1-13	female		1747678728		Scaffold	2018-09-05	QLTV01	18227	2413955	20729							Illumina HiSeq	Chengdu Institute of Biology, Chinese Academy of Sciences	PRJNA473624	SAMN09279788							
GCA_043090785.1	ASM4309078v1	Aspidoscelis angusticeps	1433128						UPRMGRS_1236_TJC_609			1550972284		Scaffold	2024-10-12	JBHNVU01	17441	31166	644684							Illumina	Iridian Genomes	PRJNA1152001	SAMN43335703							
GCA_031001705.1	ASM3100170v1	Simalia tracyae	129332						IRGN 6EWDE7KRG7			1468689395		Scaffold	2023-08-30	JARFOB01	14047	67349691	67984							Illumina	Iridian Genomes	PRJNA931312	SAMN33057084							
GCA_043090965.1	ASM4309096v1	Trachylepis brevicollis	323738						UPRMGRS_1040_TJC_566			1392040926		Scaffold	2024-10-12	JBHLFF01	13447	32277	278407							Illumina	Iridian Genomes	PRJNA1147695	SAMN43199332							
GCA_046269605.1	ASM4626960v1	Latastia doriai	2202409						UPRMGRS_1882_TJC_1498			1405143167		Scaffold	2024-12-24	JBJJOD01	12848	25885	211615							Illumina	Iridian Genomes	PRJNA1165310	SAMN43992314							
GCA_043090985.1	ASM4309098v1	Acanthocercus cyanogaster	1247901						UPRMGRS_1025_TJC_551			1711849805		Scaffold	2024-10-12	JBHLFK01	12629	19844	583104							Illumina	Iridian Genomes	PRJNA1156563	SAMN43509293							
GCA_043656535.1	ASM4365653v1	Trachylepis striata	355654						UPRMGRS_716_TJC_243			1499650431		Scaffold	2024-10-23	JBIELK01	12469	22087	632691							Illumina	Iridian Genomes	PRJNA1156540	SAMN43509304							
GCA_043090795.1	ASM4309079v1	Coleonyx elegans	449387						UPRMGRS_1267_TJC_640			1743395238		Scaffold	2024-10-12	JBHOMS01	11825	16266	284641							Illumina	Iridian Genomes	PRJNA1148178	SAMN43199311							
GCA_046270865.1	ASM4627086v1	Acanthocercus annectans	1241320						UPRMGRS_1743_TJC_1359			1736362833		Scaffold	2024-12-25	JBJPGY01	11171	18161	624685							Illumina	Iridian Genomes	PRJNA1169574	SAMN43785656							
GCA_043090905.1	ASM4309090v1	Panaspis annettesabinae	3102984						UPRMGRS_737_TJC_264			1213563386		Scaffold	2024-10-12	JBHLFE01	10951	18085	397272							Illumina	Iridian Genomes	PRJNA1148352	SAMN43199325							
GCA_043090945.1	ASM4309094v1	Sceloporus chrysostictus	43620						UPRM_GenResCol_1269_TJC642			1906508306		Scaffold	2024-10-12	JBHLFM01	10734	157335117	378652							Illumina	Iridian Genomes	PRJNA1138430	SAMN42740901							
GCA_046269685.1	ASM4626968v1	Acanthocercus guentherpetersi	2201893						UPRMGRS_1769_TJC_1385			1635261204		Scaffold	2024-12-24	JBJJOB01	10616	15720	323334							Illumina	Iridian Genomes	PRJNA1165299	SAMN43992308							
GCA_027559625.1	ASM2755962v1	Morelia viridis	129333						IRGN N6CF72GX22	male		1380678911		Scaffold	2023-01-03	JANHOE01	10471	205778	110412							Illumina	Iridian Genomes	PRJNA813146	SAMN26452791							
GCA_046270945.1	ASM4627094v1	Acanthocercus atricollis	690289						UPRMGRS_1740_TJC_1356			1714708839		Scaffold	2024-12-25	JBJPHF01	10442	16693	629873							Illumina	Iridian Genomes	PRJNA1169571	SAMN43785654							
GCA_044335435.1	ASM4433543v1	Agama doriae	175455						UPRMGRS_944_TJC_471			1581448633		Scaffold	2024-11-03	JBIELC01	10270	15068	588439							Illumina	Iridian Genomes	PRJNA1148363	SAMN43199307							
GCA_046270145.1	ASM4627014v1	Bungarus ceylonicus	1296667						RAP0441			1418001123		Scaffold	2024-12-24	JBJPGP01	10250	12155	217425							Illumina	Iridian Genomes	PRJNA1180794	SAMN44529002							
GCA_043656425.1	ASM4365642v1	Varanus albigularis	8558						UPRMGRS_1062_TJC_588			1660173986		Scaffold	2024-10-23	JBIEOM01	9422	14924	512288							Illumina	Iridian Genomes	PRJNA1147684	SAMN43199336							
GCA_043090765.1	ASM4309076v1	Xenagama zonura	2202509						UPRMGRS_1718_TJC_1334			1671624657		Scaffold	2024-10-12	JBHLFD01	9295	14675	551060							Illumina	Iridian Genomes	PRJNA1148183	SAMN43199338							
GCA_047292095.1	ASM4729209v1	Aspidura guentheri	1296316						RAP0437			1315359738		Scaffold	2025-01-28	JBKOJE01	9092	10834	228284							Illumina	Iridian Genomes	PRJNA1198949	SAMN45860446							
GCA_046270885.1	ASM4627088v1	Corallus caninus	51861						UPRMGRS_1134_TJC_1056			1504169967		Scaffold	2024-12-25	JBJPHE01	8773	12887	567513							Illumina	Iridian Genomes	PRJNA1169560	SAMN43785643							
GCA_046270105.1	ASM4627010v1	Mesoscincus schwartzei	463565						UPRMGRS_1574_TJC_987			1891847392		Scaffold	2024-12-24	JBJPGL01	8546	12816	682577							Illumina	Iridian Genomes	PRJNA1169596	SAMN44523923							
GCA_043090385.1	ASM4309038v1	Acanthocercus minutus	2516550						UPRMGRS_982_TJC_509			1677815126		Scaffold	2024-10-12	JBHLFA01	8487	13094	575538							Illumina	Iridian Genomes	PRJNA1148184	SAMN43199306							
GCA_047748255.1	ASM4774825v1	Crotalus enyo	125865						JXCM8J6AK9			1330534060		Scaffold	2025-02-12	JBLLKU01	8470	9956	254891							Illumina	Iridian Genomes	PRJNA1198980	SAMN45863871							
GCA_032468155.1	ASM3246815v1	Oxyrhabdium leporinum	186594						FMNH 278897			1266969297		Scaffold	2023-10-10	JANHFL01	8427	137739	245550							Illumina	Iridian Genomes	PRJNA790026	SAMN24183405							
GCA_044335405.1	ASM4433540v1	Chamaeleo laevigatus	373863						UPRMGRS_801_TJC_328			1910558459		Scaffold	2024-11-03	JBIELG01	8372	10563	889497							Illumina	Iridian Genomes	PRJNA1148360	SAMN43199310							
GCA_047032955.1	ASM4703295v1	Sibynophis subpunctatus	1297029						RAP0491			1399184462		Scaffold	2025-01-23	JBKKFB01	8294	9563	245304							Illumina	Iridian Genomes	PRJNA1198948	SAMN45860635							
GCA_046270765.1	ASM4627076v1	Holcosus undulatus	171128						UPRMGRS_1298_TJC_672			1631490424		Scaffold	2024-12-25	JBJNSC01	7783	16955	817447							Illumina	Iridian Genomes	PRJNA1169564	SAMN43785647							
GCA_046269825.1	ASM4626982v1	Hypnale hypnale	44720						RS-139			1339194119		Scaffold	2024-12-24	JBJJOM01	7582	8929	486504							Illumina	Iridian Genomes	PRJNA1180780	SAMN44529020							
GCA_043091225.1	ASM4309122v1	Drymarchon corais	186583						UPRMGRS_1469_TJC_843			1541663314		Scaffold	2024-10-12	JBHLFG01	7195	8258	641395							Illumina	Iridian Genomes	PRJNA1156535	SAMN43509296							
GCA_017656035.1	ASM1765603v1	Myanophis thanlyinensis	2777982						TSch-2020a	male		1315615078		Scaffold	2021-04-01	JAEANM01	7005	7375	297074							Illumina NovaSeq	LOEWE Centre for Translational Biodiversity Genomics (LOEWE-TBG)	PRJNA667001	SAMN16348494							
GCA_044758725.1	ASM4475872v1	Chamaeleo gracilis	91909						UPRMGRS_687_TJC_214			1876020895		Scaffold	2024-11-10	JBINKK01	6897	8507	869906							Illumina	Iridian Genomes	PRJNA1169294	SAMN43538505							
GCA_046766435.1	ASM4676643v1	Boiga barnesii	1296651						RAP0499			1383736546		Scaffold	2025-01-19	JBKIYP01	6856	7856	290412							Illumina	Iridian Genomes	PRJNA1198954	SAMN45860865							
GCA_047292475.1	ASM4729247v1	Crotalus mitchellii	384065						K8CGM633SY			1315687591		Scaffold	2025-01-28	JBKKFL01	6783	7874	297277							Illumina	Iridian Genomes	PRJNA1199345	SAMN45874122							
GCA_046269805.1	ASM4626980v1	Hydrophis schistosus	8682						RAP0487			1361440344		Scaffold	2024-12-24	JBJJOL01	6762	8112	442709							Illumina	Iridian Genomes	PRJNA1180778	SAMN44529007							
GCA_046270185.1	ASM4627018v1	Tarentola annularis	178379						UPRMGRS_1745_TJC_1361			2018276412		Scaffold	2024-12-24	JBJPGK01	6698	8056	879367							Illumina	Iridian Genomes	PRJNA1169589	SAMN44523931							
GCA_046766475.1	ASM4676647v1	Rhinophis saffragamus	2202463						RS-140			1484728958		Scaffold	2025-01-19	JBKOJP01	6537	7759	329086							Illumina	Iridian Genomes	PRJNA1198947	SAMN45860543							
GCA_046270085.1	ASM4627008v1	Bungarus caeruleus	132961						RAP0514			1550021801		Scaffold	2024-12-24	JBJJOK01	6476	8108	697355							Illumina	Iridian Genomes	PRJNA1180781	SAMN44529012							
GCA_046270205.1	ASM4627020v1	Boiga trigonata	1296666						RAP0478			1455726019		Scaffold	2024-12-24	JBJPGO01	6460	7363	580550							Illumina	Iridian Genomes	PRJNA1180793	SAMN44529005							
GCA_046269725.1	ASM4626972v1	Cordylus rivae	1642039						UPRMGRS_1038_TJC_564			2047432416		Scaffold	2024-12-24	JBJJOE01	6430	8350	413008							Illumina	Iridian Genomes	PRJNA1165304	SAMN43992312							
GCA_046269745.1	ASM4626974v1	Dasypeltis abyssina	2202287						TJC1354			1354614273		Scaffold	2024-12-24	JBJJOG01	6394	7258	389167							Illumina	Iridian Genomes	PRJNA1165305	SAMN43992313							
GCA_047748195.1	ASM4774819v1	Boiga beddomei	1296652						RAP0543			1463895606		Scaffold	2025-02-12	JBLLKS01	6378	7277	359238							Illumina	Iridian Genomes	PRJNA1198953	SAMN45860842							
GCA_043658275.1	ASM4365827v1	Naja melanoleuca	8643						UPRMGRS_763_TJC_290			1506037899		Scaffold	2024-10-23	JBIEOI01	6368	7226	677166							Illumina	Iridian Genomes	PRJNA1147686	SAMN43199322							
GCA_046118495.1	ASM4611849v1	Hemidactylus macropholis	343430						UPRMGRS_1747_TJC_1363			1978972337		Scaffold	2024-12-16	JBJNII01	6287	7638	1022070							Illumina	Iridian Genomes	PRJNA1169594	SAMN44523918							
GCA_042902795.1	ASM4290279v1	Naja nigricollis	8654						UPRMGRS_905_TJC_432			1557685408		Scaffold	2024-10-10	JBHNWC01	6220	7030	816937							Illumina	Iridian Genomes	PRJNA1147687	SAMN43199323							
GCA_046270845.1	ASM4627084v1	Ameiva ameiva	8535						UPRMGRS_1198_TJC_1123			1787292150		Scaffold	2024-12-25	JBJNSF01	6151	9188	949953							Illumina	Iridian Genomes	PRJNA1169558	SAMN43785641							
GCA_041295975.1	ASM4129597v1	Laemanctus serratus	1476580						UPRM_GenResCol_1286_TJC659			1937125715		Scaffold	2024-08-15	JBGGHT01	6107	7591	593264							Illumina	Iridian Genomes	PRJNA1093013	SAMN40644581							
GCA_047748115.1	ASM4774811v1	Crotalus aquilus	8743						ZJI623N7X7			1335091190		Scaffold	2025-02-12	JBLLKR01	6025	7101	337364							Illumina	Iridian Genomes	PRJNA1198978	SAMN45862629							
GCA_032467955.1	ASM3246795v1	Pseudoxenodon macrops	1082482						FMNH 255568			1354374879		Scaffold	2023-10-10	JANHFT01	5955	113982	338712							Illumina	Iridian Genomes	PRJNA790028	SAMN24183408							
GCA_046270345.1	ASM4627034v1	Ahaetulla nasuta	910399						RAP0458			1444489040		Scaffold	2024-12-25	JBJNRS01	5911	6673	562579							Illumina	Iridian Genomes	PRJNA1180786	SAMN44529004							
GCA_046269965.1	ASM4626996v1	Bofa erlangeri	3148990						UPRMGRS_759_TJC_286			1371312475		Scaffold	2024-12-24	JBJJOI01	5891	6780	368910							Illumina	Iridian Genomes	PRJNA1165300	SAMN43992309							
GCA_042902815.1	ASM4290281v1	Causus rhombeatus	44735						UPRMGRS_1020_TJC_546			1441227104		Scaffold	2024-10-10	JBHNWA01	5757	6516	821969							Illumina	Iridian Genomes	PRJNA1156532	SAMN43509295							
GCA_046270245.1	ASM4627024v1	Oligodon sublineatus	1297019						RS-141			1511596314		Scaffold	2024-12-25	JBJPGW01	5703	6491	671904							Illumina	Iridian Genomes	PRJNA1180800	SAMN44529024							
GCA_044335465.1	ASM4433546v1	Psammophis sibilans	434258						UPRMGRS_855_TJC_382			1529890299		Scaffold	2024-11-03	JBIELD01	5582	6252	907883							Illumina	Iridian Genomes	PRJNA1148358	SAMN43199327							
GCA_041107755.1	ASM4110775v1	Leptophis mexicanus	2202412						UPRM_GenResCol_1274/TJC647			1672404947		Scaffold	2024-08-08	JBFTWW01	5497	75049723	290614							Illumina	Iridian Genomes	PRJNA1085647	SAMN40310778							
GCA_042902875.1	ASM4290287v1	Micrurus diastema	39023						UPRMGRS_1379_TJC_753			1595859904		Scaffold	2024-10-10	JBHNWF01	5421	6228	955228							Illumina	Iridian Genomes	PRJNA1156531	SAMN43509298							
GCA_043110025.1	ASM4311002v1	Atractaspis microlepidota	42165						UPRMGRS_935_TJC_462			1558578040		Scaffold	2024-10-14	JBHOMR01	5338	5950	596518							Illumina	Iridian Genomes	PRJNA1148465	SAMN43335704							
GCA_043091265.1	ASM4309126v1	Crotaphopeltis hotamboeia	190824						UPRMGRS_765_TJC_292			1577774038		Scaffold	2024-10-12	JBHNVX01	5289	5989	881955							Illumina	Iridian Genomes	PRJNA1148471	SAMN43335706							
GCA_044758865.1	ASM4475886v1	Sphaerodactylus glaucus	933631						UPRMGRS_1514_TJC_927			1869327878		Scaffold	2024-11-10	JBINKN01	5245	5986	840290							Illumina	Iridian Genomes	PRJNA1169303	SAMN43538514							
GCA_043091005.1	ASM4309100v1	Psammophis punctulatus	382754						UPRMGRS_934_TJC_461			1453078311		Scaffold	2024-10-12	JBHNVV01	5233	5858	746416							Illumina	Iridian Genomes	PRJNA1151995	SAMN43335714							
